Frequency (Hz)	0.001V	0.00125V	0.0015V	0.00175V	0.002V	0.00225V	0.0025V	0.00275V	0.003V	0.00325V	0.0035V	0.00375V	0.004V	0.00425V	0.0045V	0.00475V	0.005V	0.00525V	0.0055V	0.00575V	0.006V	0.00625V	0.0065V	0.00675V	0.007V	0.00725V	0.0075V	0.00775V	0.008V	0.00825V	0.0085V	0.00875V	0.009V	0.00925V	0.0095V	0.00975V
1500	-1.29894	-1.28846	-1.22586	-1.29536	-1.32074	-1.3019	-1.2944	-1.29993	-1.30183	-1.30053	-1.30951	-1.27699	-1.27885	-1.31048	-1.27826	-1.27116	-1.3089	-1.29459	-1.31115	-1.30536	-1.31134	-1.30416	-1.30423	-1.30338	-1.30657	-1.31086	-1.3121	-1.29034	-1.31576	-1.31255	-1.30963	-1.33027	-1.32535	-1.32542	-1.32101	-1.32823
1505	-1.1847	-1.32893	-1.31627	-1.28442	-1.27834	-1.26098	-1.263	-1.3192	-1.28031	-1.28182	-1.30362	-1.28468	-1.30666	-1.30248	-1.28727	-1.27055	-1.31359	-1.30894	-1.28404	-1.30131	-1.28727	-1.29286	-1.29917	-1.29568	-1.30362	-1.30839	-1.29506	-1.31272	-1.31253	-1.31263	-1.31815	-1.31767	-1.31278	-1.30886	-1.33041	-1.33329
1510	-1.24058	-1.29987	-1.29267	-1.31349	-1.31255	-1.28669	-1.34261	-1.30815	-1.30711	-1.31391	-1.32798	-1.30067	-1.28135	-1.32107	-1.32428	-1.28396	-1.30191	-1.30382	-1.29396	-1.29235	-1.28177	-1.28942	-1.30608	-1.29814	-1.31248	-1.31189	-1.30351	-1.30819	-1.31045	-1.30714	-1.32178	-1.3194	-1.31819	-1.3265	-1.32755	-1.32573
1515	-1.25016	-1.22381	-1.24087	-1.25447	-1.34539	-1.30383	-1.3035	-1.32369	-1.31944	-1.29438	-1.30231	-1.30036	-1.30601	-1.30915	-1.30586	-1.2965	-1.31624	-1.30276	-1.31265	-1.28397	-1.28328	-1.30157	-1.29686	-1.32356	-1.30511	-1.30441	-1.31591	-1.30429	-1.30524	-1.31116	-1.31391	-1.33064	-1.32183	-1.32291	-1.32205	-1.32026
1520	-1.31661	-1.35566	-1.23412	-1.30763	-1.29186	-1.27389	-1.25784	-1.28767	-1.31056	-1.28362	-1.26545	-1.29218	-1.30501	-1.29704	-1.31034	-1.29966	-1.30781	-1.29936	-1.31705	-1.28719	-1.29997	-1.29972	-1.29875	-1.29362	-1.29285	-1.3139	-1.30508	-1.31298	-1.31604	-1.30896	-1.31494	-1.32468	-1.31422	-1.31839	-1.32422	-1.32882
1525	-1.34758	-1.31799	-1.32241	-1.32757	-1.31753	-1.29806	-1.27177	-1.31949	-1.28827	-1.27988	-1.30078	-1.30716	-1.31142	-1.29952	-1.29457	-1.30814	-1.31104	-1.31533	-1.3056	-1.29393	-1.31931	-1.29493	-1.29296	-1.3124	-1.30456	-1.31082	-1.30973	-1.31015	-1.30641	-1.3179	-1.32029	-1.31355	-1.32348	-1.31999	-1.31661	-1.32887
1530	-1.26421	-1.36205	-1.32158	-1.29402	-1.28857	-1.32081	-1.27833	-1.2839	-1.30368	-1.30926	-1.2969	-1.33707	-1.26906	-1.31015	-1.30943	-1.30853	-1.30033	-1.31021	-1.3034	-1.29761	-1.32698	-1.30045	-1.31222	-1.30022	-1.2916	-1.30356	-1.31404	-1.30602	-1.2958	-1.31343	-1.31894	-1.32475	-1.31504	-1.32525	-1.32721	-1.32571
1535	-1.32876	-1.2665	-1.2445	-1.295	-1.25361	-1.2994	-1.29326	-1.29023	-1.27774	-1.31077	-1.32297	-1.26727	-1.31925	-1.30151	-1.3004	-1.32195	-1.29918	-1.30019	-1.28933	-1.30777	-1.31205	-1.29923	-1.28384	-1.31006	-1.31222	-1.30385	-1.31169	-1.31315	-1.30641	-1.31559	-1.31687	-1.32617	-1.31978	-1.31928	-1.32276	-1.32843
1540	-1.28377	-1.24801	-1.31431	-1.23376	-1.30613	-1.2743	-1.31952	-1.30382	-1.31854	-1.28617	-1.30245	-1.31297	-1.28722	-1.29949	-1.31227	-1.30168	-1.30522	-1.29937	-1.29319	-1.29406	-1.30145	-1.28976	-1.30209	-1.30397	-1.31851	-1.30147	-1.31837	-1.31904	-1.30424	-1.30635	-1.30796	-1.31885	-1.31851	-1.31824	-1.32405	-1.32887
1545	-1.25057	-1.32865	-1.23766	-1.30535	-1.27914	-1.26773	-1.30635	-1.25207	-1.28738	-1.30713	-1.30013	-1.29423	-1.28579	-1.30282	-1.28114	-1.30564	-1.28382	-1.29114	-1.29395	-1.29451	-1.29236	-1.30923	-1.3029	-1.31475	-1.30996	-1.31424	-1.30989	-1.31618	-1.31392	-1.32214	-1.30314	-1.31182	-1.30786	-1.31765	-1.32384	-1.32019
1550	-1.37932	-1.30696	-1.33135	-1.27693	-1.28568	-1.27786	-1.31928	-1.28498	-1.30843	-1.27474	-1.30892	-1.30928	-1.30109	-1.27559	-1.29477	-1.31279	-1.29056	-1.29833	-1.28775	-1.30005	-1.29149	-1.30072	-1.29651	-1.30956	-1.29916	-1.29833	-1.32561	-1.30805	-1.29032	-1.30797	-1.30239	-1.3126	-1.31756	-1.31292	-1.32171	-1.33101
1555	-1.27273	-1.24926	-1.28323	-1.28356	-1.29787	-1.29591	-1.27739	-1.28241	-1.29718	-1.29521	-1.30542	-1.29307	-1.30869	-1.27362	-1.29497	-1.29305	-1.2932	-1.31058	-1.29856	-1.2965	-1.29427	-1.28081	-1.30798	-1.31523	-1.31674	-1.29841	-1.3156	-1.30805	-1.30149	-1.29728	-1.32002	-1.31362	-1.31851	-1.31392	-1.3203	-1.32051
1560	-1.25833	-1.26094	-1.30086	-1.27632	-1.26117	-1.29873	-1.29323	-1.27349	-1.28756	-1.26671	-1.28556	-1.3057	-1.30399	-1.27912	-1.29013	-1.27862	-1.30416	-1.29299	-1.29956	-1.28546	-1.29707	-1.29812	-1.29419	-1.30201	-1.29133	-1.30279	-1.30433	-1.3146	-1.30982	-1.30731	-1.31397	-1.31884	-1.31541	-1.31343	-1.33068	-1.31971
1565	-1.27467	-1.29911	-1.25716	-1.24947	-1.30588	-1.29683	-1.31431	-1.28406	-1.27763	-1.28697	-1.31548	-1.27303	-1.29675	-1.29217	-1.28352	-1.27985	-1.29317	-1.30169	-1.30751	-1.29669	-1.30187	-1.30863	-1.28693	-1.29991	-1.30169	-1.29681	-1.31053	-1.3102	-1.30512	-1.29939	-1.31622	-1.32493	-1.30828	-1.31852	-1.32099	-1.31925
1570	-1.26355	-1.2527	-1.28398	-1.2849	-1.28539	-1.2709	-1.24516	-1.32558	-1.26124	-1.29912	-1.28779	-1.31706	-1.28414	-1.29297	-1.28833	-1.28149	-1.28561	-1.297	-1.28853	-1.29912	-1.298	-1.30291	-1.29628	-1.30175	-1.30168	-1.31244	-1.30757	-1.30705	-1.30439	-1.31734	-1.30572	-1.31797	-1.31953	-1.32556	-1.32909	-1.32743
1575	-1.30196	-1.28301	-1.2953	-1.27131	-1.29098	-1.28153	-1.28184	-1.27265	-1.28712	-1.30036	-1.27682	-1.29963	-1.3072	-1.30861	-1.29857	-1.29609	-1.29198	-1.29876	-1.28789	-1.29304	-1.30039	-1.30997	-1.30601	-1.3029	-1.28776	-1.29985	-1.30885	-1.30624	-1.30964	-1.29884	-1.32258	-1.32338	-1.31673	-1.32636	-1.31844	-1.32126
1580	-1.24179	-1.38093	-1.26052	-1.28122	-1.28467	-1.28388	-1.30712	-1.26006	-1.29683	-1.28488	-1.28992	-1.27087	-1.29459	-1.29769	-1.2877	-1.29158	-1.28837	-1.30236	-1.30279	-1.28982	-1.29933	-1.29782	-1.28853	-1.30815	-1.31158	-1.31644	-1.31901	-1.3099	-1.30261	-1.31822	-1.32523	-1.32027	-1.33199	-1.32223	-1.32132	-1.33027
1585	-1.27658	-1.28538	-1.30289	-1.3047	-1.26633	-1.29654	-1.29316	-1.31785	-1.31842	-1.27563	-1.28331	-1.30452	-1.30094	-1.29901	-1.29008	-1.28749	-1.29129	-1.30743	-1.30306	-1.29354	-1.3108	-1.29285	-1.29852	-1.30671	-1.30514	-1.32075	-1.31185	-1.3094	-1.30973	-1.32004	-1.32383	-1.32399	-1.33282	-1.32205	-1.33265	-1.32628
