Frequency (Hz)	0.001V	0.00125V	0.0015V	0.00175V	0.002V	0.00225V	0.0025V	0.00275V	0.003V	0.00325V	0.0035V	0.00375V	0.004V	0.00425V	0.0045V	0.00475V	0.005V	0.00525V	0.0055V	0.00575V	0.006V	0.00625V	0.0065V	0.00675V	0.007V	0.00725V	0.0075V	0.00775V	0.008V	0.00825V	0.0085V	0.00875V	0.009V	0.00925V	0.0095V	0.00975V
1500	0.00016571	0.000229893	0.000313442	0.000341227	0.000391565	0.000437419	0.000473203	0.000533483	0.000597	0.000651255	0.000679628	0.000737155	0.000785939	0.000828387	0.00089738	0.000954319	0.000992474	0.00106454	0.00110149	0.00116936	0.00121083	0.00127528	0.00133364	0.00139589	0.00145326	0.00150813	0.0015454	0.00159549	0.00165361	0.00173854	0.00179961	0.00184462	0.00189638	0.00195453	0.00200017	0.00204354
1505	0.000197828	0.000243848	0.000307782	0.000331473	0.00038548	0.000434538	0.000501643	0.000536403	0.000590525	0.000645975	0.000690513	0.000731033	0.000799278	0.000844867	0.000922252	0.000954948	0.0010137	0.00109588	0.0011327	0.00120077	0.0012458	0.00129834	0.00137573	0.0014105	0.00148279	0.00152548	0.00157099	0.00163727	0.00168143	0.00177248	0.00179121	0.00185984	0.0019226	0.00196664	0.00204441	0.00206929
1510	0.00019335	0.000260535	0.000310383	0.000356235	0.000398316	0.000432549	0.00047917	0.000578488	0.000611485	0.000650917	0.000717185	0.000771196	0.000811621	0.000864642	0.000932393	0.000987817	0.00103523	0.00108493	0.00114195	0.00118725	0.00126077	0.0013043	0.00137901	0.00141998	0.00148447	0.00154667	0.00159594	0.00164571	0.00170124	0.00178576	0.00185665	0.0019009	0.00194058	0.00199747	0.0020484	0.00210158
1515	0.000195244	0.000245585	0.000292734	0.000328769	0.000409348	0.000450998	0.000515829	0.000572782	0.000637434	0.000666222	0.000710934	0.00077335	0.000824881	0.000886567	0.00093563	0.000995119	0.00104885	0.00109611	0.00115574	0.00121829	0.00127581	0.00133937	0.00138977	0.00146097	0.00152666	0.00156249	0.00161229	0.00165751	0.00171124	0.00181321	0.00185724	0.00191364	0.00195825	0.00202841	0.00207101	0.00211624
1520	0.000190486	0.000241894	0.0003095	0.000356008	0.000397088	0.000445633	0.000502997	0.000569779	0.000627892	0.000680212	0.000741305	0.000791116	0.000845023	0.000884379	0.000958234	0.00101116	0.00105513	0.00112567	0.0011791	0.00121323	0.00129113	0.00135349	0.0014183	0.00147057	0.00155718	0.0015914	0.00162757	0.00168061	0.00173736	0.00184034	0.00187063	0.00193585	0.00200143	0.00206584	0.00211258	0.00213664
1525	0.000189912	0.000262351	0.000311078	0.000361939	0.000413114	0.00046818	0.000528605	0.000586516	0.000637595	0.000684404	0.000740016	0.000798632	0.000851294	0.000894888	0.000958129	0.0010257	0.00107038	0.00113366	0.00117572	0.00125165	0.00128364	0.00137091	0.0014414	0.00150735	0.0015508	0.00162596	0.00167238	0.00171865	0.00174763	0.00184561	0.00191527	0.00193152	0.00201866	0.00207854	0.00213656	0.00216871
1530	0.000178704	0.000251756	0.000311182	0.000375209	0.000400154	0.000480752	0.000525742	0.000572843	0.000643873	0.000709578	0.000735513	0.000794853	0.00085741	0.000933621	0.000969102	0.00104293	0.00107043	0.00115293	0.00119493	0.00125802	0.00132672	0.00138798	0.00147126	0.00151474	0.00158662	0.00163952	0.00166745	0.00173654	0.00180388	0.00186927	0.00193145	0.00197645	0.00206141	0.00209852	0.00215206	0.002212
1535	0.000211307	0.000277922	0.000326835	0.000365106	0.000416009	0.000486372	0.00053574	0.000592627	0.000671123	0.000687284	0.000765781	0.00082741	0.000865044	0.000942351	0.000986843	0.00104498	0.00110499	0.00116679	0.00123249	0.00128054	0.00133266	0.00141368	0.00148756	0.00152829	0.0015958	0.00166179	0.00169058	0.00175633	0.00182841	0.00190461	0.0019649	0.00201249	0.00206795	0.00214862	0.00220182	0.00223051
1540	0.00020516	0.000255182	0.000327478	0.000386326	0.000406212	0.000485169	0.000536786	0.000591244	0.000659765	0.000732718	0.000780764	0.000818124	0.0008805	0.000942826	0.000993154	0.00104949	0.00111357	0.0011953	0.00122798	0.00129099	0.00135382	0.00142281	0.00148637	0.00156335	0.00162162	0.00165959	0.00172689	0.00180081	0.00182485	0.00195382	0.00198978	0.00203713	0.00211389	0.00217695	0.00221823	0.00227924
1545	0.000226041	0.000278434	0.000315542	0.000377557	0.000428629	0.000491192	0.00055497	0.000598638	0.000657779	0.000733934	0.000783197	0.000843669	0.000896289	0.000961154	0.000997491	0.00106559	0.00110991	0.0012164	0.00127154	0.00132556	0.00138499	0.00145188	0.0015202	0.00159988	0.00164166	0.00169796	0.00175417	0.00180562	0.00186603	0.00194023	0.0020308	0.00208991	0.00214087	0.00219536	0.00226621	0.00231039
1550	0.000194062	0.00026038	0.000333263	0.000398224	0.000442728	0.000496265	0.000563063	0.000631006	0.000675979	0.000742966	0.000812378	0.000843118	0.000906536	0.000972013	0.0010135	0.00110143	0.0011772	0.00122304	0.00128644	0.00134684	0.00140713	0.00147026	0.00152741	0.00162882	0.00168692	0.00173487	0.00177969	0.0018477	0.00188677	0.001984	0.00206863	0.00213325	0.00219128	0.00225895	0.00229538	0.00233506
1555	0.000210335	0.000284604	0.000327273	0.000396406	0.000444435	0.000513347	0.000561767	0.000637464	0.000702158	0.000738863	0.000802142	0.000869417	0.000918097	0.000994772	0.00104263	0.0011015	0.00116599	0.00123334	0.00129978	0.00138275	0.00141016	0.00149915	0.00157154	0.00166319	0.00170347	0.00175331	0.00180216	0.0018713	0.00191279	0.0020502	0.00210143	0.00213857	0.00223055	0.00227767	0.0023412	0.00239218
1560	0.000248536	0.000272838	0.000333131	0.000372767	0.000487041	0.00051131	0.000572488	0.000655815	0.000705291	0.00075543	0.000807405	0.000878729	0.000943078	0.000999185	0.00108189	0.00114115	0.00118169	0.00125799	0.00132815	0.00138928	0.00147333	0.00151214	0.00159323	0.00166225	0.00173186	0.00177253	0.00183196	0.00190308	0.00197875	0.0020698	0.00212672	0.00216276	0.00225709	0.00232174	0.00237988	0.0024345
1565	0.000219533	0.00028679	0.000341355	0.000406423	0.000475051	0.000544886	0.000566177	0.000653902	0.000703874	0.000780741	0.000830788	0.000910127	0.000954801	0.00103155	0.00108379	0.00116117	0.00122401	0.00128529	0.00134936	0.00143092	0.0014848	0.00154822	0.00164332	0.00171406	0.00178322	0.00184084	0.00188774	0.00194592	0.0019916	0.00210029	0.00217907	0.00222797	0.00230459	0.0023602	0.00241317	0.00246698
