Frequency (Hz)	0.001V	0.00125V	0.0015V	0.00175V	0.002V	0.00225V	0.0025V	0.00275V	0.003V	0.00325V	0.0035V	0.00375V	0.004V	0.00425V	0.0045V	0.00475V	0.005V	0.00525V	0.0055V	0.00575V	0.006V	0.00625V	0.0065V	0.00675V	0.007V	0.00725V	0.0075V	0.00775V	0.008V	0.00825V	0.0085V	0.00875V	0.009V	0.00925V	0.0095V	0.00975V
1565	-1.65475	-1.63502	-1.61288	-1.65961	-1.66668	-1.62966	-1.63286	-1.66916	-1.6525	-1.64049	-1.64878	-1.68043	-1.64603	-1.63339	-1.64062	-1.65308	-1.64656	-1.64935	-1.63548	-1.65891	-1.64365	-1.64656	-1.63878	-1.66183	-1.65729	-1.64161	-1.64083	-1.64515	-1.64763	-1.66111	-1.65687	-1.65705	-1.64014	-1.64161	-1.65166	-1.65799
1570	-1.6785	-1.56392	-1.68198	-1.70289	-1.62333	-1.68346	-1.63606	-1.62702	-1.65768	-1.64627	-1.64812	-1.64673	-1.64047	-1.63762	-1.64461	-1.63375	-1.64878	-1.6612	-1.66141	-1.65078	-1.65528	-1.64923	-1.65773	-1.63595	-1.63977	-1.65391	-1.64619	-1.65682	-1.6536	-1.65253	-1.66331	-1.65424	-1.66039	-1.64986	-1.65225	-1.65808
1575	-1.67773	-1.71691	-1.63683	-1.65399	-1.60106	-1.68035	-1.66621	-1.63832	-1.65257	-1.67987	-1.67403	-1.65611	-1.66101	-1.6469	-1.66529	-1.64932	-1.64335	-1.66076	-1.65723	-1.66485	-1.66966	-1.65782	-1.65198	-1.66048	-1.6611	-1.66205	-1.66768	-1.65949	-1.66853	-1.65305	-1.67108	-1.65268	-1.65898	-1.6685	-1.6675	-1.65858
1580	-1.70414	-1.67738	-1.64694	-1.67966	-1.63204	-1.65946	-1.67275	-1.66154	-1.64158	-1.65873	-1.67261	-1.66703	-1.66477	-1.68719	-1.66104	-1.67903	-1.66927	-1.65563	-1.66987	-1.65613	-1.66518	-1.67304	-1.66626	-1.67187	-1.67484	-1.66611	-1.65691	-1.67539	-1.67234	-1.67232	-1.66224	-1.66765	-1.65703	-1.67044	-1.66987	-1.66539
1585	-1.72633	-1.75005	-1.6554	-1.69138	-1.71057	-1.66058	-1.68403	-1.66443	-1.67454	-1.65782	-1.66615	-1.67594	-1.63539	-1.68852	-1.66159	-1.67169	-1.67058	-1.69049	-1.66439	-1.6765	-1.6667	-1.65209	-1.67088	-1.67033	-1.66684	-1.66961	-1.66853	-1.67716	-1.6705	-1.66165	-1.67112	-1.66819	-1.66649	-1.68272	-1.67733	-1.68205
1590	-1.62385	-1.67209	-1.68886	-1.65331	-1.63125	-1.67386	-1.67172	-1.69703	-1.6767	-1.63998	-1.68133	-1.66508	-1.66959	-1.66772	-1.67485	-1.67661	-1.67206	-1.67967	-1.67592	-1.66046	-1.668	-1.68057	-1.66369	-1.66937	-1.67005	-1.67909	-1.68261	-1.67399	-1.66715	-1.66656	-1.68335	-1.66893	-1.68223	-1.67957	-1.67194	-1.67497
1595	-1.63104	-1.69787	-1.7187	-1.6899	-1.70444	-1.67116	-1.7026	-1.66114	-1.65724	-1.67349	-1.66048	-1.65409	-1.66009	-1.66619	-1.67612	-1.67155	-1.68223	-1.67746	-1.67996	-1.67511	-1.67864	-1.69258	-1.68014	-1.68014	-1.68832	-1.67718	-1.67251	-1.68334	-1.69097	-1.68562	-1.67708	-1.68268	-1.6729	-1.67681	-1.67889	-1.67897
1600	-1.68049	-1.70247	-1.68434	-1.70508	-1.66903	-1.70128	-1.672	-1.68603	-1.6721	-1.66882	-1.68004	-1.69622	-1.67912	-1.69059	-1.66532	-1.66644	-1.69475	-1.67767	-1.6875	-1.6741	-1.68808	-1.67846	-1.67636	-1.68576	-1.67411	-1.68633	-1.68922	-1.68805	-1.68303	-1.68221	-1.69203	-1.67928	-1.6792	-1.684	-1.68203	-1.68572
1605	-1.68774	-1.66457	-1.67927	-1.66433	-1.68535	-1.71479	-1.67926	-1.70927	-1.67778	-1.68018	-1.70428	-1.6875	-1.67609	-1.69988	-1.68122	-1.68169	-1.6884	-1.68863	-1.67593	-1.6894	-1.69047	-1.68811	-1.68241	-1.69037	-1.67998	-1.69536	-1.70165	-1.68244	-1.69739	-1.68764	-1.69462	-1.68408	-1.67604	-1.68991	-1.69058	-1.68438
1610	-1.65508	-1.67051	-1.67838	-1.65985	-1.67776	-1.6727	-1.65832	-1.66659	-1.67886	-1.66459	-1.67102	-1.70663	-1.66972	-1.65626	-1.66072	-1.67716	-1.66198	-1.66837	-1.67183	-1.67915	-1.67702	-1.67789	-1.69898	-1.68143	-1.68089	-1.67613	-1.68179	-1.68513	-1.68398	-1.67691	-1.68135	-1.68227	-1.68353	-1.67815	-1.68788	-1.67678
1615	-2.05319	-1.98317	-2.02371	-2.00783	-1.98945	-1.98148	-1.99098	-2.00554	-1.9961	-1.98802	-1.9861	-1.9847	-1.97494	-1.98066	-1.971	-1.97554	-1.97341	-1.97278	-1.97762	-1.98558	-1.97114	-1.9749	-1.9817	-1.97804	-1.98265	-1.97448	-1.96609	-1.9822	-1.97878	-1.97635	-1.9848	-1.97285	-1.97559	-1.98266	-1.97906	-1.98381
1620	-1.51289	-1.98628	-2.06532	-2.13863	-2.13064	-2.33518	-2.25339	-2.24257	-2.38068	-2.36395	-2.28072	-2.12451	-2.29135	-2.28505	-2.33798	-2.44805	-2.31467	-2.52382	-2.45259	-2.42041	-2.39983	-2.35334	-2.4379	-2.4237	-2.38732	-2.4058	-2.473	-2.14321	-2.39273	-2.16862	-2.47202	-2.39812	-2.36776	-2.361	-2.24898	-2.30476
1625	-1.68535	-1.72329	-1.67287	-1.69127	-1.65745	-1.66179	-1.66853	-1.68407	-1.70973	-1.66437	-1.67065	-1.64238	-1.63503	-1.69813	-1.6582	-1.66673	-1.66232	-1.68241	-1.69325	-1.6751	-1.694	-1.69953	-1.71284	-1.68045	-1.69182	-1.69129	-1.69903	-1.71944	-1.69389	-1.70481	-1.69953	-1.69882	-1.7163	-1.70386	-1.67009	-1.70004
1630	-1.66212	-1.73235	-1.73529	-1.69593	-1.71905	-1.70489	-1.70546	-1.66515	-1.73141	-1.72679	-1.71826	-1.7247	-1.71808	-1.71847	-1.70926	-1.70695	-1.69692	-1.69674	-1.71152	-1.70159	-1.7149	-1.73242	-1.71903	-1.72627	-1.71569	-1.71617	-1.72328	-1.71276	-1.71932	-1.72687	-1.70809	-1.71709	-1.72585	-1.70492	-1.71913	-1.72073
1635	-1.76299	-1.73374	-1.75406	-1.72433	-1.68959	-1.71289	-1.72228	-1.73068	-1.67833	-1.70531	-1.71151	-1.71098	-1.69329	-1.70696	-1.72924	-1.71464	-1.71822	-1.71093	-1.71168	-1.7201	-1.71795	-1.70818	-1.70901	-1.71309	-1.71174	-1.70348	-1.71864	-1.73142	-1.72274	-1.72843	-1.72319	-1.70874	-1.72909	-1.71259	-1.71247	-1.71421
1640	-1.75751	-1.75647	-1.74594	-1.75106	-1.75013	-1.69782	-1.7333	-1.71698	-1.69361	-1.71977	-1.71539	-1.71561	-1.71864	-1.71493	-1.71297	-1.70653	-1.69739	-1.70755	-1.70699	-1.70863	-1.70808	-1.71416	-1.72395	-1.72315	-1.71531	-1.71118	-1.71013	-1.72403	-1.71107	-1.71837	-1.72109	-1.72633	-1.73404	-1.7091	-1.72087	-1.72525
1645	-1.71756	-1.70736	-1.72522	-1.70135	-1.71529	-1.72663	-1.70925	-1.7015	-1.72467	-1.72223	-1.71313	-1.70077	-1.71333	-1.71744	-1.70674	-1.71016	-1.71242	-1.71431	-1.72457	-1.71284	-1.71108	-1.72234	-1.71072	-1.71591	-1.71733	-1.70346	-1.71608	-1.71552	-1.71991	-1.71971	-1.71806	-1.72175	-1.72286	-1.71085	-1.7166	-1.71964
1650	-1.73248	-1.67084	-1.69432	-1.6744	-1.71906	-1.73903	-1.71065	-1.69093	-1.72004	-1.69907	-1.71194	-1.7081	-1.72767	-1.72355	-1.70051	-1.72383	-1.72705	-1.71008	-1.71031	-1.71947	-1.72174	-1.72233	-1.71903	-1.70977	-1.72674	-1.70647	-1.72404	-1.72044	-1.72726	-1.71701	-1.7304	-1.72412	-1.72948	-1.72915	-1.72201	-1.729
1655	-1.69576	-1.70034	-1.70278	-1.72714	-1.70739	-1.7242	-1.71608	-1.72397	-1.7222	-1.70287	-1.71449	-1.725	-1.70547	-1.70765	-1.70609	-1.71227	-1.70085	-1.72728	-1.71968	-1.71036	-1.71178	-1.73024	-1.7178	-1.71516	-1.70747	-1.71797	-1.72149	-1.71896	-1.71724	-1.71684	-1.71246	-1.72522	-1.73113	-1.72562	-1.72599	-1.71935
1660	-1.69594	-1.7273	-1.71988	-1.72459	-1.70462	-1.69719	-1.72663	-1.72682	-1.7249	-1.71861	-1.73405	-1.69362	-1.71873	-1.71008	-1.71524	-1.71757	-1.71885	-1.70691	-1.72613	-1.70486	-1.72194	-1.72426	-1.72809	-1.71955	-1.71319	-1.72875	-1.71861	-1.72208	-1.72203	-1.72649	-1.72034	-1.73359	-1.72743	-1.73691	-1.72636	-1.72579
1665	-1.73096	-1.71843	-1.73532	-1.74003	-1.74431	-1.71351	-1.69406	-1.71705	-1.70141	-1.70976	-1.72638	-1.73674	-1.71584	-1.71774	-1.71794	-1.71417	-1.73663	-1.73672	-1.73398	-1.7225	-1.71823	-1.70997	-1.7135	-1.71982	-1.7115	-1.7234	-1.72027	-1.72507	-1.72267	-1.7227	-1.72037	-1.72224	-1.72738	-1.72925	-1.72804	-1.7315
1670	-1.69177	-1.68118	-1.71791	-1.70955	-1.70689	-1.72623	-1.69829	-1.69553	-1.70785	-1.73584	-1.71333	-1.72398	-1.71514	-1.72868	-1.72817	-1.70128	-1.71499	-1.72331	-1.7316	-1.71681	-1.72181	-1.73091	-1.72809	-1.71821	-1.72462	-1.72113	-1.72702	-1.72103	-1.71448	-1.72654	-1.72679	-1.71941	-1.73175	-1.72703	-1.73134	-1.7275
1675	-1.72833	-1.71791	-1.70624	-1.75132	-1.69021	-1.7395	-1.72562	-1.69688	-1.73861	-1.70956	-1.72299	-1.72146	-1.71714	-1.72728	-1.71201	-1.71263	-1.71428	-1.72852	-1.72048	-1.72662	-1.71798	-1.72325	-1.72993	-1.71995	-1.72865	-1.72857	-1.72641	-1.73199	-1.73242	-1.7319	-1.72633	-1.72465	-1.72904	-1.73769	-1.72757	-1.72998
1680	-1.73075	-1.74244	-1.72498	-1.70202	-1.72899	-1.69993	-1.70425	-1.70844	-1.73719	-1.71364	-1.71032	-1.72467	-1.73127	-1.72072	-1.73135	-1.70874	-1.72305	-1.71302	-1.73045	-1.72501	-1.73522	-1.71636	-1.73563	-1.72394	-1.71634	-1.72578	-1.73451	-1.71617	-1.72714	-1.72619	-1.72445	-1.73203	-1.73806	-1.72137	-1.72805	-1.73117
1685	-1.7451	-1.66962	-1.69373	-1.72353	-1.70228	-1.72487	-1.73587	-1.71657	-1.73114	-1.71574	-1.72438	-1.70869	-1.72129	-1.71511	-1.73087	-1.72634	-1.71616	-1.72989	-1.73032	-1.72346	-1.73048	-1.71863	-1.72426	-1.7289	-1.72722	-1.72671	-1.72766	-1.72457	-1.72881	-1.72862	-1.72018	-1.72374	-1.72984	-1.72758	-1.73299	-1.73005
1690	-1.74064	-1.69936	-1.74417	-1.72204	-1.71455	-1.70614	-1.74214	-1.70792	-1.73598	-1.71943	-1.72266	-1.72395	-1.72832	-1.72792	-1.73617	-1.72483	-1.73147	-1.7181	-1.71832	-1.71838	-1.72223	-1.72147	-1.72846	-1.72904	-1.7302	-1.72715	-1.71919	-1.72483	-1.72226	-1.72613	-1.74007	-1.73002	-1.72861	-1.72547	-1.73208	-1.73734
1695	-1.7776	-1.73037	-1.70736	-1.73305	-1.72381	-1.72394	-1.71669	-1.70652	-1.73183	-1.72087	-1.73222	-1.72172	-1.69908	-1.72547	-1.72785	-1.7448	-1.75231	-1.72793	-1.72945	-1.72858	-1.72408	-1.73183	-1.7224	-1.72644	-1.72856	-1.73012	-1.72327	-1.72836	-1.72983	-1.73392	-1.73391	-1.73224	-1.73352	-1.74416	-1.73525	-1.72943
1700	-1.73228	-1.68038	-1.72315	-1.72974	-1.71988	-1.71276	-1.73272	-1.71748	-1.7206	-1.72764	-1.7229	-1.71075	-1.71599	-1.72144	-1.7397	-1.72697	-1.73706	-1.72508	-1.71769	-1.71944	-1.73009	-1.72827	-1.72596	-1.73731	-1.73401	-1.74149	-1.72956	-1.725	-1.73177	-1.73584	-1.73979	-1.7311	-1.74901	-1.73652	-1.73695	-1.73178
1705	-1.74885	-1.71042	-1.71065	-1.72475	-1.72816	-1.70428	-1.72774	-1.71839	-1.71229	-1.70514	-1.73127	-1.7347	-1.73232	-1.71809	-1.71221	-1.72397	-1.71614	-1.71209	-1.73472	-1.72457	-1.73293	-1.72001	-1.72995	-1.74265	-1.7233	-1.72924	-1.71509	-1.72054	-1.73167	-1.73319	-1.7326	-1.73425	-1.74172	-1.72488	-1.73487	-1.73025
1710	-1.74731	-1.74826	-1.76042	-1.73162	-1.71517	-1.7026	-1.71885	-1.72402	-1.74294	-1.70905	-1.72057	-1.7337	-1.70462	-1.72632	-1.72909	-1.71859	-1.71835	-1.72849	-1.72536	-1.7345	-1.72581	-1.72388	-1.71983	-1.73367	-1.72546	-1.72883	-1.73098	-1.73072	-1.7301	-1.73699	-1.74598	-1.73712	-1.73166	-1.72385	-1.73705	-1.73464
1715	-1.69889	-1.69025	-1.71481	-1.73418	-1.73179	-1.70892	-1.72027	-1.71475	-1.71697	-1.71288	-1.70949	-1.72981	-1.71275	-1.71565	-1.72621	-1.73068	-1.7239	-1.73078	-1.72169	-1.72561	-1.72489	-1.74058	-1.73377	-1.73921	-1.70496	-1.73302	-1.73665	-1.73873	-1.72494	-1.73554	-1.73486	-1.73735	-1.73101	-1.73146	-1.73589	-1.73866
1720	-1.69833	-1.67045	-1.74263	-1.73936	-1.73871	-1.72744	-1.7326	-1.71548	-1.7394	-1.73358	-1.73025	-1.72747	-1.72894	-1.73192	-1.72159	-1.72625	-1.73312	-1.72459	-1.73833	-1.73675	-1.72369	-1.73459	-1.73729	-1.7353	-1.72951	-1.72506	-1.74083	-1.73372	-1.74646	-1.72636	-1.73885	-1.7356	-1.72794	-1.73856	-1.74108	-1.73729
1725	-1.74836	-1.72023	-1.72254	-1.74142	-1.73752	-1.74239	-1.72723	-1.71801	-1.71952	-1.72532	-1.72259	-1.7146	-1.71828	-1.72687	-1.7497	-1.73305	-1.72215	-1.73304	-1.72446	-1.72441	-1.73514	-1.73002	-1.72614	-1.73105	-1.72694	-1.73138	-1.74007	-1.72928	-1.7348	-1.74076	-1.74028	-1.74273	-1.73386	-1.74139	-1.74304	-1.74037
1730	-1.766	-1.72729	-1.73361	-1.74609	-1.72216	-1.73377	-1.72877	-1.73358	-1.721	-1.73601	-1.72048	-1.69755	-1.71889	-1.73299	-1.72777	-1.73484	-1.72657	-1.72545	-1.73014	-1.72555	-1.72996	-1.74201	-1.74011	-1.73001	-1.73442	-1.73658	-1.7428	-1.73613	-1.73127	-1.74323	-1.74387	-1.73965	-1.73469	-1.73582	-1.74407	-1.7417
1735	-1.71433	-1.71412	-1.74813	-1.75126	-1.7369	-1.72923	-1.73049	-1.75344	-1.72982	-1.71845	-1.71887	-1.74078	-1.73472	-1.7319	-1.73674	-1.74244	-1.72899	-1.73185	-1.74229	-1.73338	-1.7416	-1.74475	-1.73281	-1.73031	-1.73031	-1.72788	-1.74452	-1.73787	-1.73508	-1.74746	-1.74545	-1.74207	-1.74004	-1.75036	-1.74263	-1.73831
