Reference Amplitude (V)	6850Hz
0.02	0.00606542
0.023	0.00690638
0.026	0.00781383
0.029	0.00878831
0.032	0.00957797
0.035	0.0105191
0.038	0.0113161
0.041	0.0121495
0.044	0.0129574
0.047	0.0137103
0.05	0.0143617
0.053	0.015095
0.056	0.0157241
0.059	0.0164232
0.062	0.0169545
0.065	0.0175385
0.068	0.0180814
0.071	0.0185126
0.074	0.0188672
0.077	0.0190663
0.08	0.0194331
0.083	0.019836
0.086	0.0199765
0.089	0.0202667
0.092	0.0207868
0.095	0.0210009
0.098	0.0214179
0.101	0.0217011
0.104	0.0221211
0.107	0.0219862
0.11	0.0224961
0.113	0.0232651
0.116	0.0239323
0.119	0.0243934
0.122	0.0247285
0.125	0.025301
0.128	0.0257369
0.13	0.0254072
0.127	0.0250851
0.124	0.0246374
0.121	0.0239587
0.118	0.0232421
0.115	0.0225766
0.112	0.0220238
0.109	0.0215133
0.106	0.020831
0.103	0.0205621
0.1	0.0197353
0.097	0.0196756
0.094	0.0186396
0.091	0.0180478
0.088	0.0179479
0.085	0.0168404
0.082	0.0167259
0.079	0.0159118
0.076	0.0152145
0.073	0.014819
0.07	0.0140778
0.067	0.0133535
0.064	0.0126474
0.061	0.0117139
0.058	0.0127684
0.055	0.0123967
0.052	0.0120643
0.049	0.0116091
0.046	0.0110366
0.043	0.0105857
0.04	0.0100317
0.037	0.00940141
0.034	0.00879376
0.031	0.00809893
0.028	0.0074206
0.025	0.00670692
0.022	0.00593744
