Reference Amplitude (V)	6850Hz
0.02	0.787594
0.023	0.78697
0.026	0.785733
0.029	0.786973
0.032	0.788783
0.035	0.789049
0.038	0.791795
0.041	0.789958
0.044	0.791199
0.047	0.794
0.05	0.793267
0.053	0.793655
0.056	0.794702
0.059	0.796221
0.062	0.799223
0.065	0.798559
0.068	0.799519
0.071	0.805479
0.074	0.809946
0.077	0.81284
0.08	0.816586
0.083	0.818623
0.086	0.820892
0.089	0.820291
0.092	0.819358
0.095	0.969133
0.098	0.954447
0.101	0.939508
0.104	0.92778
0.107	0.907968
0.11	0.89986
0.113	0.898624
0.116	0.895253
0.119	0.88749
0.122	0.880003
0.125	0.876519
0.128	0.870395
0.13	0.856942
0.127	0.864442
0.124	0.87003
0.121	0.870816
0.118	0.873255
0.115	0.873249
0.112	0.878368
0.109	0.884516
0.106	0.886425
0.103	0.89876
0.1	0.897592
0.097	0.918803
0.094	0.914026
0.091	0.921399
0.088	0.944905
0.085	0.935017
0.082	0.964726
0.079	0.969827
0.076	0.977984
0.073	1.00275
0.07	1.01165
0.067	1.0242
0.064	1.04386
0.061	1.05538
0.058	0.840462
0.055	0.841404
0.052	0.838006
0.049	0.832659
0.046	0.831568
0.043	0.826627
0.04	0.821949
0.037	0.822423
0.034	0.817257
0.031	0.818186
0.028	0.815768
0.025	0.811893
0.022	0.808407
