Reference Amplitude (V)	6300Hz	6350Hz	6400Hz	6450Hz	6500Hz	6550Hz	6600Hz	6650Hz	6700Hz	6750Hz	6800Hz	6850Hz	6900Hz	6950Hz	7000Hz	7050Hz	7100Hz	7150Hz	7200Hz	7250Hz	7300Hz	7350Hz	7400Hz	7450Hz	7500Hz	7550Hz	7600Hz	7650Hz	7700Hz	7750Hz	7800Hz	7850Hz	7900Hz	7950Hz	8000Hz
0.053	1.15839e-005	1.12457e-005	9.22994e-006	1.25148e-005	8.73036e-006	1.586e-005	6.87509e-006	2.46e-005	2.79789e-005	2.71682e-006	8.8179e-006	1.46529e-005	1.5609e-005	2.33567e-005	1.96918e-005	1.57609e-005	2.01049e-005	2.80256e-005	0.0231711	4.17076e-005	1.22642e-005	4.30655e-005	7.55346e-005	0.000219317	2.69374e-005	7.30115e-006	9.96611e-006	1.95966e-005	3.08798e-005	1.99401e-005	1.66971e-005	6.8119e-006	9.45592e-006	1.64728e-005	1.59989e-005
0.056	1.61597e-005	2.2167e-005	6.93573e-006	1.19644e-005	4.84445e-006	1.75804e-005	1.15656e-005	2.14004e-005	2.95828e-005	6.58183e-006	1.87953e-005	8.45873e-006	7.92299e-006	1.84881e-005	3.08506e-005	1.9307e-005	1.46456e-005	7.28817e-006	0.0235932	0.0180416	0.0146844	0.0118231	0.00774792	0.00505302	6.22841e-006	1.68249e-005	4.01036e-005	1.05206e-005	1.47669e-005	2.21775e-005	9.0428e-006	4.99385e-006	3.51677e-006	1.78266e-005	1.89647e-005
0.059	9.5858e-006	1.4534e-005	1.44501e-005	2.54828e-005	1.95503e-005	2.79113e-005	1.12851e-005	1.69773e-005	1.90294e-005	9.69789e-006	8.92849e-006	3.4037e-005	2.17829e-005	1.19771e-005	1.83047e-005	1.29211e-005	1.06351e-005	2.72475e-005	0.0248196	0.0197232	0.0160718	0.0132985	0.00978261	0.00726007	9.6288e-005	9.72528e-006	1.2542e-005	2.10515e-005	2.79465e-005	1.93669e-005	7.93136e-006	2.18908e-006	4.50424e-006	2.61118e-005	2.68712e-005
0.062	1.57297e-005	1.65283e-005	3.15077e-006	1.21221e-005	9.66625e-006	2.01859e-005	2.0481e-005	9.42598e-006	1.12912e-005	2.0766e-005	1.83487e-005	1.66415e-005	4.34431e-005	2.75907e-005	8.75433e-006	3.51339e-005	2.35103e-005	1.80521e-005	0.025909	0.0207908	0.0172451	0.0142344	0.0108431	0.00824779	8.52468e-005	5.6883e-006	3.10052e-005	1.02322e-005	1.05353e-005	2.36182e-005	1.34786e-005	1.49549e-005	1.4135e-005	8.25371e-006	3.29717e-005
0.065	2.15592e-005	1.23059e-005	1.4366e-005	7.41447e-006	1.34342e-005	1.36911e-005	1.75893e-005	1.05875e-005	2.67147e-005	4.08076e-006	3.57899e-006	1.30874e-005	1.78202e-005	1.83992e-005	6.98718e-007	4.52664e-005	0.0362374	4.57291e-006	0.0267614	0.0214558	0.018123	0.0151281	0.0114063	0.00930431	0.00191455	2.54751e-005	3.02445e-005	2.63702e-005	2.58459e-005	2.38139e-005	2.21007e-005	1.36469e-005	6.01648e-006	2.11323e-005	1.84963e-005
0.068	1.00581e-005	1.45047e-005	1.19228e-005	5.67408e-006	1.52937e-005	2.16938e-005	1.16902e-005	6.06945e-006	1.52668e-005	1.64002e-005	1.31653e-005	9.40965e-006	1.59288e-005	2.15191e-005	0.0506978	0.0440675	0.0366563	3.26679e-005	0.0280747	0.0224319	0.0189286	0.0160889	0.0116303	0.009242	0.00236596	4.42938e-005	3.00735e-005	3.86555e-006	1.05186e-005	1.17767e-005	2.56128e-005	1.81831e-005	1.02567e-005	5.21459e-006	9.51357e-006
0.071	1.26253e-005	8.15159e-006	2.01791e-005	1.05166e-005	2.18264e-005	1.48023e-005	1.59313e-005	1.60717e-005	1.77866e-005	1.03011e-005	1.99932e-005	1.08059e-005	1.24329e-005	3.29165e-005	0.0516282	0.0447334	0.0373987	2.57735e-005	0.0284964	0.0231539	0.0192651	0.0166334	0.011758	0.00946333	0.00234051	7.41159e-005	1.50487e-005	5.90836e-006	1.02663e-005	1.41915e-005	4.30005e-006	1.2885e-005	6.81604e-006	1.55673e-005	1.84182e-005
0.074	9.00238e-006	1.31209e-005	6.69266e-006	1.38422e-005	1.01246e-005	1.96578e-005	7.83306e-006	1.48174e-005	2.23878e-005	9.71646e-006	1.24696e-005	1.02603e-005	1.28618e-005	0.000138194	0.0529413	0.0460951	0.0384046	0.031751	0.0294247	0.0238465	0.019724	0.0171909	0.0122732	0.00936816	0.00138707	4.45768e-005	4.11207e-005	1.80886e-005	3.89043e-006	2.26107e-005	3.0117e-005	1.60134e-005	1.55776e-005	9.07055e-006	1.0338e-005
0.077	1.452e-005	1.39446e-005	2.84921e-005	3.90483e-005	1.43158e-005	1.25203e-005	2.5462e-005	7.76149e-006	2.21814e-005	1.12205e-005	1.75107e-005	5.40499e-005	1.3191e-005	0.059618	0.0541442	0.0471536	0.0394409	0.0321839	0.0299155	0.0244827	0.0201343	0.0173931	0.0122795	0.00921432	0.00114653	1.90102e-005	1.01519e-005	1.27553e-005	3.36965e-006	3.46065e-005	8.6286e-006	1.36632e-005	1.04241e-005	1.14489e-005	1.64257e-005
0.08	9.62035e-006	1.65172e-005	1.08807e-005	1.42229e-005	1.92942e-006	5.38281e-006	1.90252e-005	6.99989e-006	3.56116e-005	1.99913e-005	3.39063e-005	5.15838e-005	6.99115e-005	0.060277	0.0552411	0.0479903	0.0402724	0.0335148	0.0304137	0.0250341	0.0204605	0.017236	0.0122673	0.00910306	7.58769e-005	5.19626e-005	5.25348e-006	1.6948e-005	1.15002e-006	2.55722e-005	1.59497e-005	2.10746e-005	1.26817e-005	2.19037e-005	5.86364e-006
