Reference Amplitude (V)	6300Hz	6350Hz	6400Hz	6450Hz	6500Hz	6550Hz	6600Hz	6650Hz	6700Hz	6750Hz	6800Hz	6850Hz	6900Hz	6950Hz	7000Hz	7050Hz	7100Hz	7150Hz	7200Hz	7250Hz	7300Hz	7350Hz	7400Hz	7450Hz	7500Hz	7550Hz	7600Hz	7650Hz	7700Hz	7750Hz	7800Hz	7850Hz	7900Hz	7950Hz	8000Hz
0.077	556.362	3099.09	1590.1	1139.35	969.963	880.532	820.253	784.635	736.245	645.036	619.049	574.203	536.561	8066.52	6563.53	4958.14	3572.21	2464.07	2852.72	1943.6	1482.93	1250.51	898.045	736.064	543.228	528.367	516.749	493.617	482.652	468.899	463.079	446.138	445.509	440.495	419.946
0.08	586.311	3289.65	1687.11	1208.53	1034.73	939.731	871.534	827.053	782.361	685.56	648.5	606.34	574.42	7998.42	6802.3	5199.84	3729.28	2675.51	2956.57	2039.49	1546.28	1265.18	920.604	771.728	575.551	555.594	547.456	523.696	506.78	496.197	486.28	470.533	470.794	470.534	445.771
0.083	622.115	3451.96	1774	1269.94	1102.54	988.902	922.512	884.887	823.099	728.199	687.338	12410.6	10484.5	8230.34	7096.7	5407.57	3897.35	2894.39	3114.63	2157.94	1613.05	1302.63	952.233	806.091	610.869	591.557	575.33	550.015	530.442	520.985	510.585	494.129	499.33	491.972	469.775
0.086	651.587	3666.3	1877.49	1341.09	1161.89	1045.56	979.956	928.741	878.611	759.264	16971.8	12238.1	10322	8534.43	7282.57	5612.09	4090.99	3197.79	3209.5	2263	1672.94	1355.96	984.324	841.033	643.65	619.715	606.195	579.626	563.311	549.677	539.136	519.969	526.236	516.688	496.431
0.089	683.042	3842.68	1993.63	1427.79	1225.43	1116.9	1034.11	981.324	929.628	812.552	16309.9	12536.7	10572.8	8795.34	7541.76	5850.1	4300.34	3524.05	3377.73	2361.27	1749.27	1385.93	1032.77	857.03	673.445	656.341	634.004	602.409	594.269	576.127	568.642	545.489	552.291	547.594	517.83
0.092	716.724	4004.43	2072.39	1494.36	1288.71	1172.76	1094.53	1036.88	979.127	855.495	16571.1	13116.9	10826.9	9138.42	7720.07	6027.6	4484.38	3750.2	3495	2409.73	1809.45	1423.11	1078.65	891.256	709.847	686.954	664.351	634.874	622.924	604.057	595.758	573.218	581.282	569.995	544.949
0.095	747.334	4205.23	2176.71	1573.24	1360.73	1229.37	1155.24	1098.28	1032.67	23080.7	16808	13317.6	11042.5	9418.52	8093.73	6201.49	4599.1	4113.09	3628.96	2523.05	1866.6	1476.86	1102.82	920.185	743.662	723.08	696.314	668.054	655.498	637.542	622.518	598.537	605.487	599.163	571.557
0.098	790.671	4386.81	2312.44	1662.08	1425.3	1290.47	1212.28	1139.03	1084.75	22133	17087.8	13681.2	11384.7	9755.7	8412.54	6325.7	4739.1	4380.36	3715.3	2578.11	1968.31	1506.83	1164.33	947.39	780.601	749.447	729.217	707.041	686.51	667.768	650.259	629.318	640.343	623.888	591.54
0.101	823.215	4562.71	2386.03	1744.99	1487.46	1351.68	1277.18	1209.84	1140.61	22153	17474.3	13922.8	11731.2	10020.3	8661.87	6525.12	4916.76	4631.85	3844.98	2686.54	2071.84	1565.39	1215.89	975.089	816.989	785.25	767.623	733.416	712.18	693.196	686.869	660.776	670.212	653.517	624.104
0.104	849.796	4737.17	2516.15	1822.86	1573.14	1422.65	1344.5	1261.6	1198.59	22414.5	17728.3	13721.8	11937.6	10442.9	8932.9	6726.88	5047.55	4895.9	3943.42	2750.63	2082.88	1658.73	1256.04	1000.56	858.61	819.583	797.761	774.049	750.923	731.709	711.87	690.111	701.024	684.369	657.825
0.107	889.593	4921.48	2629.97	1910.47	1648.21	1496.94	1401.83	1326.8	1254.64	22601	18093.7	13742.8	12213.3	10753.3	9072.21	6848.86	5136.91	5061.62	4133.95	2856.02	2123.47	1689.79	1273.43	1030.28	889.855	866.168	833.664	808.917	790.856	764.9	751.114	718.953	736.011	721.717	684.318
0.11	928.536	5089.25	2740.66	1991.7	1723.61	1568.95	1470.07	1384.12	1324.62	22842.9	18452.8	13498.7	12494.9	10945.8	9332.82	6984.17	5335.72	5304.87	4230.88	2937.26	2214.87	1761.33	1328.73	1054.57	932.606	900.205	876.073	846.033	824.184	802.049	782.042	750.46	768.428	748.341	713.177
0.113	963.531	5256.1	2866.2	2101.35	1791.7	1636.95	1539.89	1455.33	1364.15	23283.5	18805.9	13405	12825.8	11082.8	9478.82	7081.09	5473.14	5432.29	4299.77	3036.7	2265.86	1810.94	1383.49	1081.5	981.911	940.589	913.912	884.391	858.266	838.828	814.201	783.274	802.07	782.98	744.271
0.116	998.667	5442.33	2986.29	2176.15	1878.89	1708.59	1597.24	1516.43	1423.84	23566	19150.4	13255.8	13128.6	11356.1	9751.49	7185.45	5630.37	5608.02	4357.32	3101.55	2316.11	1872.3	1405.18	1129	1007.41	980.332	957.984	920.653	896.398	871.028	849.286	822.496	839.44	815.24	775.363
0.119	1044.01	5641.37	3102.87	2266.88	1952.7	1778.59	1660.51	1569.73	1490.22	23961.4	19426.7	13220.7	13349.7	11483.8	9856.73	7475.07	5815.71	5824.77	4496.92	3215.05	2394	1932.98	1452.04	1170.14	1057.54	1022.7	995.743	967.919	933.785	911.926	886.124	852.919	877.147	850.319	803.474
0.122	1074.64	5798.86	3229.87	2371.88	2054.84	1853.04	1729.87	1626.01	1544.03	24205.1	19792.7	14482.6	13587.6	11813.1	10026.7	7642.15	5943.92	5904.95	4617.39	3253.02	2468.42	1980.27	1513.92	1205.53	1095.1	1060.03	1033.48	999.422	967.456	953.969	920.665	892.94	902.163	879.644	842.222
0.125	1116.57	5933.27	3343.36	2464.64	2123.15	1926.95	1814.79	1707.88	33154	24527.7	20153.7	15134.7	13785.5	11929.6	10142	7777.41	6075.01	6120.73	4703.58	3306.76	2570.82	2017.72	1550.08	1223.75	1144.84	1099.79	1079.16	1042.99	1005.28	986.161	962.98	927.436	944.969	917.743	870.663
0.128	1151.62	6107.36	3464.31	2528.36	2227.82	1990.77	1899.96	1759.07	30239.7	24901.9	20489.2	16139.5	13957.6	12161.1	10296.3	7865.24	6187.75	6296.93	4858.89	3449.25	2638.3	2058.18	1584.57	1272.6	1189.13	1149.12	1118.52	1086.81	1051.12	1021.49	996.523	965.034	985.119	953.776	903.364
