Reference Amplitude (V)	6300Hz	6350Hz	6400Hz	6450Hz	6500Hz	6550Hz	6600Hz	6650Hz	6700Hz	6750Hz	6800Hz	6850Hz	6900Hz	6950Hz	7000Hz	7050Hz	7100Hz	7150Hz	7200Hz	7250Hz	7300Hz	7350Hz	7400Hz	7450Hz	7500Hz	7550Hz	7600Hz	7650Hz	7700Hz	7750Hz	7800Hz	7850Hz	7900Hz	7950Hz	8000Hz
0.068	1.00189	1.70947	1.05664	0.97582	0.952684	0.939617	0.92979	0.920792	0.91379	0.901855	0.895151	0.887181	0.885637	0.901564	1.0207	0.955648	0.93803	1.9095	0.989392	0.889894	0.865496	0.843767	0.825162	0.810442	0.798471	0.790199	0.779119	0.774043	0.767345	0.758594	0.750827	0.741195	0.814752	0.739434	0.725019
0.071	1.00188	1.66826	1.05402	0.973881	0.949519	0.936341	0.92731	0.919872	0.91124	0.901246	0.894699	0.885562	0.883054	0.902307	1.00714	0.948098	0.928999	1.94734	0.983311	0.885139	0.862501	0.84106	0.824188	0.809653	0.795141	0.789806	0.779577	0.771982	0.766997	0.758283	0.751578	0.742873	0.812439	0.737145	0.722457
0.074	1.00004	1.63144	1.05039	0.970789	0.948587	0.93459	0.925849	0.917422	0.909741	0.898307	0.893582	0.885671	0.880572	0.901349	1.00023	0.942845	0.926159	1.97638	0.978734	0.882902	0.857848	0.83588	0.820545	0.808244	0.794331	0.78681	0.778894	0.770542	0.76256	0.757767	0.749567	0.741129	0.806262	0.738702	0.72319
0.077	0.99948	1.59911	1.0456	0.969025	0.947254	0.932312	0.922284	0.915219	0.908225	0.897832	0.892244	0.882214	0.878846	1.00234	0.992104	0.936808	0.920585	1.99596	0.975386	0.88089	0.856354	0.83605	0.817925	0.805194	0.792607	0.788503	0.775681	0.767567	0.762101	0.757222	0.74626	0.739375	0.802467	0.736222	0.724331
0.08	0.999212	1.57078	1.04168	0.966402	0.945254	0.931681	0.921862	0.912697	0.906646	0.896056	0.890178	0.880028	0.878997	0.99114	0.983276	0.928431	0.917271	2.00577	0.970245	0.875285	0.852875	0.833136	0.816075	0.803973	0.790556	0.783462	0.774135	0.767113	0.761558	0.754849	0.745185	0.738433	0.797915	0.732043	0.720693
0.083	0.997214	1.54505	1.03853	0.964739	0.942756	0.928257	0.919347	0.911454	0.903642	0.894506	0.887227	1.01693	1.00284	0.983476	0.97509	0.925014	0.916323	1.99848	0.96514	0.87157	0.850729	0.829729	0.814696	0.799767	0.791258	0.783115	0.774313	0.765796	0.760291	0.751949	0.742067	0.737237	0.795356	0.731678	0.718881
0.086	0.996094	1.52023	1.03557	0.962133	0.940013	0.926449	0.916885	0.910939	0.901623	0.893476	1.03909	0.998053	0.990327	0.978789	0.971001	0.918983	0.911697	1.97278	0.96292	0.869116	0.846255	0.829768	0.811562	0.799019	0.78865	0.780418	0.77035	0.763025	0.757762	0.748204	0.744505	0.733443	0.788868	0.729636	0.715364
0.089	0.995145	1.49699	1.03108	0.959868	0.938135	0.924535	0.916286	0.907969	0.899333	0.891718	1.02136	0.988971	0.978182	0.971447	0.967083	0.914606	0.90572	1.93733	0.957188	0.866522	0.845597	0.825333	0.80965	0.795078	0.786758	0.778112	0.769192	0.761264	0.755146	0.747596	0.738974	0.732028	0.785204	0.728773	0.715744
0.092	0.994219	1.47611	1.02788	0.957395	0.935044	0.92179	0.913547	0.904333	0.896544	0.888409	1.01048	0.980387	0.97548	0.966367	0.958028	0.911877	0.902454	1.89886	0.953953	0.864336	0.842521	0.82438	0.806779	0.793331	0.786461	0.774823	0.76551	0.759162	0.75157	0.747014	0.738488	0.731452	0.783236	0.724911	0.711955
0.095	0.992263	1.45519	1.02506	0.95544	0.933997	0.920117	0.911545	0.903069	0.89592	1.04525	0.999283	0.976261	0.963644	0.962025	0.956339	0.905642	0.899871	1.85716	0.950467	0.860808	0.840291	0.82036	0.803344	0.792874	0.781164	0.773138	0.764303	0.756494	0.751375	0.742542	0.73618	0.729141	0.7789	0.722271	0.711944
