Reference Amplitude (V)	6300Hz	6350Hz	6400Hz	6450Hz	6500Hz	6550Hz	6600Hz	6650Hz	6700Hz	6750Hz	6800Hz	6850Hz	6900Hz	6950Hz	7000Hz	7050Hz	7100Hz	7150Hz	7200Hz	7250Hz	7300Hz	7350Hz	7400Hz	7450Hz	7500Hz	7550Hz	7600Hz	7650Hz	7700Hz	7750Hz	7800Hz	7850Hz	7900Hz	7950Hz	8000Hz
0.068	0.906833	0.97409	0.960161	0.949738	0.945157	0.940605	0.935255	0.930679	0.927858	0.918255	0.91549	0.910481	0.904729	0.900304	0.0584108	0.0695393	0.0788962	0.804277	0.31451	0.335679	0.378801	0.447297	0.56907	0.646867	0.887503	0.90214	0.904293	0.89961	0.89797	0.896239	0.892756	0.86129	0.890589	0.889374	0.882132
0.071	0.911987	0.97496	0.96318	0.952662	0.94751	0.942398	0.937847	0.935906	0.934385	0.923035	0.921976	0.914589	0.912542	0.904563	0.0634214	0.074679	0.0813844	0.836318	0.319626	0.333778	0.384252	0.4424	0.581479	0.662662	0.890869	0.908431	0.910149	0.907464	0.903977	0.899578	0.896367	0.883986	0.895829	0.896279	0.889733
0.074	0.917646	0.975881	0.964531	0.955249	0.949569	0.944153	0.942477	0.940037	0.937175	0.927538	0.924265	0.919789	0.916588	0.90773	0.0653917	0.0760073	0.0850237	0.0893153	0.324227	0.338798	0.392352	0.449148	0.592919	0.677826	0.907742	0.913663	0.917139	0.908079	0.911103	0.90667	0.906623	0.901759	0.904428	0.903824	0.896963
0.077	0.920619	0.977265	0.965568	0.956512	0.952145	0.946516	0.943847	0.94059	0.939589	0.931451	0.929827	0.924767	0.921123	0.0517961	0.0660991	0.0776406	0.0866212	0.106173	0.326322	0.343062	0.399307	0.452352	0.595939	0.693523	0.916125	0.920231	0.92035	0.915768	0.914728	0.91207	0.911417	0.908992	0.908343	0.906769	0.900073
0.08	0.923053	0.977636	0.967646	0.959641	0.954666	0.950082	0.946663	0.945367	0.943826	0.935195	0.931769	0.926944	0.924427	0.0560803	0.0692745	0.0803994	0.0882343	0.126338	0.334091	0.347361	0.407405	0.469713	0.616939	0.713449	0.924404	0.923767	0.923785	0.920226	0.91993	0.915576	0.913562	0.91245	0.910738	0.913721	0.90451
0.083	0.925414	0.978123	0.968561	0.959943	0.957057	0.952404	0.949475	0.946308	0.94508	0.939926	0.93583	0.0464032	0.0513686	0.0581725	0.0704802	0.0831422	0.0908929	0.15052	0.340029	0.352967	0.414709	0.483761	0.627782	0.726479	0.92977	0.926307	0.927845	0.925392	0.923154	0.920135	0.917822	0.916119	0.920508	0.91564	0.909408
0.086	0.929931	0.978997	0.969701	0.962184	0.958835	0.953802	0.95241	0.950313	0.94818	0.941991	0.0428766	0.0509427	0.0557365	0.0604303	0.0737069	0.0848123	0.0914081	0.175942	0.348159	0.355417	0.42612	0.494009	0.645343	0.746271	0.933673	0.930002	0.928374	0.928707	0.926649	0.923905	0.921793	0.919321	0.921474	0.920041	0.91454
0.089	0.933409	0.979292	0.970818	0.963069	0.960065	0.956241	0.953277	0.95213	0.950512	0.946078	0.0469185	0.0524284	0.0574963	0.061514	0.0751469	0.0870111	0.0930317	0.201931	0.35256	0.364426	0.431234	0.512559	0.656193	0.761082	0.936201	0.933675	0.933074	0.931578	0.931383	0.928279	0.925549	0.922533	0.923171	0.923383	0.920245
0.092	0.937116	0.979755	0.971112	0.96474	0.96086	0.957747	0.956612	0.954078	0.952147	0.946751	0.0490428	0.0531737	0.0595768	0.0650448	0.0790042	0.090544	0.0958471	0.228579	0.357259	0.372909	0.440285	0.521725	0.662484	0.781178	0.940109	0.936835	0.936708	0.933491	0.932713	0.929995	0.931049	0.928257	0.928424	0.926471	0.92331
0.095	0.937385	0.979953	0.972117	0.966436	0.962449	0.960022	0.958731	0.955686	0.955593	0.0440597	0.0499599	0.0550708	0.061926	0.0662638	0.0813711	0.0927606	0.0968499	0.245258	0.364445	0.37735	0.448626	0.532601	0.674702	0.791631	0.942563	0.939182	0.939701	0.93706	0.934785	0.934178	0.933109	0.92975	0.933095	0.929566	0.926136
0.098	0.940028	0.980584	0.973056	0.967253	0.962858	0.960944	0.959587	0.958595	0.956551	0.0451478	0.0517397	0.0574298	0.0643879	0.0676969	0.0819444	0.0967536	0.0992395	0.261595	0.371478	0.387941	0.449934	0.546368	0.670961	0.8025	0.944292	0.942774	0.941947	0.938404	0.938138	0.937776	0.937043	0.934381	0.935889	0.933966	0.931472
0.101	0.940538	0.981169	0.973907	0.968539	0.963754	0.961784	0.959015	0.95982	0.958107	0.047034	0.0526188	0.0602406	0.065808	0.0688594	0.0845499	0.0990362	0.102287	0.274072	0.379452	0.392872	0.454293	0.560933	0.686548	0.818204	0.946222	0.943584	0.943833	0.942268	0.93989	0.938166	0.939448	0.935335	0.939227	0.936086	0.932189
0.104	0.943914	0.98123	0.974217	0.96873	0.965357	0.963765	0.962242	0.960987	0.959926	0.0480913	0.0549789	0.0597696	0.0687834	0.0698378	0.0878304	0.101331	0.104296	0.286391	0.384708	0.399453	0.468191	0.552275	0.694862	0.838562	0.947932	0.946481	0.94743	0.944087	0.943141	0.941864	0.941744	0.938488	0.941484	0.939127	0.934006
0.107	0.945383	0.98156	0.974958	0.9697	0.966945	0.964574	0.963629	0.961983	0.960696	0.0498701	0.0570222	0.0611554	0.0700569	0.0728111	0.0913861	0.103369	0.108551	0.295151	0.39095	0.405889	0.477957	0.570674	0.706582	0.847631	0.950633	0.949001	0.948777	0.948133	0.945315	0.944403	0.943205	0.942169	0.944081	0.943168	0.937295
0.11	0.947975	0.981565	0.976045	0.971171	0.968247	0.965609	0.964915	0.963109	0.962402	0.0508076	0.0575285	0.0612563	0.0727389	0.0731638	0.092617	0.107369	0.111226	0.305993	0.39543	0.413272	0.481715	0.575037	0.71541	0.869029	0.951788	0.950194	0.951027	0.948911	0.947564	0.945937	0.945563	0.943351	0.945858	0.945135	0.94064
0.113	0.949723	0.981834	0.97605	0.971934	0.969052	0.967159	0.966366	0.965593	0.963309	0.0530168	0.0603187	0.060863	0.0734351	0.0754445	0.0959437	0.109081	0.110152	0.318832	0.402804	0.421445	0.494019	0.586199	0.721305	0.881543	0.954993	0.953185	0.953232	0.950975	0.949871	0.946715	0.94799	0.945704	0.946789	0.946686	0.942248
0.116	0.949404	0.982452	0.976605	0.972424	0.969293	0.96836	0.96671	0.965321	0.964383	0.0539801	0.061019	0.0608293	0.0760975	0.079155	0.0979741	0.111678	0.114227	0.325594	0.416636	0.429894	0.502591	0.590665	0.739853	0.888318	0.955768	0.953654	0.954161	0.952995	0.950768	0.950819	0.950862	0.948015	0.949968	0.947658	0.945081
0.119	0.951059	0.982048	0.977338	0.973079	0.97099	0.968234	0.96778	0.966634	0.965217	0.055758	0.0639296	0.0614566	0.0775428	0.0818256	0.101116	0.112734	0.115425	0.332998	0.42344	0.435574	0.508427	0.601558	0.754161	0.899255	0.957424	0.955296	0.956529	0.954461	0.953692	0.952489	0.952767	0.948569	0.950092	0.951231	0.945589
0.122	0.95255	0.982531	0.977868	0.973981	0.971068	0.969313	0.968948	0.967133	0.967224	0.0580268	0.0648972	0.0629235	0.0798139	0.0816675	0.103749	0.117187	0.116269	0.341563	0.429626	0.446213	0.514909	0.610144	0.757111	0.910539	0.958398	0.95637	0.958253	0.95627	0.954726	0.955275	0.954435	0.951867	0.953337	0.951679	0.948414
0.125	0.954003	0.983006	0.978285	0.974254	0.972557	0.970683	0.969518	0.969216	0.050053	0.0594955	0.0670722	0.0690538	0.0821429	0.0845243	0.105972	0.119504	0.118952	0.350095	0.434944	0.454583	0.518928	0.62093	0.769746	0.925261	0.960324	0.958129	0.958634	0.957386	0.956324	0.956204	0.956457	0.954995	0.95439	0.953718	0.949487
0.128	0.956029	0.98272	0.978503	0.975445	0.973306	0.971054	0.970414	0.968501	0.0553841	0.0613396	0.0681199	0.0730311	0.0854199	0.0876306	0.108509	0.123062	0.120546	0.359278	0.440801	0.457291	0.525287	0.627132	0.778298	0.938805	0.961734	0.960038	0.960991	0.95979	0.957827	0.957116	0.958476	0.956673	0.956137	0.955322	0.952322
