Reference Amplitude (V)	6300Hz	6350Hz	6400Hz	6450Hz	6500Hz	6550Hz	6600Hz	6650Hz	6700Hz	6750Hz	6800Hz	6850Hz	6900Hz	6950Hz	7000Hz	7050Hz	7100Hz	7150Hz	7200Hz	7250Hz	7300Hz	7350Hz	7400Hz	7450Hz	7500Hz	7550Hz	7600Hz	7650Hz	7700Hz	7750Hz	7800Hz	7850Hz	7900Hz	7950Hz	8000Hz
0.02	-2.24028	3.07721	-2.99956	-0.756236	1.1828	0.683296	0.138503	0.561439	0.328146	0.845327	0.839429	0.0452574	1.69541	-0.697899	2.56416	1.62117	0.999575	-0.91781	2.31499	2.45818	2.81496	-0.394839	2.51489	1.27779	0.812572	0.7369	2.31844	-2.80991	0.855832	0.109516	-0.221879	-1.10004	-0.590099	0.265831	-2.13866
0.023	2.55617	1.72622	1.92826	0.101335	1.7657	0.341182	2.50083	-2.80251	-2.27083	0.0845288	1.48746	-2.95044	-0.846965	-0.555223	2.14193	2.6521	2.58348	2.14839	1.83009	-0.0533533	2.60858	1.13111	-1.66147	-2.6691	2.10525	1.88392	-2.16977	-0.504396	0.690716	2.47149	-0.100242	-1.31498	-0.522041	-1.69126	1.5379
0.026	2.52363	-3.13509	-1.00569	-2.58822	0.334673	2.71452	1.79515	-0.333683	1.17319	-1.88332	2.31095	-0.265129	1.58477	2.3038	-2.00486	1.33045	2.63921	-1.33818	3.00862	0.826645	-2.71519	1.10187	-0.432033	-0.292316	-0.860442	1.28022	-2.98132	-3.09808	1.6417	-2.88574	1.82872	1.37399	-2.18012	-0.657661	-0.382954
0.029	-0.879352	-2.87599	1.10464	1.93514	-1.6016	-2.24311	1.35465	-0.755206	1.73503	-0.341784	-0.23558	1.20791	2.88357	-0.357762	-1.60407	-0.39201	-1.11583	-1.13498	1.32209	-0.0469798	-0.379702	1.45215	2.34229	-2.79486	-2.32729	2.39014	1.29224	0.66126	-2.58871	1.74629	1.27413	-0.223569	-0.798892	-0.121234	3.11057
0.032	3.1349	0.203952	-1.3754	2.58801	-2.35477	2.01427	-3.03885	0.7185	-0.258948	2.51354	2.6345	-0.374614	-1.53517	0.0380834	-3.03967	1.09315	-1.36675	2.69696	-2.19269	0.64431	-0.895777	2.77538	1.82846	2.96154	2.05685	-2.92062	1.33392	-2.99108	-3.11523	-2.72264	-0.909505	-2.09108	1.86401	-0.5869	1.27328
0.035	-0.988107	-1.77992	2.25704	1.74459	1.06234	-2.0508	0.953798	0.192594	1.08418	2.51833	-1.89684	-0.739714	-0.432916	0.10877	2.64983	-1.99777	-0.602972	0.658889	-2.42932	2.91533	-1.33816	-2.67304	1.88409	-2.6497	2.26601	-1.26892	-0.227985	3.03602	3.05588	-0.474093	1.69367	-2.52673	-2.03306	-0.738203	-0.470548
0.038	0.614553	-2.68182	2.20721	-1.19149	3.00943	-2.11736	-2.20948	-2.59924	-2.39732	-2.13388	0.595232	1.08965	-1.58102	-1.57064	0.539079	1.0635	-2.46046	-1.93193	-2.24564	2.29456	1.13274	-0.966054	-0.158828	-2.32636	-0.874835	-0.245217	-1.40083	3.06797	0.497421	-1.37395	-2.16812	-1.598	-0.902088	-3.11586	0.937543
0.041	-0.83516	-0.368855	-0.00548019	-1.14599	-2.84741	0.153804	0.197991	-0.298955	-2.53827	-1.68362	-0.852433	1.39325	2.57287	-1.85309	2.64559	-0.74667	0.502871	2.68159	-2.08113	2.57491	1.7145	0.260534	1.10069	0.400075	1.75355	2.29133	0.0924415	-2.6932	1.74321	1.25975	2.53538	1.77466	-0.110221	-0.860517	-1.90424
0.044	-2.8209	2.10675	-0.0143164	-3.10783	-0.547014	-2.06301	-2.38261	-2.29992	-1.95008	-2.23818	-2.69659	-1.64682	-1.82758	-0.356925	-1.04177	0.0140497	1.67551	2.61331	2.14585	-1.7821	-0.129348	1.77605	2.33693	2.97866	1.15578	2.08006	-0.413699	-2.64487	2.11874	1.62325	1.57563	1.9454	0.167244	-1.59826	1.30497
0.047	-1.15104	-0.737966	2.77441	-1.60017	-2.94504	2.67798	-0.692371	1.95579	0.491752	2.27867	2.02517	-0.0539625	-3.02818	-1.00276	2.03494	0.343208	1.04333	-2.3539	2.81719	0.0504108	2.44849	-1.92184	-2.70602	1.9502	2.50725	-1.24761	0.532865	-1.90815	0.677278	1.17085	1.4584	-0.752064	-2.04774	-1.4757	1.13826
