Reference Amplitude (V)	6300Hz	6350Hz	6400Hz	6450Hz	6500Hz	6550Hz	6600Hz	6650Hz	6700Hz	6750Hz	6800Hz	6850Hz	6900Hz	6950Hz	7000Hz	7050Hz	7100Hz	7150Hz	7200Hz	7250Hz	7300Hz	7350Hz	7400Hz	7450Hz	7500Hz	7550Hz	7600Hz	7650Hz	7700Hz	7750Hz	7800Hz	7850Hz	7900Hz	7950Hz	8000Hz
0.02	0.00490577	0.00269036	0.0090396	0.00713601	0.0064255	0.00606946	0.00576223	0.00565547	0.00546571	0.00495254	0.00485203	0.00466478	0.00450982	0.00430835	0.00443276	0.00426186	0.00384788	0.0023724	0.00727555	0.00570927	0.00524666	0.00508642	0.00495651	0.00479062	0.00468414	0.0046081	0.00451505	0.00443764	0.00437001	0.00429512	0.00424097	0.00416645	0.00388691	0.00420347	0.00403352
0.023	0.005587	0.00304721	0.0103293	0.00810143	0.00735547	0.00691981	0.00659679	0.00642858	0.00623197	0.00572996	0.0055653	0.00535657	0.00517149	0.00497779	0.00509702	0.0049113	0.00437726	0.00267556	0.0082979	0.00655659	0.00602687	0.00582186	0.00567774	0.00550484	0.00535491	0.00529931	0.00516516	0.00510124	0.00507123	0.00495827	0.0049103	0.00477838	0.00444905	0.0048021	0.00459837
0.026	0.00629307	0.0033926	0.0115044	0.00915335	0.00831893	0.00777389	0.00742778	0.00721332	0.00704808	0.00642548	0.00627795	0.00605545	0.00585127	0.00562393	0.00574835	0.00553242	0.00496836	0.00301462	0.00922773	0.00737755	0.0067599	0.00656904	0.00641478	0.00616735	0.006015	0.00596571	0.00582984	0.00575459	0.00567484	0.00557169	0.00553127	0.00538498	0.005011	0.00542207	0.00522111
0.029	0.00696334	0.00376095	0.012679	0.0101891	0.00921682	0.00864839	0.00825938	0.00802578	0.00781269	0.00717323	0.00699164	0.00677237	0.00654784	0.00621346	0.00642822	0.00617942	0.00554347	0.0032791	0.0101648	0.00818591	0.00754115	0.00728705	0.00714541	0.00687032	0.00670305	0.00658567	0.00647674	0.0063875	0.00631509	0.00621164	0.00614352	0.00595419	0.00557128	0.00604522	0.00580182
0.032	0.00762864	0.00413537	0.0137908	0.0111118	0.0101326	0.00949051	0.00899933	0.008863	0.00853468	0.00785378	0.00765499	0.0073951	0.00718631	0.00683305	0.00707489	0.00677201	0.00610884	0.00359342	0.0111214	0.00900513	0.00823798	0.0079978	0.00781477	0.00760673	0.00736765	0.00728575	0.00713213	0.0070025	0.00691335	0.00679362	0.00672524	0.00660187	0.00611767	0.00664597	0.00639002
0.035	0.00825096	0.00451145	0.0148104	0.0120268	0.0110015	0.0103685	0.00982057	0.00965754	0.00931275	0.00855989	0.00839314	0.00808909	0.00781491	0.00745276	0.00769481	0.00738472	0.00661057	0.00390174	0.0120314	0.00973755	0.00909283	0.00869463	0.0085204	0.00818596	0.00803022	0.00789415	0.00772003	0.0076324	0.00751689	0.00743569	0.00730732	0.00714874	0.00664797	0.0072081	0.00694493
0.038	0.00892864	0.00502696	0.0158095	0.0129717	0.0118159	0.0111773	0.0106517	0.010364	0.0100644	0.00920955	0.00904366	0.00871573	0.0084338	0.00808267	0.00831112	0.00797376	0.00715714	0.00421589	0.0128809	0.0104493	0.00967883	0.00937116	0.00915447	0.00890815	0.00868071	0.00848226	0.00837869	0.00820595	0.00814242	0.00801475	0.00791427	0.00769262	0.00723539	0.00774751	0.00746917
0.041	0.00951207	0.00579721	0.0168788	0.013812	0.012679	0.0119638	0.0114374	0.0110679	0.010755	0.00988329	0.00972107	0.00939266	0.00903725	0.008646	0.00890521	0.00852886	0.00760488	0.00450283	0.0136824	0.0111114	0.0103706	0.0100222	0.0098176	0.00950173	0.00932629	0.00917495	0.00896546	0.00876963	0.00873574	0.00860952	0.00845043	0.00830496	0.00779314	0.00834767	0.00803407
0.044	0.0101091	0.0072557	0.0178456	0.0145919	0.0133751	0.0127496	0.0121392	0.0117468	0.0114947	0.0105784	0.010371	0.00998997	0.00961712	0.00922874	0.00947213	0.00911067	0.00807971	0.00483298	0.0143956	0.0117889	0.010958	0.010621	0.0104317	0.0100581	0.00995222	0.00976185	0.0095869	0.00935526	0.00929496	0.00916083	0.00904857	0.00880654	0.00839907	0.00882253	0.0085802
0.047	0.0106693	0.0103842	0.0187914	0.0154254	0.0141564	0.0134082	0.012841	0.0125023	0.0121569	0.0112065	0.0109975	0.0106086	0.010169	0.00978915	0.0100443	0.00963431	0.00855916	0.00514776	0.0151648	0.0124517	0.0116273	0.0113058	0.0110051	0.0108062	0.0104661	0.0103135	0.0101514	0.00994378	0.00983252	0.00973769	0.00953063	0.00936051	0.00900764	0.00933665	0.00904525
0.05	0.0112021	0.0183106	0.0196283	0.0162369	0.0149028	0.0140636	0.0135403	0.0131908	0.0127685	0.0118231	0.0115701	0.0112284	0.0108086	0.0103241	0.0106139	0.0101406	0.00901737	0.00545627	0.0158701	0.0131885	0.0122445	0.0118547	0.0116116	0.011287	0.0110359	0.0108249	0.0106505	0.0104664	0.0103508	0.0102697	0.0100854	0.00976937	0.00958855	0.00987606	0.00957279
0.053	0.0117411	0.0247961	0.0205594	0.0170697	0.0156297	0.0147806	0.014244	0.0138083	0.0135377	0.0124623	0.0121539	0.011735	0.011295	0.0108769	0.0111818	0.0106292	0.0094595	0.00587991	0.0166195	0.0138367	0.0128176	0.0124403	0.0120977	0.0118769	0.0115862	0.0113814	0.0111881	0.0110043	0.010838	0.0107293	0.0105411	0.0103197	0.0101339	0.0103518	0.0100429
0.056	0.0123081	0.0275252	0.0213933	0.0176983	0.016356	0.0154579	0.0148952	0.0144666	0.0140695	0.0130744	0.0127776	0.0123346	0.0118637	0.0113604	0.0116762	0.0110759	0.00992282	0.00628808	0.0163949	0.0137139	0.01296	0.0127163	0.0125347	0.0122499	0.0121534	0.011912	0.0117448	0.0114836	0.011407	0.0111964	0.0110277	0.0107995	0.0106783	0.0108287	0.0105315
0.059	0.0128002	0.0295843	0.0220955	0.0183891	0.0169672	0.0161164	0.0155129	0.0151163	0.0147134	0.0136617	0.013292	0.0128471	0.0123182	0.0118952	0.0121606	0.0116172	0.0103127	0.00678123	0.0170513	0.0143355	0.013502	0.0131712	0.0129911	0.0127992	0.0125948	0.0123709	0.0122406	0.0119804	0.011799	0.0117104	0.0114976	0.0113068	0.0111777	0.0112382	0.0110182
0.062	0.013288	0.0312787	0.0230829	0.0192138	0.0177061	0.0167143	0.016058	0.015691	0.0152923	0.0141964	0.0138368	0.0133831	0.0128817	0.012419	0.0126734	0.0120746	0.0107773	0.00741533	0.0177018	0.0148992	0.0140948	0.0137231	0.0135136	0.0132444	0.0131422	0.0129528	0.0127099	0.0124728	0.0123188	0.0121626	0.0120086	0.0117817	0.0116761	0.0117047	0.0114149
0.065	0.0137513	0.0328562	0.0239074	0.0199269	0.0184251	0.0174026	0.0167366	0.0162912	0.0159509	0.0148675	0.0144134	0.0138621	0.0134209	0.0128589	0.0131259	0.012443	0.01047	0.00814817	0.0183742	0.0154591	0.0146213	0.0142686	0.0140634	0.0137868	0.0136383	0.0133871	0.0131675	0.0128493	0.0127206	0.0125662	0.0124085	0.012229	0.0121217	0.0120983	0.0118746
0.068	0.0142298	0.034515	0.0246984	0.0206219	0.0190347	0.0180467	0.0174998	0.016972	0.0163807	0.0154323	0.0150035	0.0144266	0.0138884	0.0133325	0.0128059	0.0122204	0.010866	0.0091194	0.019121	0.0160904	0.015119	0.014851	0.0145497	0.0142188	0.0141488	0.0137846	0.0136529	0.0133807	0.0131947	0.0129988	0.012878	0.0126656	0.0126141	0.0125298	0.0122178
0.071	0.0146812	0.0358244	0.0255374	0.021425	0.0197543	0.0186668	0.0180578	0.0175886	0.0170939	0.0158776	0.0154646	0.0148679	0.0144206	0.0137894	0.0133769	0.0127028	0.011245	0.0102187	0.0197113	0.0166805	0.015739	0.0153538	0.0149882	0.014747	0.0146465	0.0142403	0.0140978	0.0138187	0.0136378	0.0134489	0.0132979	0.0130786	0.0130027	0.0130086	0.0126904
0.074	0.015149	0.0370342	0.0263751	0.0221216	0.0203669	0.019437	0.0187003	0.0181765	0.0176847	0.0165113	0.0159905	0.0154212	0.0149247	0.0142409	0.0139372	0.0132421	0.0117179	0.010202	0.020553	0.0172926	0.0162942	0.0158892	0.0155481	0.0152914	0.0150124	0.0147009	0.0146077	0.0142434	0.0140614	0.0138662	0.0137181	0.0135435	0.0134394	0.0134359	0.0130694
0.077	0.0156376	0.0381458	0.0271698	0.0228953	0.021039	0.0200886	0.0192927	0.0187675	0.0182384	0.0169704	0.0165382	0.015951	0.0153881	0.0142563	0.0144646	0.0137142	0.0120914	0.0112994	0.0211022	0.017918	0.0168154	0.0163851	0.0160182	0.0157195	0.0154824	0.0151488	0.0150538	0.0146667	0.0144838	0.0142895	0.0141392	0.013905	0.0138956	0.0138282	0.0134555
0.08	0.0161723	0.0392564	0.0280054	0.0235911	0.0217661	0.020726	0.0198867	0.0194409	0.0188513	0.0175555	0.0170674	0.0164344	0.0159103	0.0145954	0.0148675	0.0142072	0.01259	0.0129017	0.0218099	0.0184377	0.0173641	0.016969	0.0164623	0.0162052	0.0159289	0.015687	0.015468	0.0151132	0.0149575	0.0147367	0.0145611	0.0143011	0.0143865	0.0143239	0.013855
0.083	0.0165778	0.0402568	0.02873	0.0241825	0.0224681	0.0213164	0.0205011	0.0200289	0.0194535	0.0181608	0.0175469	0.0166565	0.016086	0.0150842	0.0154495	0.0147429	0.0130342	0.0146873	0.0224417	0.0190825	0.018018	0.0174904	0.0170218	0.0167575	0.0164486	0.0161695	0.0159344	0.0155219	0.0153606	0.0151821	0.0149911	0.0146822	0.0148269	0.0146594	0.0142165
0.086	0.0170608	0.0415122	0.0296105	0.0250088	0.0231447	0.0218986	0.0211271	0.0205594	0.020044	0.0185595	0.0188258	0.0171309	0.0166138	0.0158005	0.0160454	0.0151259	0.0135006	0.0166953	0.0231424	0.0197029	0.0185264	0.018011	0.0174606	0.0172346	0.0169093	0.0165902	0.016418	0.0160024	0.0157967	0.0156074	0.015418	0.0151101	0.0151786	0.0150645	0.0147062
