Reference Amplitude (V)	6300Hz	6350Hz	6400Hz	6450Hz	6500Hz	6550Hz	6600Hz	6650Hz	6700Hz	6750Hz	6800Hz	6850Hz	6900Hz	6950Hz	7000Hz	7050Hz	7100Hz	7150Hz	7200Hz	7250Hz	7300Hz	7350Hz	7400Hz	7450Hz	7500Hz	7550Hz	7600Hz	7650Hz	7700Hz	7750Hz	7800Hz	7850Hz	7900Hz	7950Hz	8000Hz
0.095	701.861	4081.79	2118.41	1530.98	1307.43	1181.79	1103.93	1043.93	982.665	1042.99	841.635	734.79	687.118	628.007	661.016	574.73	448.108	992.72	1321.86	951.104	837.49	796.642	753.168	729.354	697.193	672.155	658.294	626.332	616.276	594.23	579.713	560.504	566.291	558.775	527.949
0.098	746.864	4309.5	2254.66	1615.69	1369.77	1248	1166.39	1095.38	1044.66	996.754	874.474	789.133	741.234	665.046	690.796	607.826	466.668	1147.53	1383.98	1003.3	887.891	819.957	791.623	765.628	742.855	708.453	695.274	657.755	641.477	627.936	611.254	585.619	599.54	585.051	554.579
0.101	774.272	4476.37	2338.1	1682.94	1436.4	1306.35	1225.04	1161.28	1091.18	1042.83	925.703	840.626	782.693	692.939	733.248	645.008	498.397	1269.29	1469.07	1049.31	935.966	878.283	835.328	801.138	775.576	743.919	724.932	695.647	676.178	659.161	644.724	620.724	630.24	609.473	584.284
0.104	809.595	4638.44	2456.23	1759.32	1515.16	1380.86	1287.24	1215.14	1148.48	1099.99	982.573	817.857	828.806	740.9	790.625	678.824	529.749	1401.99	1523.74	1106.71	975.513	922.33	880.059	836.389	814.215	781.066	756.942	725.794	712.948	686.959	671.534	649.54	661.057	644.752	610.958
0.107	839.502	4832.17	2572.57	1856.32	1594.44	1451.98	1352.7	1266.21	1209.57	1137.89	1034.67	821.11	855.764	772.19	826.345	709.516	556.29	1491.6	1605.52	1165.1	1030.25	967.115	906.044	876.957	852.684	814.476	802.025	760.607	742.274	724.028	705.745	681.929	693.424	680.842	639.634
0.11	880.037	5007.79	2675.74	1941.25	1664.51	1502.27	1416.26	1336.01	1264.32	1171.13	1080.17	815.761	895.295	802.398	877.419	748.197	592.733	1615.6	1665.46	1216.83	1072.08	1019.64	948.922	918.871	889.128	859.267	833.533	794.876	776.716	758.126	740.326	709.694	726.97	711.271	671.424
0.113	923.723	5203.4	2796.02	2028.88	1741.61	1579.12	1477.94	1393.72	1310.74	1230.45	1131.67	810.189	944.087	839.485	907.299	784.997	604.436	1733.87	1754.4	1280.98	1108.81	1072.1	994.64	964.796	927.829	890.835	871.927	841.891	818.14	801.111	768.565	743.697	759.822	745.045	703.27
0.116	957.132	5373.52	2902.1	2124.39	1818.53	1654.33	1547.41	1470.18	1382.73	1263.16	1184.47	809.48	994.055	908.147	950.939	806.974	640.576	1837.72	1839.93	1348.24	1170.65	1116.13	1044.93	1002.42	976.135	933.429	911.302	880.12	848.406	828.595	816.555	774.353	795.166	768.69	732.345
0.119	988.861	5555.22	3022.25	2222.35	1907.86	1723.43	1610.45	1511.82	1440.43	1344.41	1228.74	809.696	1045.64	950.197	989.608	849.256	668.817	1941.85	1907.99	1403.2	1222.7	1164.81	1099.17	1059.07	1010.56	978.156	952.882	921.344	892.501	864.961	852.54	812.062	830.987	808.256	769.036
0.122	1034.48	5722.85	3126.06	2305.3	1983.64	1791.76	1681.86	1572.02	1501.04	1412.8	1321.79	865.567	1107.23	990.743	1032.46	879.469	700.98	2038.71	1991.71	1469.24	1274.72	1213.36	1151.83	1107.66	1047.29	1017.75	997.256	962.704	924.36	908.244	878.048	842.685	877.094	838.33	799.905
0.125	1066.87	5889.18	3263.56	2402.18	2065.79	1875.3	1757.74	1641.18	1803.36	1451.5	1340.73	1026.89	1141.02	1012.12	1092.86	921.342	727.366	2158.32	2072.56	1524.04	1323.36	1258.12	1204.01	1143.93	1092.13	1054.8	1028.65	1000.97	967.967	945.373	916.433	889.559	902.076	875.455	830.902
0.128	1108.47	6045.6	3371.52	2490.4	2153.72	1948.35	1839.39	1703.21	1697.96	1510.89	1403.55	1176.78	1186.12	1069.38	1123.74	971.251	753.011	2263.22	2159.87	1584.73	1386.13	1303.59	1244.07	1196.89	1147.34	1107.78	1078.29	1041.29	1007.01	984.556	959.933	922.075	945.853	918.996	864.123
