Reference Amplitude (V)	6300Hz	6350Hz	6400Hz	6450Hz	6500Hz	6550Hz	6600Hz	6650Hz	6700Hz	6750Hz	6800Hz	6850Hz	6900Hz	6950Hz	7000Hz	7050Hz	7100Hz	7150Hz	7200Hz	7250Hz	7300Hz	7350Hz	7400Hz	7450Hz	7500Hz	7550Hz	7600Hz	7650Hz	7700Hz	7750Hz	7800Hz	7850Hz	7900Hz	7950Hz	8000Hz
0.068	0.0443066	0.103382	0.0734013	0.0630631	0.0584847	0.0550879	0.0537587	0.0527249	0.0511003	0.048885	0.0465219	0.0453404	0.0434205	0.042682	0.171319	0.142667	0.116379	0.0301285	0.116083	0.0940777	0.0841826	0.077832	0.0689706	0.0635062	0.049328	0.0435682	0.0423867	0.0420913	0.0420913	0.0417959	0.0410575	0.0329346	0.040319	0.0401713	0.0391375
0.071	0.0460789	0.105302	0.075912	0.0640969	0.0596662	0.0567125	0.0556787	0.0547925	0.0528726	0.0490327	0.0490327	0.0459312	0.0459312	0.0428297	0.157288	0.140747	0.117708	0.0335253	0.120514	0.0971792	0.0877271	0.0813765	0.0707429	0.06454	0.0509526	0.0454881	0.044602	0.0434205	0.042682	0.0429774	0.0419436	0.0373652	0.0409098	0.0416482	0.040319
0.074	0.0471127	0.108699	0.0788658	0.0664599	0.0623246	0.0587801	0.0587801	0.0567125	0.0540541	0.0508049	0.0491803	0.0487373	0.0465219	0.0453404	0.162015	0.144292	0.120809	0.112539	0.123468	0.102053	0.0896471	0.0832964	0.0722198	0.0666076	0.0499188	0.0462266	0.0456358	0.0447497	0.0437159	0.0447497	0.0431251	0.0409098	0.042239	0.0419436	0.0415005
0.077	0.0481465	0.113573	0.0812288	0.0695614	0.0638015	0.0612908	0.0598139	0.0584847	0.055531	0.0530203	0.0506572	0.049328	0.0484419	0.190518	0.166593	0.14695	0.124797	0.11121	0.126865	0.105893	0.0933393	0.0850687	0.0738444	0.0670507	0.0527249	0.0471127	0.046965	0.0448974	0.0459312	0.0441589	0.0448974	0.0438636	0.0444543	0.0437159	0.0432728
0.08	0.0500665	0.116526	0.0830011	0.075912	0.0652784	0.0624723	0.0607001	0.0589278	0.0574509	0.0531679	0.0534633	0.0506572	0.0500665	0.181214	0.170285	0.150347	0.128637	0.116231	0.131	0.107222	0.0955546	0.0871363	0.0745828	0.0685276	0.0528726	0.049328	0.0479988	0.0474081	0.0472604	0.0457835	0.0459312	0.0448974	0.0450451	0.044602	0.0438636
0.083	0.0505095	0.120366	0.0850687	0.0732536	0.0679368	0.0652784	0.0624723	0.0614385	0.0592232	0.0561217	0.0543495	0.233791	0.214592	0.184906	0.175159	0.152858	0.132034	0.123172	0.13292	0.1118	0.0967361	0.0884655	0.0763551	0.0702998	0.0521341	0.0499188	0.0496234	0.0487373	0.0481465	0.0474081	0.0468173	0.0457835	0.0466696	0.0460789	0.044602
0.086	0.0524295	0.121843	0.0875794	0.0748782	0.0700045	0.0664599	0.0633585	0.0624723	0.0612908	0.0577463	0.305568	0.222715	0.206912	0.188303	0.176931	0.156993	0.134987	0.130852	0.135135	0.113277	0.0995422	0.091567	0.077832	0.0719244	0.0521341	0.0513957	0.0506572	0.0499188	0.048885	0.0482942	0.0484419	0.0471127	0.0463743	0.0468173	0.0468173
0.089	0.0540541	0.124354	0.0899424	0.0775366	0.0714813	0.0674937	0.0646877	0.06454	0.0627677	0.0581894	0.259489	0.226555	0.209127	0.192881	0.180476	0.160538	0.13927	0.139566	0.139123	0.115493	0.101462	0.0920101	0.0824103	0.0717767	0.0533156	0.053611	0.0522818	0.0509526	0.0511003	0.049328	0.0491803	0.0484419	0.0487373	0.0484419	0.0475558
0.092	0.0553833	0.127751	0.0930439	0.0787181	0.0734013	0.0695614	0.0688229	0.0655738	0.0636538	0.0605524	0.259637	0.223896	0.212081	0.195983	0.183577	0.163787	0.141486	0.144144	0.142815	0.118594	0.101905	0.0942254	0.0819672	0.0726629	0.0556787	0.0542018	0.0528726	0.0530203	0.0524295	0.0509526	0.0508049	0.0491803	0.0500665	0.0499188	0.0485896
0.095	0.0571555	0.130705	0.09393	0.080195	0.0741397	0.0719244	0.0691183	0.0676414	0.0651307	0.321961	0.262591	0.23453	0.214296	0.199084	0.187269	0.166298	0.144735	0.151086	0.145621	0.121991	0.105007	0.0954069	0.0827057	0.0750259	0.0568602	0.0550879	0.0546448	0.0534633	0.0533156	0.053611	0.051248	0.0497711	0.051248	0.0503619	0.0497711
0.098	0.0580417	0.133511	0.0977699	0.0834441	0.0763551	0.0732536	0.0707429	0.0686753	0.0677891	0.302023	0.264215	0.236893	0.218136	0.203663	0.190814	0.169547	0.146507	0.158027	0.147689	0.122434	0.108551	0.0955546	0.0846256	0.0750259	0.0568602	0.0561217	0.055974	0.0542018	0.0537587	0.0546448	0.0533156	0.0518387	0.0522818	0.0522818	0.0503619
0.101	0.0589278	0.136612	0.100724	0.084478	0.078275	0.0760597	0.0732536	0.0713337	0.0683799	0.302319	0.267169	0.240733	0.221238	0.206764	0.194358	0.171024	0.14887	0.162015	0.150347	0.123911	0.10988	0.0979176	0.0866933	0.0757643	0.0593709	0.0570078	0.0571555	0.0556787	0.0544971	0.0547925	0.0542018	0.0525772	0.0530203	0.0531679	0.0519864
0.104	0.0598139	0.138384	0.101462	0.0865456	0.0797519	0.0770935	0.0745828	0.0738444	0.0705952	0.30158	0.271157	0.239846	0.223453	0.210604	0.198198	0.175454	0.151824	0.167331	0.152415	0.125978	0.111653	0.10161	0.0878748	0.075912	0.0599616	0.0587801	0.0592232	0.0580417	0.0553833	0.0553833	0.0556787	0.0539064	0.0550879	0.0549402	0.0519864
0.107	0.0620293	0.141486	0.104859	0.0890563	0.082558	0.0794565	0.0763551	0.0741397	0.0732536	0.304534	0.27411	0.237336	0.227441	0.213558	0.201152	0.177817	0.154335	0.171762	0.15655	0.129228	0.114459	0.101905	0.0889086	0.0769458	0.062177	0.0595186	0.0593709	0.0581894	0.058337	0.0565648	0.0558263	0.0552356	0.0580417	0.0550879	0.0533156
0.11	0.0624723	0.143258	0.105745	0.0917147	0.0838872	0.0807857	0.077832	0.0767981	0.0739921	0.308079	0.279132	0.23453	0.23261	0.21725	0.203072	0.179442	0.157584	0.176193	0.156402	0.132034	0.114606	0.104268	0.0887609	0.0772412	0.06262	0.0615862	0.0620293	0.0593709	0.0592232	0.058337	0.0577463	0.0564171	0.057894	0.0567125	0.0550879
0.113	0.0635062	0.145178	0.108847	0.0921578	0.086841	0.0824103	0.0800473	0.0775366	0.0763551	0.310146	0.281052	0.234087	0.233939	0.220352	0.205287	0.180919	0.158913	0.178408	0.16039	0.135431	0.117117	0.104268	0.0914193	0.0773889	0.0632108	0.0627677	0.062177	0.0615862	0.060257	0.060257	0.0593709	0.058337	0.0581894	0.0571555	0.0564171
0.116	0.06454	0.148427	0.109585	0.0940777	0.0875794	0.0843303	0.0810811	0.0794565	0.0769458	0.312509	0.284005	0.235564	0.236745	0.221976	0.209275	0.182839	0.161571	0.182248	0.161571	0.136169	0.119037	0.10737	0.0923055	0.0784227	0.0657215	0.0640969	0.0632108	0.0635062	0.062177	0.0601093	0.0605524	0.0587801	0.0601093	0.0592232	0.0570078
0.119	0.0671984	0.150643	0.112243	0.0968838	0.0897947	0.0847733	0.0822626	0.0812288	0.0787181	0.313839	0.285039	0.233348	0.238517	0.224191	0.211933	0.18594	0.164821	0.185054	0.16423	0.137203	0.121252	0.108699	0.0937823	0.0796042	0.0661646	0.0664599	0.0642446	0.0639492	0.0636538	0.0617339	0.0618816	0.0598139	0.0612908	0.0607001	0.058337
0.122	0.0676414	0.152562	0.113868	0.0979176	0.0921578	0.0884655	0.0852164	0.0819672	0.0797519	0.318269	0.28947	0.241028	0.243243	0.227145	0.213263	0.188303	0.166741	0.188746	0.166741	0.139861	0.121991	0.111357	0.0951115	0.082558	0.0683799	0.0671984	0.0661646	0.0667553	0.0639492	0.0636538	0.0623246	0.0611431	0.0617339	0.060257	0.0595186
0.125	0.0686753	0.155369	0.115197	0.0995422	0.0937823	0.0893517	0.0871363	0.0847733	0.408212	0.320632	0.29139	0.254468	0.246345	0.229656	0.21533	0.190223	0.168661	0.190962	0.167184	0.141338	0.125388	0.111062	0.0971792	0.0810811	0.0680845	0.0673461	0.0673461	0.0657215	0.0652784	0.064983	0.0635062	0.0623246	0.0632108	0.0630631	0.0604047
0.128	0.0688229	0.158765	0.118446	0.102644	0.0952592	0.0908286	0.0883179	0.0856595	0.357111	0.322848	0.295525	0.256535	0.245754	0.231281	0.216512	0.1917	0.170433	0.194358	0.170876	0.14311	0.126717	0.1118	0.0979176	0.0797519	0.0719244	0.069266	0.0682322	0.0674937	0.0657215	0.0651307	0.0655738	0.0640969	0.0638015	0.0638015	0.0614385
