Reference Amplitude (V)	6300Hz	6350Hz	6400Hz	6450Hz	6500Hz	6550Hz	6600Hz	6650Hz	6700Hz	6750Hz	6800Hz	6850Hz	6900Hz	6950Hz	7000Hz	7050Hz	7100Hz	7150Hz	7200Hz	7250Hz	7300Hz	7350Hz	7400Hz	7450Hz	7500Hz	7550Hz	7600Hz	7650Hz	7700Hz	7750Hz	7800Hz	7850Hz	7900Hz	7950Hz	8000Hz
0.08	0.0287993	0.0618816	0.0453404	0.0389898	0.0361837	0.0344115	0.0341161	0.0324915	0.0326392	0.0307193	0.0301285	0.028947	0.028947	0.111062	0.103677	0.0921578	0.0793088	0.0635062	0.0779796	0.0666076	0.0581894	0.0530203	0.0451928	0.0401713	0.028947	0.0274701	0.027027	0.0268793	0.0267317	0.0268793	0.0256978	0.0256978	0.0261409	0.0252548	0.0249594
0.083	0.0287993	0.0629154	0.0466696	0.0400236	0.0373652	0.0351499	0.0344115	0.0339684	0.0333777	0.0310146	0.0302762	0.149018	0.130852	0.112686	0.105154	0.093487	0.0818196	0.0666076	0.0804904	0.0680845	0.0596662	0.0540541	0.0456358	0.042239	0.0299808	0.0282085	0.0280609	0.0273224	0.0268793	0.0268793	0.0267317	0.0259932	0.0261409	0.0258455	0.0254025
0.086	0.0299808	0.0654261	0.0474081	0.0406144	0.0381037	0.0367745	0.0357407	0.035593	0.0341161	0.0327869	0.0314577	0.135135	0.125535	0.114459	0.106927	0.0952592	0.0837395	0.0700045	0.0822626	0.069266	0.0604047	0.0544971	0.0463743	0.0425344	0.0299808	0.0292424	0.0287993	0.0283562	0.0276178	0.0276178	0.0274701	0.0264363	0.027027	0.0285039	0.0258455
0.089	0.0299808	0.0663122	0.0485896	0.0417959	0.0386944	0.0375129	0.036036	0.0347069	0.0352976	0.0324915	0.154187	0.135874	0.127455	0.117117	0.108847	0.0977699	0.0843303	0.0741397	0.0824103	0.0700045	0.0611431	0.055531	0.0472604	0.0419436	0.0299808	0.0301285	0.0298331	0.028947	0.0285039	0.0285039	0.0276178	0.0276178	0.0280609	0.0276178	0.0267317
0.092	0.0317531	0.0679368	0.0500665	0.0428297	0.039876	0.0383991	0.0378083	0.0367745	0.035593	0.0333777	0.153301	0.133658	0.127751	0.118151	0.110471	0.098213	0.0858072	0.0767981	0.084478	0.0728105	0.0617339	0.0561217	0.0478511	0.042239	0.0308669	0.0301285	0.0302762	0.0290947	0.0290947	0.0290947	0.0285039	0.0277655	0.0277655	0.0282085	0.0276178
0.095	0.0314577	0.0700045	0.0506572	0.0435682	0.0404667	0.0394329	0.0373652	0.0372176	0.0364791	0.205435	0.15463	0.1406	0.129818	0.120071	0.112243	0.100281	0.0884655	0.0809334	0.0859548	0.0728105	0.0624723	0.0567125	0.0481465	0.0431251	0.0316054	0.0308669	0.03131	0.0301285	0.0296854	0.0299808	0.0286516	0.028947	0.0293901	0.0280609	0.0279132
0.098	0.0320485	0.0714813	0.0518387	0.0448974	0.0413528	0.039876	0.0394329	0.0376606	0.0369222	0.175897	0.158027	0.142077	0.131148	0.121548	0.113868	0.100871	0.0890563	0.084478	0.086841	0.0748782	0.0651307	0.0571555	0.049328	0.0441589	0.0314577	0.0311623	0.0310146	0.0302762	0.0296854	0.0310146	0.0295377	0.0286516	0.028947	0.0287993	0.0280609
0.101	0.0333777	0.0725152	0.0527249	0.0456358	0.0432728	0.0417959	0.0395806	0.0391375	0.0376606	0.175897	0.158913	0.143701	0.13292	0.124206	0.116526	0.102644	0.0893517	0.0871363	0.0887609	0.0744351	0.0660169	0.0580417	0.0506572	0.0443066	0.0326392	0.0319008	0.0316054	0.0310146	0.0310146	0.0304239	0.0304239	0.0290947	0.0296854	0.0296854	0.028947
0.104	0.033673	0.0732536	0.0540541	0.0468173	0.0431251	0.0416482	0.039876	0.0397283	0.0391375	0.177226	0.160981	0.141338	0.133954	0.125388	0.117856	0.104564	0.0911239	0.0899424	0.0896471	0.0760597	0.066903	0.0596662	0.0522818	0.0440112	0.03323	0.0329346	0.0321961	0.0314577	0.0314577	0.0310146	0.0310146	0.0301285	0.0308669	0.0296854	0.0299808
0.107	0.0345592	0.0754689	0.0558263	0.0479988	0.0438636	0.0428297	0.0410575	0.0401713	0.0395806	0.17826	0.161276	0.141633	0.13676	0.127603	0.11948	0.105745	0.0926008	0.0931916	0.0911239	0.0763551	0.0673461	0.0598139	0.0519864	0.0438636	0.0341161	0.0333777	0.0330823	0.0321961	0.0327869	0.0316054	0.0307193	0.0304239	0.0314577	0.0304239	0.0304239
0.11	0.0344115	0.0756166	0.0561217	0.0494757	0.0453404	0.0435682	0.0428297	0.0406144	0.0412052	0.179589	0.16423	0.140747	0.137351	0.128785	0.121105	0.106484	0.0945208	0.0949639	0.0927485	0.0787181	0.0691183	0.0608478	0.0513957	0.0444543	0.0347069	0.033673	0.0338207	0.0330823	0.0324915	0.0319008	0.0319008	0.0310146	0.0317531	0.0316054	0.0302762
0.113	0.0357407	0.0776843	0.0575986	0.0500665	0.0460789	0.0443066	0.0432728	0.0420913	0.0409098	0.180328	0.164525	0.140895	0.139418	0.130557	0.121843	0.107222	0.0952592	0.0964407	0.0937823	0.0797519	0.0689706	0.0615862	0.0530203	0.0443066	0.0354453	0.0344115	0.0348545	0.0335253	0.033673	0.03323	0.0324915	0.0319008	0.0323438	0.0317531	0.0314577
0.116	0.0357407	0.0787181	0.0580417	0.0508049	0.0477035	0.0448974	0.0440112	0.0431251	0.0417959	0.183134	0.167036	0.140895	0.141338	0.131295	0.123911	0.109585	0.0965884	0.098213	0.0946685	0.0800473	0.0710383	0.0627677	0.0531679	0.0448974	0.036036	0.0352976	0.0352976	0.0339684	0.0342638	0.0341161	0.0326392	0.0321961	0.0327869	0.0321961	0.0317531
0.119	0.0369222	0.0796042	0.0601093	0.0516911	0.0485896	0.0460789	0.0453404	0.0434205	0.0419436	0.183725	0.167774	0.139714	0.142077	0.133511	0.124354	0.11121	0.0983607	0.0998376	0.09585	0.0822626	0.0701521	0.0630631	0.0542018	0.0459312	0.0370699	0.0364791	0.0354453	0.0352976	0.0345592	0.0345592	0.033673	0.0338207	0.0333777	0.0335253	0.0319008
0.122	0.0375129	0.080638	0.0607001	0.0522818	0.0494757	0.0466696	0.0454881	0.044602	0.0434205	0.185202	0.170728	0.139566	0.143258	0.134101	0.127012	0.112686	0.0990991	0.102496	0.0962931	0.0821149	0.071186	0.0640969	0.0544971	0.0451928	0.0369222	0.0366268	0.0354453	0.0361837	0.0354453	0.0351499	0.0345592	0.0335253	0.0338207	0.033673	0.0326392
0.125	0.0378083	0.0819672	0.0614385	0.0534633	0.0494757	0.0474081	0.0465219	0.0453404	0.26008	0.186531	0.171319	0.146507	0.14503	0.134987	0.127751	0.112391	0.101167	0.105007	0.0986561	0.0827057	0.0736967	0.0646877	0.0556787	0.0460789	0.0373652	0.0373652	0.0364791	0.0361837	0.0354453	0.0358884	0.0352976	0.0339684	0.0342638	0.0345592	0.0333777
0.128	0.0388421	0.0831488	0.0629154	0.0544971	0.0509526	0.0494757	0.0472604	0.0460789	0.20765	0.188599	0.171762	0.153301	0.146655	0.135726	0.127603	0.114606	0.102496	0.10545	0.0983607	0.0843303	0.0742874	0.0661646	0.0550879	0.0447497	0.0392852	0.0382514	0.037956	0.0369222	0.036036	0.036036	0.0354453	0.0345592	0.0354453	0.0348545	0.033673
