Reference Amplitude (V)	9900Hz	6940Hz
0.02	1.12286	-2.26197
0.023	-3.03287	1.4748
0.026	-1.56584	2.4791
0.029	1.19074	1.83007
0.032	-0.373142	-1.54216
0.035	1.0988	-2.52061
0.038	2.51435	1.65677
0.041	2.88659	-0.897222
0.044	1.29351	2.77482
0.047	0.415629	-1.05935
0.05	2.97946	-2.50151
0.053	0.477418	2.95682
0.056	2.45906	2.04133
0.059	-1.621	2.13028
0.062	-1.61489	-0.811004
0.065	0.984454	-1.63613
0.068	-1.10494	-2.03242
0.071	0.419607	-1.17733
0.074	2.83435	-2.91182
0.077	-0.946637	-1.23791
0.08	1.15698	1.56394
0.083	2.47257	-2.90056
0.086	-0.221801	1.24728
0.089	2.25786	-0.993449
0.092	-1.59478	2.29236
0.095	0.648339	-0.850044
0.098	1.3744	3.03608
0.101	-0.0441548	0.0218174
0.104	-0.527821	-1.71541
0.107	1.08612	2.52951
0.11	1.15654	0.332996
0.113	1.77327	-1.07378
0.116	0.0238958	2.5827
0.119	2.81633	-0.697105
0.122	-1.44267	-2.36355
0.125	-0.460762	0.216298
0.128	1.9086	2.58788
0.131	-0.677375	0.367318
0.134	-1.61115	-2.73313
0.137	-1.61386	0.360201
0.14	-1.61825	-2.62749
0.143	-1.62194	-1.33468
0.146	-1.62706	-2.54568
0.149	-1.63249	-2.29474
0.15	-1.63208	0.138846
0.147	-1.62787	3.03806
0.144	-1.62272	1.38187
0.141	-1.61552	2.7908
0.138	-1.6103	1.58691
0.135	-1.6033	2.1331
0.132	-1.59674	-0.939045
0.129	-1.59069	1.15934
0.126	-1.58352	2.00303
0.123	-1.57542	0.0616939
0.12	-1.57086	3.00357
0.117	-1.56261	-2.0586
0.114	-1.55561	0.354723
0.111	-1.54373	-1.18705
0.108	-1.53564	-1.24855
0.105	-1.52781	-2.34504
0.102	-1.51649	1.0995
0.099	-1.50515	-0.426936
0.096	-1.49436	1.71799
0.093	-1.47973	-1.32819
0.09	-1.47062	-2.6732
0.087	-1.45651	1.69643
0.084	-1.43904	-0.109974
0.081	-1.42212	-1.41124
0.078	-1.40476	2.10621
0.075	-1.38107	-2.07267
0.072	-1.35429	2.8325
0.069	-1.32475	1.01047
0.066	-1.29441	2.81609
0.063	-1.24788	-1.10064
0.06	-1.19024	-1.14892
0.057	2.81702	0.412037
0.054	0.077713	-0.227237
0.051	-2.27962	2.68709
0.048	2.37585	-1.76045
0.045	2.94714	0.237824
0.042	-2.36721	1.60642
0.039	-0.493292	-2.41484
0.036	0.27685	0.456804
0.033	2.37833	-1.28412
0.03	1.58329	1.46493
0.027	-1.04394	-0.136338
0.024	0.848688	-1.47736
0.021	2.57788	1.57284
