Reference Amplitude (V)	9900Hz	6940Hz
0.02	2.14798e-005	6.71263e-006
0.023	2.96308e-005	1.0041e-005
0.026	2.34008e-005	4.84402e-006
0.029	2.58569e-005	1.81871e-005
0.032	1.67675e-005	1.53132e-005
0.035	1.45124e-005	7.63692e-006
0.038	2.80614e-005	1.63513e-005
0.041	4.44477e-005	2.43309e-005
0.044	2.95957e-005	3.55963e-006
0.047	1.46792e-005	3.30826e-006
0.05	1.26528e-005	2.07292e-005
0.053	2.88672e-005	6.48442e-006
0.056	2.41576e-005	2.10154e-005
0.059	1.19895e-005	7.51977e-006
0.062	1.73709e-005	2.35577e-005
0.065	1.56719e-005	1.064e-005
0.068	4.84683e-006	1.38074e-005
0.071	9.35743e-006	1.62391e-005
0.074	1.6052e-005	7.75332e-006
0.077	9.20353e-006	2.43397e-005
0.08	5.44051e-006	1.32668e-005
0.083	1.40423e-005	1.08405e-006
0.086	1.7372e-005	1.14045e-005
0.089	1.97268e-005	1.37243e-005
0.092	2.35161e-005	2.93823e-006
0.095	1.78056e-005	9.36202e-006
0.098	3.66764e-005	1.39689e-005
0.101	2.09748e-005	1.2001e-005
0.104	8.54438e-006	3.27568e-006
0.107	8.68082e-006	7.98295e-006
0.11	1.42086e-005	7.28711e-006
0.113	1.87321e-005	2.52914e-005
0.116	1.73217e-005	5.09572e-006
0.119	9.10213e-006	1.69924e-005
0.122	3.32897e-006	1.07914e-005
0.125	2.16502e-005	1.28151e-005
0.128	3.75798e-005	2.46202e-005
0.131	7.71246e-005	7.59034e-006
0.134	0.0291932	2.70932e-005
0.137	0.0279014	1.95887e-005
0.14	0.027644	2.1721e-005
0.143	0.0271746	1.88357e-005
0.146	0.027051	9.45893e-006
0.149	0.0269699	2.65712e-005
0.15	0.0265303	1.00911e-005
0.147	0.0261782	2.11306e-005
0.144	0.0257722	1.54042e-005
0.141	0.0254436	8.61152e-006
0.138	0.0250216	1.69173e-005
0.135	0.0247172	1.32515e-005
0.132	0.0244314	8.95448e-006
0.129	0.0242091	1.04138e-005
0.126	0.0238725	2.12921e-005
0.123	0.0235572	2.41034e-005
0.12	0.0234657	2.85938e-005
0.117	0.0231	3.55576e-006
0.114	0.0230158	1.43711e-005
0.111	0.0226889	1.06526e-005
0.108	0.0226432	1.16985e-005
0.105	0.0225229	1.83038e-005
0.102	0.0219849	1.64322e-005
0.099	0.0219152	1.71343e-005
0.096	0.0217961	2.88333e-006
0.093	0.0215462	4.37865e-006
0.09	0.0214032	1.16163e-005
0.087	0.0210768	2.11517e-005
0.084	0.0206717	2.83226e-005
0.081	0.0205808	1.45468e-005
0.078	0.0203073	2.40469e-005
0.075	0.0198912	4.12049e-006
0.072	0.0195927	2.10168e-005
0.069	0.0194224	9.64527e-006
0.066	0.0187912	3.61222e-006
0.063	0.0180906	1.22256e-005
0.06	0.0172972	9.15766e-006
0.057	5.62429e-006	2.76314e-005
0.054	5.77039e-006	9.74248e-006
0.051	1.11107e-005	2.16255e-005
0.048	1.84046e-005	8.84539e-006
0.045	1.16904e-005	1.33185e-005
0.042	1.64352e-005	8.23268e-006
0.039	2.59033e-005	9.57241e-006
0.036	1.36015e-005	5.08602e-006
0.033	8.83284e-006	5.99486e-006
0.03	7.60296e-006	4.25333e-006
0.027	1.37083e-005	1.19025e-005
0.024	1.33348e-005	1.96689e-005
0.021	1.67824e-005	1.262e-005
