Reference Amplitude (V)	9000Hz	9050Hz	9100Hz	9150Hz	9200Hz	9250Hz	9300Hz	9350Hz	9400Hz	9450Hz	9500Hz	9550Hz	9600Hz	9650Hz	9700Hz	9750Hz	9800Hz	9850Hz	9900Hz	9950Hz	10000Hz	10050Hz	10100Hz	10150Hz	10200Hz	10250Hz	10300Hz	10350Hz	10400Hz	10450Hz	10500Hz
0.068	-2.46914	-2.60417	-2.60306	-2.60153	-2.57916	-1.88226	-2.60023	-2.60521	-2.5582	-2.55112	-2.65219	-2.80638	-2.73951	-2.54932	-2.5921	-2.54135	-2.34789	-2.46629	-2.7908	-2.8809	2.55339	-1.57507	-1.69382	-1.8676	-2.41832	-2.91434	2.6354	1.07118	-0.187763	-1.1839	-1.82049
0.071	-2.46784	-2.59483	-2.61942	-2.59322	-2.5903	-1.90257	-2.58768	-2.6	-2.56335	-2.56654	-2.66976	-2.81829	-2.73109	-2.53726	-2.57639	-2.52533	-2.30486	-2.46255	-2.85568	-2.85663	2.55475	-1.58582	-1.70959	-1.8854	-2.41852	-2.91229	2.62794	1.03455	-0.18347	-1.21451	-1.79077
0.074	-2.4785	-2.59515	-2.5912	-2.60971	-2.5748	-1.92038	-2.59434	-2.62848	-2.58495	-2.58589	-2.64567	-2.79079	-2.72293	-2.52891	-2.59876	-2.56252	-2.33608	-2.47154	-2.80885	-2.92724	2.56233	-1.50571	-1.70285	-1.84415	-2.39201	-2.93705	2.60163	0.990648	-0.175651	-1.19338	-1.83581
0.077	-2.47791	-2.59868	-2.60975	-2.58896	-2.58399	-1.89501	-2.60673	-2.6368	-2.58327	-2.56247	-2.64483	-2.81124	-2.75193	-2.55824	-2.5719	-2.55384	-2.33987	-2.47551	-2.85253	-2.95658	2.47481	-1.578	-1.71666	-1.86749	-2.42708	-2.93387	2.58036	1.00953	-0.147578	-1.17835	-1.80606
0.08	-2.48128	-2.6013	-2.60974	-2.57952	-2.59088	-1.88223	-2.59563	-2.6339	-2.56582	-2.57558	-2.65332	-2.83325	-2.75529	-2.5308	-2.59273	-2.55385	-2.31426	-2.50407	-2.82404	-2.94707	2.46033	-1.43067	-1.74959	-1.86834	-2.39821	-2.95787	2.55625	1.02812	-0.206507	-1.15411	-1.79278
0.083	-2.46506	-2.60085	-2.61979	-2.6041	-2.58781	-1.86565	-2.58616	-2.62501	-2.57241	-2.58021	-2.66489	-2.82537	-2.75256	-2.53277	-2.58141	-2.51671	-2.33858	-2.49633	-2.82997	-2.94954	2.47264	-1.46246	-1.67202	-1.85731	-2.41612	-2.92134	2.59705	0.964322	-0.150727	-1.17393	-1.75865
0.086	-2.44922	-2.59929	-2.62654	-2.60596	-2.60632	-1.87425	-2.59399	-2.62179	-2.58569	-2.57701	-2.68179	-2.83151	-2.74181	-2.54917	-2.60529	-2.53884	-2.32283	-2.48513	-2.83406	-2.96105	2.43176	-1.47831	-1.64707	-1.8594	-2.41288	-2.92708	2.55857	0.935548	-0.162208	-1.13842	-1.72316
0.089	-2.46552	-2.59588	-2.6068	-2.59502	-2.59766	-1.90402	-2.59666	-2.62387	-2.56603	-2.57703	-2.66177	-2.82888	-2.7529	-2.53418	-2.59478	-2.5167	-2.32962	-2.48345	-3.08293	-2.98749	2.41268	-1.51544	-1.70056	-1.8693	-2.41821	-2.95012	2.55199	0.963472	-0.148606	-1.14196	-1.69128
0.092	-2.46601	-2.61144	-2.62542	-2.60511	-2.59653	-1.88074	-2.59704	-2.61409	-2.56419	-2.56355	-2.6557	-2.82621	-2.77238	-2.5416	-2.61383	-2.52702	-2.31561	-2.49636	-3.02153	-2.96524	2.39978	-1.43472	-1.64395	-1.85772	-2.4021	-2.93915	2.54274	0.855248	-0.146215	-1.14088	-1.69843
0.095	-2.4655	-2.61192	-2.63677	-2.59461	-2.59497	-1.83422	-2.61808	-2.6391	-2.55486	-2.56245	-2.66545	-2.82847	-2.77018	-2.55577	-2.5913	-2.56097	-2.3139	-2.49907	-3.00654	-2.94939	2.42203	-1.3696	-1.63495	-1.82407	-2.42001	-2.93496	2.51844	0.939763	-0.179429	-1.12595	-1.64709
