Reference Amplitude (V)	9000Hz	9050Hz	9100Hz	9150Hz	9200Hz	9250Hz	9300Hz	9350Hz	9400Hz	9450Hz	9500Hz	9550Hz	9600Hz	9650Hz	9700Hz	9750Hz	9800Hz	9850Hz	9900Hz	9950Hz	10000Hz	10050Hz	10100Hz	10150Hz	10200Hz	10250Hz	10300Hz	10350Hz	10400Hz	10450Hz	10500Hz
0.02	1.29894e-005	2.76761e-005	9.40948e-006	4.36011e-006	2.11102e-006	5.1202e-006	1.83765e-005	1.37438e-005	2.33844e-005	1.34288e-005	1.09869e-005	1.94645e-005	9.99669e-006	1.70597e-005	8.06637e-006	3.62737e-005	1.87421e-005	2.60916e-005	1.25238e-005	7.87383e-006	8.93798e-006	1.58445e-006	1.26924e-005	1.50564e-005	2.76658e-005	1.3052e-005	1.19938e-005	1.09487e-005	7.93054e-006	2.18272e-005	1.05007e-005
0.023	8.59801e-006	2.37549e-005	1.39342e-005	8.40933e-006	9.33542e-006	7.93287e-006	8.51784e-006	1.88668e-005	1.04273e-005	1.0449e-005	2.38784e-005	2.74066e-006	1.63834e-005	1.64303e-005	1.38404e-005	1.02447e-005	2.48125e-005	2.22151e-005	1.70575e-005	1.04575e-005	2.67106e-005	1.12831e-005	4.8672e-006	1.47675e-005	2.50951e-005	1.32708e-005	1.90519e-005	7.82526e-006	1.58235e-005	1.59019e-005	3.51831e-005
0.026	1.88499e-005	1.8149e-005	1.68439e-005	3.64831e-005	2.15724e-005	5.35953e-006	3.80563e-006	1.92877e-005	1.6115e-005	2.13349e-005	1.03106e-005	8.35131e-006	8.31677e-006	2.75161e-005	2.02939e-005	7.63616e-006	5.77499e-006	3.39056e-005	2.64595e-005	9.72942e-006	1.60937e-005	3.69944e-005	1.2583e-005	1.60273e-005	1.41616e-005	3.56288e-005	9.89944e-006	2.24399e-006	1.23109e-005	1.26258e-005	1.31232e-005
0.029	7.25359e-006	2.15011e-005	2.1823e-005	7.81378e-006	5.0362e-007	1.54269e-005	2.50798e-005	2.56746e-005	7.88211e-006	5.52706e-006	7.45196e-006	1.26836e-005	8.18254e-006	1.19598e-005	8.6395e-006	1.15336e-005	5.93805e-006	2.96361e-005	2.82381e-005	2.68333e-005	1.81874e-006	6.91103e-006	2.91723e-005	1.75089e-005	1.55263e-005	9.52679e-006	1.64531e-005	1.11866e-005	2.49367e-006	3.15041e-005	5.17561e-006
0.032	2.72378e-005	2.66967e-005	1.91803e-006	1.91576e-005	2.07383e-005	7.68029e-006	1.32185e-005	5.99759e-006	1.63498e-005	7.30639e-006	1.48933e-005	6.05245e-006	1.75083e-005	9.88822e-006	1.62511e-005	2.22048e-005	1.75987e-005	2.41795e-005	2.18285e-005	1.73694e-005	2.45946e-005	7.0369e-006	1.56468e-005	1.08553e-005	6.59327e-006	1.47716e-005	1.49312e-005	2.08416e-005	7.35639e-006	5.93885e-006	1.71744e-005
0.035	1.30007e-005	1.15122e-005	9.63314e-006	1.2562e-005	1.71072e-005	7.95688e-006	6.25472e-006	1.05812e-005	4.87717e-006	7.53489e-006	1.55098e-005	1.06473e-005	1.77202e-005	5.82351e-006	1.80563e-005	1.39696e-005	2.93073e-005	1.49323e-005	1.77901e-005	6.15874e-006	2.06693e-005	9.97325e-006	1.95216e-006	2.31736e-006	8.41548e-006	2.7784e-005	1.16514e-005	1.36008e-005	1.73007e-005	1.77046e-005	1.6765e-005
0.038	1.47342e-005	1.13897e-005	3.96558e-006	6.14085e-006	1.72352e-005	1.80833e-005	1.74235e-005	1.4517e-005	2.6357e-005	1.45389e-006	2.46912e-005	1.56826e-005	9.06315e-006	1.72602e-005	1.25994e-005	2.30999e-005	1.9503e-005	2.677e-005	1.24323e-005	1.86031e-005	1.09873e-005	8.83992e-006	3.05352e-005	3.716e-006	1.33289e-005	1.84423e-005	9.17509e-006	2.37326e-005	1.38009e-005	1.43404e-005	2.17534e-005
0.041	9.14379e-006	8.60207e-006	2.89516e-005	2.86983e-005	8.70832e-006	2.12826e-005	4.53726e-006	1.3233e-005	1.42164e-005	2.24601e-005	2.06803e-005	1.71237e-005	2.88317e-005	9.88761e-006	5.74823e-006	7.31384e-006	1.3371e-005	2.15721e-005	8.11634e-006	8.54149e-006	1.32384e-005	1.42088e-005	1.13371e-005	2.10408e-005	2.07654e-005	1.79481e-005	1.10443e-005	8.17287e-006	1.51622e-005	1.29003e-005	1.62938e-005
0.044	8.42728e-006	8.71938e-006	9.71629e-006	9.0255e-006	4.91068e-006	1.72823e-005	9.91971e-006	1.77115e-005	1.30852e-005	1.1057e-005	9.46968e-006	1.02502e-005	1.88804e-005	3.8293e-006	1.45218e-005	1.77691e-005	6.74578e-006	6.00351e-006	1.6245e-005	1.96591e-005	7.98945e-006	7.38505e-006	2.18208e-005	1.07366e-006	9.0788e-006	2.18263e-005	1.33143e-005	3.05711e-005	2.98653e-006	1.03667e-005	2.80334e-005
0.047	8.81947e-006	3.11043e-005	9.74527e-006	1.20242e-005	1.82503e-005	2.72757e-005	1.68922e-005	9.13094e-006	2.22103e-005	1.65104e-005	1.71821e-005	1.21375e-005	6.35219e-006	1.13374e-005	1.21095e-005	1.79811e-005	9.58444e-006	2.07371e-005	8.12983e-006	2.16493e-005	2.03341e-005	1.59939e-006	5.61152e-006	1.8885e-005	1.29364e-005	1.09179e-005	1.51533e-005	1.07988e-005	8.36594e-006	1.95454e-005	1.19229e-005
0.05	6.56753e-006	1.14512e-005	2.74668e-005	1.20366e-005	2.24266e-005	3.11716e-005	9.90374e-006	9.38482e-006	4.40858e-006	1.01211e-005	2.75753e-005	8.93289e-006	2.45758e-005	1.42526e-005	9.3512e-006	8.38748e-006	1.87737e-005	1.9222e-005	2.78088e-006	1.4777e-005	2.33652e-005	3.55714e-005	2.08404e-005	3.50541e-005	9.34359e-006	1.7439e-005	1.70432e-005	2.88106e-006	1.71992e-005	1.65613e-005	1.16792e-005
0.053	1.92197e-005	8.42723e-006	8.12956e-006	1.47768e-005	3.78295e-006	1.23112e-005	7.97262e-006	2.31317e-005	1.28313e-005	2.47238e-005	1.40175e-005	1.72136e-005	8.79333e-006	1.08841e-005	2.06726e-005	2.4521e-005	1.2229e-005	2.0264e-005	2.60777e-005	1.4254e-005	1.79657e-005	1.13032e-005	1.5446e-005	7.06935e-006	2.06605e-006	1.00628e-005	2.12117e-005	2.06393e-005	6.2301e-006	2.06993e-005	4.32065e-006
0.056	3.78832e-005	2.03198e-005	2.65701e-005	1.07092e-005	3.05726e-005	2.4266e-005	2.40233e-005	3.99257e-006	1.88398e-005	2.68853e-005	7.56051e-006	4.94612e-006	1.83096e-005	1.00105e-005	2.68047e-005	4.76505e-006	1.95054e-005	6.89832e-006	1.29466e-005	1.61101e-005	1.24548e-005	2.44138e-005	6.41121e-006	2.48463e-005	1.62207e-005	2.43763e-005	1.59876e-005	1.01014e-005	2.30499e-005	1.68498e-005	7.09893e-006
0.059	1.25902e-005	2.19132e-005	2.55365e-005	2.44671e-005	9.84054e-006	8.08649e-006	6.79824e-006	1.38996e-005	1.24454e-005	1.68612e-005	2.16703e-005	1.98794e-005	3.4758e-006	3.88982e-006	2.66681e-005	1.16395e-005	7.28316e-006	1.80432e-005	1.15423e-005	1.91076e-005	2.50608e-005	1.69526e-005	1.78589e-005	1.70473e-005	3.12965e-006	2.48419e-005	1.84614e-005	2.02027e-005	5.89445e-006	8.75921e-006	4.05929e-006
