Reference Amplitude (V)	6200Hz	6250Hz	6300Hz	6350Hz	6400Hz	6450Hz	6500Hz	6550Hz	6600Hz	6650Hz	6700Hz	6750Hz	6800Hz	6850Hz	6900Hz	6950Hz	7000Hz	7050Hz	7100Hz	7150Hz	7200Hz	7250Hz	7300Hz	7350Hz	7400Hz	7450Hz	7500Hz	7550Hz	7600Hz	7650Hz	7700Hz	7750Hz	7800Hz	7850Hz	7900Hz	7950Hz	8000Hz	8050Hz	8100Hz	8150Hz	8200Hz	8250Hz	8300Hz	8350Hz	8400Hz	8450Hz	8500Hz	8550Hz	8600Hz	8650Hz	8700Hz	8750Hz	8800Hz	8850Hz	8900Hz	8950Hz	9000Hz
0.059	0.645397	0.598056	0.570497	0.545329	0.516413	0.488127	0.437791	0.42113	0.496178	0.475549	0.469559	0.43465	0.389417	0.342028	0.289532	0.0201825	0.0701822	0.122274	0.209004	0.394744	0.384847	0.405558	0.366014	0.287881	0.256775	0.239844	0.229338	0.218211	0.205827	0.191591	0.173929	0.162978	0.151573	0.134565	0.0921907	0.150232	0.121717	0.105028	0.0801461	0.0210452	0.185599	0.129927	0.112833	0.106384	0.0955517	0.0906939	0.087498	0.0756152	0.0700838	0.065532	0.0601004	0.0585651	0.0540568	0.0553525	0.0484454	0.0450557	0.031724
0.062	0.660181	0.62508	0.597648	0.566703	0.540062	0.504725	0.467738	0.447671	0.527437	0.509514	0.492818	0.459974	0.415373	0.373319	0.314525	0.0200922	0.0691557	0.116554	0.210794	0.408287	0.401315	0.423349	0.389717	0.31056	0.272637	0.258497	0.252262	0.228903	0.217886	0.210833	0.190153	0.181447	0.155364	0.151531	0.100378	0.165026	0.133423	0.116534	0.0897799	0.0228589	0.194417	0.140772	0.124788	0.109559	0.106189	0.0916563	0.0914914	0.0805612	0.0781524	0.0692627	0.0669693	0.0609685	0.0601912	0.0575913	0.0558343	0.0488861	0.038697
0.065	0.678938	0.637923	0.613474	0.59437	0.562292	0.521286	0.485455	0.467682	0.548078	0.525949	0.509368	0.47396	0.439675	0.389449	0.336905	0.0209856	0.0677909	0.117777	0.212011	0.438392	0.420984	0.458032	0.405486	0.333543	0.291036	0.271218	0.257764	0.24704	0.237344	0.217338	0.205696	0.190974	0.175678	0.151783	0.110213	0.173353	0.152129	0.123857	0.0944252	0.0258381	0.217142	0.148741	0.129208	0.122289	0.106555	0.102411	0.0957751	0.0852906	0.0845922	0.0802492	0.0756557	0.0675643	0.0660009	0.0609472	0.0597274	0.0554947	0.0417399
0.068	0.690366	0.655483	0.636038	0.607093	0.580827	0.549482	0.507572	0.484627	0.563056	0.54638	0.537315	0.477762	0.456196	0.420218	0.355299	0.0210154	0.0679322	0.115072	0.215226	0.448633	0.435214	0.473867	0.424567	0.349355	0.317078	0.290235	0.269142	0.261779	0.246441	0.232862	0.214425	0.199652	0.176029	0.160773	0.114636	0.178595	0.153935	0.128809	0.102846	0.0263698	0.216672	0.161461	0.136727	0.131728	0.115947	0.107542	0.101799	0.0935937	0.091775	0.0819586	0.0757262	0.0778509	0.072008	0.0645955	0.0622129	0.0581122	0.0449562
0.071	0.708126	0.672896	0.651181	0.622032	0.593413	0.559428	0.520831	0.499083	0.581812	0.557497	0.556581	0.49899	0.47725	0.441926	0.382066	0.0214563	0.0663778	0.112321	0.213644	0.460145	0.453921	0.49323	0.444493	0.37162	0.328266	0.307452	0.294064	0.279518	0.267201	0.246804	0.243362	0.215591	0.195407	0.171762	0.124404	0.191064	0.16668	0.139501	0.112472	0.0292961	0.234275	0.177692	0.15143	0.137675	0.127734	0.119728	0.113581	0.103543	0.0969846	0.0897817	0.0897996	0.0824455	0.0729122	0.0698452	0.0681256	0.065765	0.0445045
0.074	0.715253	0.679211	0.65905	0.646147	0.617972	0.584549	0.547157	0.522309	0.600944	0.58061	0.568983	0.51504	0.508858	0.4616	0.394752	0.0214549	0.0655584	0.108816	0.21416	0.477657	0.460902	0.512444	0.452476	0.381597	0.343623	0.323475	0.309649	0.291745	0.27843	0.268106	0.247376	0.223927	0.208148	0.186078	0.13531	0.210936	0.169812	0.143838	0.118904	0.0329389	0.245682	0.180058	0.161516	0.143794	0.135697	0.130436	0.122216	0.10834	0.10204	0.0973882	0.0906877	0.0880731	0.076036	0.0768953	0.0704856	0.0676342	0.0514522
0.077	0.732239	0.702428	0.677612	0.658629	0.635048	0.604929	0.557611	0.54574	0.626614	0.603058	0.582201	0.513679	0.5164	0.483355	0.405025	0.0217231	0.0647275	0.10866	0.216771	0.477967	0.486528	0.523796	0.469558	0.395968	0.370515	0.333697	0.323313	0.301973	0.292418	0.275438	0.258227	0.236684	0.218854	0.191356	0.146098	0.213043	0.184875	0.156711	0.126282	0.0360819	0.2561	0.186222	0.168649	0.153521	0.140305	0.132862	0.125898	0.115538	0.106749	0.100072	0.0963009	0.0906151	0.0854009	0.0801758	0.0790918	0.0712024	0.0528463
0.08	0.743792	0.713507	0.696876	0.669215	0.645416	0.624867	0.571706	0.552733	0.636609	0.619541	0.611327	0.527459	0.540067	0.511112	0.00973816	0.0219168	0.0644228	0.108481	0.213898	0.493943	0.493108	0.545319	0.487358	0.411133	0.386819	0.355904	0.338749	0.320443	0.303204	0.286594	0.274778	0.253849	0.229799	0.213502	0.152472	0.22662	0.195506	0.172457	0.135029	0.0384901	0.279736	0.207488	0.187678	0.161409	0.151009	0.140373	0.136022	0.118548	0.115891	0.10559	0.105379	0.0965961	0.0917801	0.0885992	0.0841787	0.0795234	0.0565423
0.083	0.754048	0.724709	0.711946	0.680105	0.661202	0.626391	0.59516	0.572611	0.652308	0.635169	0.61876	0.536093	0.565686	0.526655	0.010485	0.0225502	0.0641175	0.107474	0.209847	0.506401	0.50863	0.563537	0.511158	0.428137	0.401858	0.365105	0.340694	0.328087	0.319277	0.304282	0.291105	0.270374	0.23716	0.214076	0.157446	0.237603	0.203714	0.183092	0.139646	0.0390357	0.283915	0.217925	0.178222	0.173446	0.163977	0.152738	0.14782	0.128886	0.120359	0.117527	0.107875	0.106419	0.0959886	0.0965123	0.0913354	0.0834775	0.0569939
0.086	0.765004	0.740031	0.712913	0.687711	0.670876	0.641233	0.605148	0.585986	0.656379	0.64668	0.631568	0.536764	0.578795	0.548036	0.0108226	0.022671	0.0635763	0.106417	0.210267	0.517438	0.524195	0.582466	0.526731	0.448991	0.415938	0.383131	0.361203	0.349796	0.338682	0.318883	0.291003	0.279108	0.254034	0.23025	0.16419	0.260194	0.216806	0.182651	0.148706	0.0478307	0.301557	0.228573	0.201941	0.187051	0.168854	0.152492	0.151789	0.134329	0.12565	0.123971	0.109295	0.109379	0.103208	0.095971	0.0947862	0.084687	0.0642332
