Reference Amplitude (V)	6200Hz	6250Hz	6300Hz	6350Hz	6400Hz	6450Hz	6500Hz	6550Hz	6600Hz	6650Hz	6700Hz	6750Hz	6800Hz	6850Hz	6900Hz	6950Hz	7000Hz	7050Hz	7100Hz	7150Hz	7200Hz	7250Hz	7300Hz	7350Hz	7400Hz	7450Hz	7500Hz	7550Hz	7600Hz	7650Hz	7700Hz	7750Hz	7800Hz	7850Hz	7900Hz	7950Hz	8000Hz	8050Hz	8100Hz	8150Hz	8200Hz	8250Hz	8300Hz	8350Hz	8400Hz	8450Hz	8500Hz	8550Hz	8600Hz	8650Hz	8700Hz	8750Hz	8800Hz	8850Hz	8900Hz	8950Hz	9000Hz
0.095	0.00857791	0.00802697	0.00760152	0.00720488	0.00679313	0.00633323	0.00588353	0.00580924	0.00677468	0.00641567	0.006086	0.00499347	0.0057168	0.00525671	0.00667575	0.0067141	0.00726028	0.00562376	0.00406058	0.00486451	0.00484549	0.00564749	0.00496155	0.00423805	0.00387766	0.00369477	0.00355447	0.00341871	0.00327936	0.00311848	0.00302729	0.00287889	0.0027392	0.00256345	0.00207653	0.00280444	0.00247571	0.002246	0.00196393	0.00103985	0.00310288	0.00256176	0.00232853	0.00221549	0.00213293	0.00204032	0.00196959	0.00188301	0.00181033	0.00176079	0.00171384	0.0016361	0.00159203	0.0015576	0.00149004	0.00143608	0.0012091
0.098	0.00882301	0.00826421	0.00784971	0.00742758	0.00696489	0.00655384	0.00603731	0.00600678	0.00696223	0.00663353	0.0062634	0.00521111	0.00594016	0.00545892	0.00684047	0.00689575	0.00744775	0.00579602	0.00417898	0.00494964	0.00494475	0.00585629	0.00509251	0.00437906	0.00400987	0.00382599	0.0036589	0.00351649	0.00338719	0.00323434	0.00311308	0.00298261	0.00282974	0.00264573	0.00215518	0.00282033	0.0025103	0.00231351	0.0020225	0.0011039	0.00319264	0.00263224	0.00241157	0.00230694	0.0021892	0.00210848	0.00202277	0.00194139	0.00185848	0.00182338	0.00175487	0.00170526	0.00163994	0.00156612	0.00156085	0.00149218	0.00123177
0.101	0.00904104	0.00849828	0.0079891	0.00758344	0.00716523	0.00668946	0.00616698	0.00617319	0.00718319	0.00672979	0.00635984	0.00547595	0.0061581	0.00564019	0.00700924	0.00707865	0.00762135	0.005902	0.00429664	0.0050974	0.00505292	0.00605748	0.00523467	0.00449341	0.00413544	0.00391532	0.00376383	0.00363583	0.00350871	0.00333089	0.00320728	0.00303415	0.00290436	0.00273708	0.00220893	0.00291959	0.00261191	0.00237588	0.00207515	0.00113591	0.00328771	0.00268501	0.00248958	0.00236782	0.00225883	0.00216251	0.00208271	0.00198628	0.00191548	0.00184936	0.00179394	0.00172992	0.00170635	0.00163566	0.00157792	0.00150785	0.00129245
0.104	0.0092528	0.0086843	0.00820031	0.00778835	0.00733524	0.00680903	0.00633503	0.0063608	0.00732557	0.00695273	0.00649816	0.00575143	0.0063358	0.00579865	0.0073995	0.00724789	0.0078333	0.00604873	0.00440288	0.00521217	0.00517707	0.00623195	0.00537867	0.00463114	0.0042498	0.00403293	0.00385024	0.00372903	0.00357165	0.003407	0.00331363	0.00314541	0.00298828	0.00278447	0.00227334	0.00298619	0.00269436	0.00245421	0.0021343	0.00117557	0.00336965	0.00277175	0.00256443	0.00240505	0.00231229	0.00221418	0.00214551	0.00205672	0.0019793	0.00189915	0.00186251	0.00178639	0.00170894	0.00166623	0.00162306	0.00158976	0.00132085
0.107	0.0095015	0.00888713	0.00843114	0.00799229	0.00752575	0.00704358	0.00644966	0.00654966	0.00756804	0.00708743	0.00662959	0.00603008	0.0065203	0.00922335	0.00742272	0.00738401	0.00800543	0.00620778	0.0045291	0.00531673	0.00525807	0.00642993	0.0054969	0.00476001	0.00434786	0.00412313	0.00398306	0.0038444	0.00367604	0.00354804	0.00339014	0.00322711	0.00306823	0.00286584	0.00233948	0.00306747	0.00272737	0.00248523	0.00221857	0.00121046	0.00345942	0.0028481	0.00261578	0.00246289	0.00239193	0.00227669	0.00219136	0.00209373	0.0020273	0.0019726	0.00191646	0.00183465	0.00175838	0.00169812	0.00166334	0.00160264	0.0013597
0.11	0.00972293	0.00911798	0.00865792	0.00816813	0.00765526	0.00718673	0.00665297	0.00675709	0.00775094	0.00729439	0.00675524	0.00639663	0.00675736	0.00929682	0.00766556	0.00756357	0.00812148	0.00632187	0.00460912	0.00544658	0.00537822	0.00661033	0.00567018	0.00487233	0.00446284	0.00425531	0.0040764	0.00392634	0.0037584	0.00362949	0.00349835	0.00329198	0.00314566	0.00294359	0.00237169	0.00316014	0.00281282	0.00258817	0.00225631	0.00128168	0.00355748	0.0029313	0.00267485	0.00253523	0.00246063	0.00236571	0.00226221	0.00215366	0.00208601	0.00199494	0.00194144	0.00187439	0.00183441	0.00176379	0.00173327	0.00163352	0.00141607
0.113	0.00983652	0.00929108	0.00881495	0.00835218	0.00786484	0.00735309	0.00677974	0.0068867	0.00795908	0.00747225	0.00677599	0.00671024	0.00700262	0.00947606	0.00786466	0.00781437	0.00830068	0.00646754	0.00476925	0.00553709	0.00547084	0.00678517	0.00577658	0.00502715	0.00460752	0.00436275	0.00418067	0.00402711	0.00389009	0.0037189	0.00357317	0.00341282	0.00320808	0.00299823	0.00244851	0.00323607	0.00287827	0.00265055	0.00232483	0.00133399	0.00362053	0.00299787	0.0027777	0.0025946	0.00250363	0.00241663	0.00231134	0.00220089	0.00212461	0.00206839	0.00198745	0.00191356	0.0018758	0.00182705	0.00174577	0.00171619	0.00142851
0.116	0.0100535	0.00952936	0.00900396	0.00854557	0.00803025	0.00750916	0.00691828	0.00710473	0.00814177	0.00758987	0.0068347	0.00709936	0.00718985	0.00969712	0.00803711	0.00801744	0.00849614	0.00657853	0.00486106	0.00564803	0.00555253	0.00699559	0.0059382	0.00511752	0.0047055	0.00446865	0.00423824	0.004112	0.00399884	0.0038129	0.00365645	0.0034888	0.00330685	0.00306848	0.00248904	0.00333274	0.00295321	0.00273124	0.00234329	0.00137493	0.00374622	0.00305877	0.00281019	0.00265767	0.00255751	0.00247433	0.0023845	0.00227121	0.00217585	0.00215136	0.00204267	0.00199649	0.00190478	0.0018456	0.00180085	0.00173769	0.00147747
0.119	0.0102892	0.00976575	0.00924129	0.00873359	0.00819635	0.0076748	0.00707005	0.00730382	0.00831114	0.00774746	0.00679471	0.00737882	0.00743152	0.00991988	0.00829597	0.00813156	0.00862005	0.00673022	0.00498691	0.0057327	0.00566076	0.0071923	0.00607411	0.00522498	0.00480637	0.00457233	0.00439325	0.00422842	0.0040725	0.00390393	0.00374176	0.00358172	0.00338999	0.00316246	0.00256898	0.00339747	0.00304556	0.00278998	0.00241122	0.00144449	0.0038192	0.00314906	0.00290454	0.0027379	0.00263036	0.00250214	0.00242626	0.00231599	0.00224767	0.00217404	0.00208404	0.00203503	0.00197098	0.00189147	0.00185717	0.00178552	0.00149842
0.122	0.0104533	0.00992504	0.00946084	0.00889013	0.00841154	0.00784608	0.00725559	0.00748624	0.00852136	0.00790135	0.0067123	0.00771744	0.00760013	0.0099962	0.00840981	0.00826719	0.00880493	0.00686747	0.00507977	0.0058375	0.00575042	0.0073899	0.00623402	0.00539232	0.00494222	0.00467172	0.00447556	0.00432552	0.00414218	0.0040032	0.00383138	0.00365174	0.003453	0.00324217	0.00263983	0.00346975	0.00311655	0.00286315	0.00247148	0.0014774	0.00388215	0.00323566	0.00294072	0.00282738	0.00269054	0.00259032	0.00250958	0.00237194	0.00227507	0.00220279	0.0021425	0.00208655	0.00201495	0.00192606	0.00187765	0.00181232	0.00154556
0.125	0.0106957	0.0101112	0.00966025	0.00917178	0.00852082	0.00801048	0.0073745	0.0076812	0.00871395	0.00803041	0.00666518	0.00801478	0.00783547	0.0102146	0.00859249	0.00840974	0.00893604	0.00697219	0.00521121	0.00592229	0.00582069	0.00755669	0.00636125	0.00548932	0.00505321	0.00481031	0.00460544	0.00444486	0.00424994	0.00408207	0.00392486	0.00373389	0.00353579	0.00327897	0.00266956	0.00355406	0.00318536	0.00290778	0.00255008	0.00155075	0.00395594	0.00328149	0.00303577	0.00287468	0.00275914	0.00265053	0.00254166	0.00242479	0.00235775	0.00227345	0.00217197	0.00211931	0.0020497	0.00197985	0.00193607	0.00184621	0.00157215
0.128	0.0108376	0.0103572	0.00986213	0.00927929	0.00871189	0.00816504	0.00752927	0.00789393	0.00886695	0.00811334	0.00667644	0.00830245	0.00802194	0.0104852	0.00890454	0.00867792	0.00911058	0.00710494	0.00533065	0.00603316	0.00591229	0.00771959	0.00648275	0.00562454	0.00518216	0.00489719	0.00466965	0.00453248	0.00433714	0.00415687	0.00400204	0.00383687	0.00363311	0.00339742	0.00275344	0.00363157	0.00325322	0.00299485	0.00260554	0.00161362	0.00405672	0.0033597	0.00311344	0.00293153	0.00281494	0.00269206	0.00258259	0.00249426	0.00239547	0.00232958	0.00225536	0.00220616	0.00207636	0.0020161	0.00196032	0.00190714	0.00159847
0.131	0.0110897	0.010515	0.0100072	0.00944573	0.00888504	0.00831079	0.00767362	0.00807577	0.00898495	0.00830041	0.00689096	0.00867548	0.00826162	0.0105708	0.00893748	0.00877725	0.00931643	0.00721897	0.00541124	0.00610897	0.00601726	0.00787902	0.00663707	0.00575937	0.00529132	0.00501341	0.00480279	0.00462126	0.00444063	0.00425513	0.00409781	0.00389403	0.00369322	0.00346661	0.00278759	0.00371458	0.00331884	0.00306045	0.00264187	0.00169168	0.00415752	0.00342196	0.00317161	0.00299251	0.00288961	0.00275969	0.00265091	0.00255015	0.00246233	0.00237413	0.00230472	0.00221389	0.00211746	0.00206563	0.00199498	0.00191662	0.00164866
0.134	0.0112221	0.0107183	0.0101855	0.00964901	0.00900227	0.00844808	0.00778581	0.00835582	0.00915556	0.00832313	0.00717059	0.00893352	0.0084799	0.0108671	0.00916755	0.00896033	0.00936434	0.00734342	0.00555627	0.00622906	0.00608288	0.0080988	0.00674808	0.005884	0.00539973	0.00514664	0.00492621	0.00470529	0.00455124	0.00433224	0.0041794	0.00398164	0.00378017	0.00353996	0.0028757	0.00380303	0.00338403	0.00314159	0.00271448	0.00175577	0.00424445	0.00351439	0.00320352	0.00303511	0.00295749	0.0028271	0.00270441	0.0025827	0.0025013	0.00245075	0.0023295	0.00226196	0.00217324	0.00208922	0.00206658	0.00195296	0.00167633
0.137	0.0114015	0.0109579	0.0103844	0.00988239	0.00919804	0.0085961	0.00794387	0.00853661	0.00924581	0.00831763	0.0074519	0.00919539	0.0135337	0.0110061	0.00933472	0.00911344	0.00947727	0.0074308	0.00564698	0.00633067	0.00617064	0.00827953	0.00691159	0.0059908	0.00552939	0.00522513	0.00502784	0.00484952	0.00463618	0.0044275	0.00426752	0.00405286	0.00384431	0.00361229	0.00290037	0.00387303	0.003436	0.00318265	0.00275194	0.00183044	0.00431165	0.0035879	0.00328018	0.00311249	0.00300998	0.00290477	0.00274552	0.00264845	0.00255159	0.00246016	0.00239115	0.00230337	0.00223797	0.00215722	0.00207326	0.00203557	0.00170534
0.14	0.0116908	0.0111211	0.0105641	0.0100343	0.00936051	0.00879291	0.00804606	0.00875599	0.00938214	0.00828991	0.00780486	0.00961492	0.0134921	0.0112099	0.00951152	0.00926958	0.00975356	0.00756073	0.00575105	0.00642066	0.00622694	0.00844854	0.00703109	0.00609315	0.00563304	0.00533321	0.00510678	0.00493545	0.00475331	0.0045411	0.00437308	0.00413217	0.0039248	0.00366878	0.00296695	0.00391739	0.00352434	0.0032604	0.00283339	0.00190329	0.00441939	0.00365479	0.00335788	0.00317921	0.00306298	0.00294888	0.00283435	0.00269027	0.00258931	0.00252845	0.00243462	0.00234207	0.00228182	0.00221877	0.0021337	0.00206853	0.00176985
0.143	0.0118494	0.0112469	0.0108378	0.010231	0.00955963	0.00889111	0.00824284	0.00898717	0.00952825	0.00835571	0.00820404	0.0162569	0.0136243	0.0113309	0.00971329	0.00947314	0.00978178	0.00769406	0.00586803	0.00647256	0.00635196	0.00861161	0.00716387	0.00623253	0.00574488	0.00547333	0.00522265	0.00500241	0.0048202	0.00461079	0.00441386	0.00422444	0.00403385	0.00373299	0.00302493	0.00401795	0.00360719	0.00331984	0.00287341	0.00198336	0.00451105	0.00371905	0.00341452	0.00324271	0.0031165	0.00301553	0.00287546	0.00275571	0.00265503	0.0025666	0.00246976	0.00240875	0.00232898	0.0022416	0.00218843	0.00208014	0.00180364
0.146	0.0120219	0.0115204	0.0109506	0.0102997	0.00966079	0.00905037	0.00837301	0.0092043	0.00964029	0.00837789	0.0085355	0.016133	0.0137476	0.0115707	0.00985471	0.00968353	0.00994624	0.00778987	0.00598987	0.00659398	0.00640541	0.00875222	0.00730401	0.00635146	0.00586892	0.00555744	0.00534547	0.00516484	0.00494721	0.0047284	0.00451549	0.00428732	0.00409174	0.00381541	0.00308815	0.00411584	0.00365764	0.0033674	0.00292388	0.00210264	0.0045733	0.00377995	0.0034857	0.00332742	0.00317763	0.0030513	0.00295237	0.00282076	0.00267606	0.00262454	0.00252888	0.00245405	0.00234171	0.00227727	0.0022329	0.00212712	0.00182918
0.149	0.0123116	0.0116563	0.0111039	0.010526	0.00982976	0.00919362	0.0084737	0.00936231	0.00976909	0.00836139	0.00889329	0.0162005	0.0139243	0.0117773	0.0100515	0.00978913	0.0101136	0.00791378	0.00612844	0.00670209	0.00650997	0.00896362	0.00746002	0.00649073	0.00598	0.00565607	0.00542901	0.00521477	0.00500226	0.00480342	0.00461992	0.00438928	0.0041806	0.00389347	0.00313633	0.00417111	0.00375012	0.00346476	0.00297312	0.0021948	0.00467371	0.00386814	0.00355442	0.00338486	0.0032673	0.00313526	0.00297879	0.00285073	0.00276209	0.00267301	0.0025723	0.0024882	0.00240313	0.00231067	0.00224914	0.00217897	0.00187195
