Reference Amplitude (V)	6200Hz	6250Hz	6300Hz	6350Hz	6400Hz	6450Hz	6500Hz	6550Hz	6600Hz	6650Hz	6700Hz	6750Hz	6800Hz	6850Hz	6900Hz	6950Hz	7000Hz	7050Hz	7100Hz	7150Hz	7200Hz	7250Hz	7300Hz	7350Hz	7400Hz	7450Hz	7500Hz	7550Hz	7600Hz	7650Hz	7700Hz	7750Hz	7800Hz	7850Hz	7900Hz	7950Hz	8000Hz	8050Hz	8100Hz	8150Hz	8200Hz	8250Hz	8300Hz	8350Hz	8400Hz	8450Hz	8500Hz	8550Hz	8600Hz	8650Hz	8700Hz	8750Hz	8800Hz	8850Hz	8900Hz	8950Hz	9000Hz
0.02	-2.13966	-2.13161	-2.11313	-2.12125	-2.12317	-2.12172	-2.08938	-1.98751	-1.93318	-2.04486	-2.06357	-2.12266	-2.18602	-2.20718	-1.95073	-1.32401	-1.95229	-2.20934	-1.85618	-1.86137	-2.08523	-2.20505	-2.41932	-2.45723	-2.40149	-2.4026	-2.35023	-2.36077	-2.36512	-2.40708	-2.39342	-2.43658	-2.40725	-2.41585	-2.34893	-2.40228	-2.41464	-2.42506	-2.45922	-1.72573	-2.42149	-2.42323	-2.4793	-2.48795	-2.44174	-2.5332	-2.4793	-2.5026	-2.46167	-2.4948	-2.5535	-2.56791	-2.48519	-2.53719	-2.56646	-2.5674	-2.46019
0.023	-2.13163	-2.12335	-2.11735	-2.12444	-2.12505	-2.11466	-2.10268	-1.99979	-1.93396	-2.04834	-2.04596	-2.12194	-2.21061	-2.20813	-1.97748	-1.37604	-1.94987	-2.19781	-1.84393	-1.84371	-2.10645	-2.20402	-2.44027	-2.47421	-2.41359	-2.36855	-2.36778	-2.36571	-2.3886	-2.39745	-2.36594	-2.37569	-2.41058	-2.42279	-2.37963	-2.37372	-2.40872	-2.44744	-2.41258	-1.73442	-2.38914	-2.44044	-2.48963	-2.44911	-2.48006	-2.50283	-2.52523	-2.49723	-2.48657	-2.50497	-2.51982	-2.49844	-2.53324	-2.51282	-2.58485	-2.5799	-2.46028
0.026	-2.13373	-2.13411	-2.12144	-2.12134	-2.12946	-2.14098	-2.07851	-1.99009	-1.93514	-2.05243	-2.05549	-2.13276	-2.19874	-2.16285	-1.94985	-1.38809	-1.94774	-2.20471	-1.86175	-1.86906	-2.09903	-2.19263	-2.43163	-2.47454	-2.40899	-2.37867	-2.36108	-2.36221	-2.37306	-2.38203	-2.38075	-2.38483	-2.41964	-2.3959	-2.34898	-2.4168	-2.42567	-2.46497	-2.42674	-1.59613	-2.41313	-2.4655	-2.46036	-2.45213	-2.47051	-2.4631	-2.51563	-2.51585	-2.54492	-2.51589	-2.50246	-2.52697	-2.5277	-2.48414	-2.5362	-2.52494	-2.57065
0.029	-2.13873	-2.13317	-2.13327	-2.13831	-2.13219	-2.11855	-2.09373	-1.99389	-1.93868	-2.04295	-2.05273	-2.137	-2.18151	-2.15096	-1.95382	-1.40362	-1.96191	-2.22432	-1.86936	-1.87972	-2.10172	-2.20383	-2.43362	-2.45009	-2.40543	-2.36678	-2.39503	-2.35753	-2.3584	-2.39408	-2.37636	-2.42067	-2.40759	-2.3999	-2.34178	-2.40247	-2.43749	-2.45704	-2.46415	-1.6132	-2.40833	-2.47743	-2.49083	-2.46396	-2.48535	-2.48481	-2.50027	-2.50998	-2.51424	-2.48376	-2.5475	-2.54252	-2.53309	-2.5372	-2.55108	-2.59665	-2.48389
0.032	-2.13977	-2.1337	-2.12706	-2.13257	-2.12789	-2.11922	-2.09643	-1.98863	-1.94007	-2.04754	-2.06387	-2.13922	-2.18862	-2.13526	-1.95698	-1.4194	-1.98441	-2.22227	-1.88445	-1.89211	-2.09615	-2.198	-2.42563	-2.4462	-2.40725	-2.37479	-2.36987	-2.36798	-2.37945	-2.36349	-2.39633	-2.41818	-2.42498	-2.4097	-2.34205	-2.417	-2.42573	-2.41643	-2.42835	-1.66067	-2.39942	-2.44667	-2.456	-2.44367	-2.49274	-2.52432	-2.50762	-2.52981	-2.50097	-2.54804	-2.5155	-2.5249	-2.52213	-2.54627	-2.54511	-2.57991	-2.47518
0.035	-2.1463	-2.13733	-2.13305	-2.12899	-2.1341	-2.12069	-2.1076	-1.98895	-1.94242	-2.05373	-2.06186	-2.14609	-2.17541	-2.12242	-1.97316	-1.42785	-1.99693	-2.23967	-1.87868	-1.89073	-2.10109	-2.18196	-2.40989	-2.44867	-2.40488	-2.38131	-2.35465	-2.3653	-2.37706	-2.38823	-2.4005	-2.38698	-2.42333	-2.40206	-2.35204	-2.40252	-2.43746	-2.44493	-2.41862	-1.68524	-2.40813	-2.44554	-2.48357	-2.485	-2.47651	-2.49336	-2.51536	-2.49639	-2.49192	-2.5077	-2.51324	-2.5627	-2.51354	-2.53362	-2.54812	-2.5456	-2.48785
0.038	-2.15122	-2.13686	-2.1384	-2.13698	-2.13504	-2.11985	-2.10748	-1.99348	-1.95369	-2.05797	-2.07318	-2.16439	-2.17355	-2.11586	-1.96643	-1.44692	-2.01853	-2.24985	-1.90124	-1.92459	-2.10577	-2.18744	-2.40974	-2.44265	-2.39992	-2.3751	-2.37013	-2.37161	-2.36968	-2.38673	-2.40319	-2.40095	-2.41785	-2.41898	-2.35829	-2.39885	-2.45327	-2.42978	-2.44939	-1.61621	-2.39259	-2.44418	-2.47566	-2.48493	-2.50297	-2.50957	-2.52292	-2.49229	-2.49538	-2.51898	-2.54773	-2.52592	-2.56449	-2.55506	-2.5474	-2.55765	-2.49516
0.041	-2.14977	-2.13967	-2.14309	-2.14163	-2.13479	-2.1243	-2.105	-1.98699	-1.96485	-2.067	-2.09071	-2.16808	-2.17098	-2.10016	-1.95826	-1.4636	-2.02335	-2.25456	-1.89972	-1.92602	-2.10333	-2.18771	-2.40749	-2.44232	-2.39328	-2.38191	-2.37227	-2.35891	-2.38165	-2.40012	-2.41801	-2.39234	-2.43023	-2.41441	-2.35399	-2.39544	-2.42752	-2.4447	-2.46382	-1.61182	-2.40225	-2.45755	-2.48483	-2.47798	-2.47726	-2.48764	-2.51809	-2.53277	-2.50023	-2.50741	-2.56157	-2.50125	-2.53224	-2.54163	-2.51187	-2.54823	-2.49425
0.044	-2.16076	-2.14659	-2.14412	-2.14641	-2.14128	-2.13677	-2.10462	-2.00322	-1.96364	-2.07997	-2.09329	-2.17187	-2.15832	-2.09619	-1.96083	-1.47524	-2.0378	-2.27147	-1.92627	-1.93988	-2.10577	-2.18622	-2.40971	-2.44017	-2.39723	-2.38651	-2.3714	-2.36518	-2.37535	-2.38899	-2.388	-2.4097	-2.41122	-2.40917	-2.35092	-2.40983	-2.43542	-2.4326	-2.45685	-1.58691	-2.40965	-2.45266	-2.46695	-2.51028	-2.48796	-2.49953	-2.50709	-2.52992	-2.5254	-2.55394	-2.54688	-2.49324	-2.55803	-2.52911	-2.5628	-2.55229	-2.52678
0.047	-2.15847	-2.15152	-2.14452	-2.14304	-2.14495	-2.13441	-2.11293	-1.99568	-1.96763	-2.07779	-2.09326	-2.17901	-2.15231	-2.08087	-1.96626	-1.4932	-2.09956	-2.28664	-1.93728	-1.95577	-2.10848	-2.18142	-2.40291	-2.43517	-2.39104	-2.37427	-2.37023	-2.37126	-2.38473	-2.39571	-2.40757	-2.40417	-2.41432	-2.41909	-2.34071	-2.41857	-2.42506	-2.44635	-2.44866	-1.60359	-2.41644	-2.47958	-2.48506	-2.48816	-2.46326	-2.53166	-2.51833	-2.53269	-2.51929	-2.51304	-2.51273	-2.55214	-2.51974	-2.54927	-2.54764	-2.57972	-2.48766
