Reference Amplitude (V)	9000Hz	9050Hz	9100Hz	9150Hz	9200Hz	9250Hz	9300Hz	9350Hz	9400Hz	9450Hz	9500Hz	9550Hz	9600Hz	9650Hz	9700Hz	9750Hz	9800Hz	9850Hz	9900Hz	9950Hz	10000Hz	10050Hz	10100Hz	10150Hz	10200Hz	10250Hz	10300Hz	10350Hz	10400Hz	10450Hz	10500Hz
0.065	0.000887864	0.0010108	0.000920691	0.000862815	0.000795935	0.000460048	0.000985782	0.00085615	0.000822453	0.000840564	0.000850439	0.000751259	0.000583606	0.00059221	0.00062648	0.00055866	0.00059196	0.000743935	0.000654909	0.000595762	0.000364898	0.000233892	0.000320928	0.000703361	0.000760113	0.000673372	0.000480457	0.000226734	0.000410377	0.000703842	0.000433384
0.068	0.000944622	0.00102851	0.000972279	0.000908878	0.000831343	0.000465185	0.00103174	0.000923049	0.000856284	0.000872735	0.000904295	0.000805784	0.000601171	0.00061932	0.00064373	0.000568783	0.000608717	0.000786462	0.000667853	0.000640245	0.000388655	0.000243417	0.000320357	0.000743215	0.000809857	0.000713463	0.000503602	0.000246223	0.000427064	0.000756637	0.000440174
0.071	0.00095295	0.00108697	0.00100941	0.000928444	0.000863574	0.000474235	0.00109836	0.000941256	0.000917853	0.000915911	0.000932868	0.000805001	0.000631495	0.000660628	0.000654205	0.000607407	0.00064606	0.000839224	0.000735036	0.000656719	0.000414173	0.000259556	0.000313506	0.000769001	0.000846847	0.000757343	0.000536537	0.000268352	0.000433125	0.000791677	0.00049307
0.074	0.00100457	0.00112404	0.00105683	0.000974366	0.000894766	0.000518227	0.001124	0.000977096	0.000929645	0.000955056	0.000950862	0.000870312	0.000638067	0.000649638	0.000687944	0.000604571	0.000669675	0.000872816	0.00074038	0.000632906	0.000432104	0.000269664	0.000357015	0.000784887	0.000876611	0.000777864	0.000550226	0.000288988	0.000453006	0.000816562	0.000488261
0.077	0.00103777	0.00114087	0.0010754	0.00101077	0.000930174	0.000513885	0.00116258	0.00102452	0.000956482	0.00098445	0.000975956	0.000883516	0.000638902	0.000678721	0.000721621	0.000618706	0.000691097	0.000904906	0.000803831	0.000674233	0.000407723	0.000276989	0.000370449	0.000825102	0.00091139	0.000826706	0.000572661	0.00030282	0.000488571	0.000872343	0.000519911
0.08	0.00105296	0.001198	0.00109774	0.00105454	0.000976528	0.000547005	0.00118756	0.00103978	0.000986441	0.00101197	0.00102664	0.000907423	0.000680952	0.000690354	0.000727236	0.000645972	0.000700448	0.000896229	0.000820824	0.000691878	0.000447654	0.000291775	0.000370745	0.000848302	0.000938347	0.000860985	0.000574659	0.000322055	0.000525505	0.0009253	0.000544309
0.083	0.00109781	0.00123718	0.00113986	0.00106197	0.00102036	0.000562613	0.00122573	0.00108513	0.00103536	0.00102844	0.00105796	0.000964616	0.000711394	0.000724953	0.00077187	0.000663772	0.000725928	0.000937617	0.000797232	0.000711108	0.000462057	0.000306383	0.000369863	0.000900508	0.000979021	0.000869248	0.000592792	0.000364317	0.000573752	0.000945582	0.0005573
0.086	0.00112654	0.00123976	0.00116905	0.00110776	0.00102659	0.000597468	0.00127385	0.00113157	0.00105266	0.00108398	0.00108011	0.000984454	0.000740115	0.00076894	0.000769851	0.000702593	0.000756796	0.000955875	0.000848724	0.000707402	0.000486513	0.000308929	0.000392364	0.000919349	0.00101253	0.000899662	0.000622787	0.000341961	0.000596125	0.000992705	0.000600888
0.089	0.00117733	0.00129087	0.00120439	0.00114922	0.00101593	0.000630507	0.00129322	0.00117347	0.00108171	0.0011154	0.00112703	0.00102744	0.000754173	0.000763368	0.000800845	0.000697587	0.000770101	0.000994471	0.000764277	0.000760755	0.000490234	0.000273556	0.000407943	0.000947177	0.00102279	0.000943655	0.000628989	0.000375956	0.000631569	0.00104965	0.000615517
0.092	0.001211	0.0013222	0.00125899	0.0011919	0.00107606	0.000652235	0.0013602	0.00118161	0.00111233	0.00113048	0.00115502	0.00104497	0.00079859	0.000814521	0.000826519	0.000749575	0.000786512	0.00106479	0.000830663	0.000778567	0.000513212	0.00031918	0.00042603	0.000988875	0.00106818	0.000972787	0.000672048	0.000385826	0.000671338	0.00112657	0.000655833
0.095	0.0012503	0.00138235	0.00130057	0.001199	0.00110248	0.000631616	0.00137888	0.00122508	0.00114871	0.00116994	0.00120663	0.00109133	0.000784157	0.000812968	0.000834543	0.000744864	0.000819576	0.00107872	0.00081066	0.000793907	0.000533107	0.00032164	0.000424144	0.00101681	0.00110615	0.000995609	0.000690515	0.000436995	0.000704864	0.00115388	0.000706807
0.098	0.00127085	0.00142384	0.00134254	0.00124352	0.00112665	0.000672596	0.00142787	0.00125317	0.00120046	0.00121104	0.001206	0.0010867	0.000827027	0.000834822	0.000857208	0.000773974	0.000840216	0.00110093	0.000814237	0.000811628	0.000545976	0.000342129	0.000430488	0.00102485	0.00116812	0.00101681	0.000715644	0.000439384	0.000714434	0.00121281	0.000754317
0.101	0.0013126	0.00147647	0.00137903	0.00126618	0.00118218	0.000687243	0.0014587	0.00129506	0.00122494	0.00124165	0.00122414	0.00114015	0.000858276	0.000864018	0.000892055	0.000777739	0.000867631	0.00112115	0.000848061	0.000819771	0.000565244	0.000325816	0.000453428	0.00107546	0.00117853	0.00106428	0.000727847	0.000469429	0.000757004	0.00126918	0.000794139
