Reference Amplitude (V)	6200Hz	6250Hz	6300Hz	6350Hz	6400Hz	6450Hz	6500Hz	6550Hz	6600Hz	6650Hz	6700Hz	6750Hz	6800Hz	6850Hz	6900Hz	6950Hz	7000Hz	7050Hz	7100Hz	7150Hz	7200Hz	7250Hz	7300Hz	7350Hz	7400Hz	7450Hz	7500Hz	7550Hz	7600Hz	7650Hz	7700Hz	7750Hz	7800Hz	7850Hz	7900Hz	7950Hz	8000Hz	8050Hz	8100Hz	8150Hz	8200Hz	8250Hz	8300Hz	8350Hz	8400Hz	8450Hz	8500Hz	8550Hz	8600Hz	8650Hz	8700Hz	8750Hz	8800Hz	8850Hz	8900Hz	8950Hz	9000Hz
0.11	0.0190518	0.0183134	0.0174273	0.0166888	0.0171319	0.0155073	0.0147689	0.0144735	0.0168365	0.0152119	0.0144735	0.0146212	0.0152119	0.1821	0.140304	0.105007	0.0772412	0.0487373	0.0267317	0.0134397	0.0125535	0.0147689	0.0131443	0.0118151	0.011372	0.0110767	0.0104859	0.0104859	0.0106336	0.0100428	0.0104859	0.00930439	0.00974746	0.00945208	0.00959977	0.00945208	0.00900901	0.00900901	0.00841826	0.00723675	0.0104859	0.00900901	0.00930439	0.00930439	0.0091567	0.00886132	0.00871363	0.00812288	0.00812288	0.00871363	0.0091567	0.00797519	0.00753213	0.00812288	0.00767981	0.00738444	0.00708906
0.113	0.0189042	0.018018	0.0178703	0.0169842	0.0159504	0.015655	0.0150643	0.0150643	0.0162458	0.0155073	0.0149166	0.0147689	0.0147689	0.183725	0.142224	0.106336	0.0781273	0.0513957	0.0277655	0.0129966	0.0135874	0.0144735	0.0135874	0.0122582	0.0124059	0.0115197	0.0110767	0.0106336	0.0107813	0.0106336	0.0101905	0.0100428	0.00974746	0.00886132	0.00841826	0.0103382	0.00989514	0.0101905	0.00827057	0.00708906	0.0103382	0.00930439	0.00900901	0.00886132	0.0091567	0.0091567	0.0091567	0.00841826	0.00856595	0.00856595	0.00841826	0.0078275	0.00827057	0.0078275	0.00841826	0.0078275	0.00723675
0.116	0.0191995	0.0186088	0.0177226	0.0169842	0.0163934	0.0152119	0.0144735	0.0155073	0.0165411	0.0158027	0.0150643	0.0150643	0.0155073	0.184611	0.142224	0.10737	0.0790135	0.0518387	0.0283562	0.0129966	0.0125535	0.0144735	0.0134397	0.0122582	0.0115197	0.0112243	0.0107813	0.010929	0.0107813	0.0101905	0.0104859	0.00989514	0.0103382	0.0101905	0.00886132	0.00959977	0.00945208	0.00945208	0.00900901	0.00694137	0.0107813	0.00974746	0.0091567	0.00886132	0.00856595	0.00886132	0.0091567	0.00856595	0.00856595	0.00797519	0.00812288	0.00797519	0.0091567	0.00856595	0.0078275	0.00812288	0.0078275
0.119	0.0193472	0.0190518	0.0181657	0.0171319	0.0166888	0.0160981	0.0149166	0.0158027	0.0171319	0.0162458	0.0144735	0.0159504	0.0159504	0.186235	0.144735	0.10929	0.0812288	0.0525772	0.0287993	0.0135874	0.0135874	0.0152119	0.0134397	0.0127012	0.0121105	0.0116674	0.0112243	0.010929	0.0112243	0.0103382	0.0104859	0.0101905	0.0106336	0.00974746	0.00856595	0.0106336	0.0101905	0.00945208	0.00900901	0.00738444	0.0103382	0.00974746	0.00930439	0.0091567	0.00886132	0.00871363	0.00871363	0.00856595	0.00812288	0.00841826	0.00841826	0.00812288	0.00812288	0.00797519	0.00841826	0.0078275	0.00856595
0.122	0.0200857	0.0194949	0.0186088	0.0172796	0.0168365	0.0166888	0.0158027	0.0162458	0.0171319	0.0158027	0.0152119	0.0163934	0.0166888	0.187269	0.146655	0.11121	0.0822626	0.0533156	0.0319008	0.0135874	0.0143258	0.0153596	0.0140304	0.0131443	0.0119628	0.0116674	0.0116674	0.0115197	0.010929	0.010929	0.0106336	0.0106336	0.0107813	0.00989514	0.00930439	0.00974746	0.00945208	0.00989514	0.00871363	0.00797519	0.0110767	0.0104859	0.00959977	0.00900901	0.00900901	0.0091567	0.00856595	0.00886132	0.00841826	0.00871363	0.00797519	0.00871363	0.00767981	0.00797519	0.00827057	0.00767981	0.00767981
0.125	0.0202334	0.0190518	0.0189042	0.0184611	0.0177226	0.0160981	0.0158027	0.0160981	0.0178703	0.0163934	0.0146212	0.0166888	0.0163934	0.186826	0.147984	0.112391	0.0862502	0.055531	0.0310146	0.0138827	0.0146212	0.0155073	0.0137351	0.013292	0.0122582	0.0112243	0.0115197	0.011372	0.0112243	0.010929	0.0107813	0.0103382	0.0100428	0.0100428	0.0091567	0.0104859	0.0104859	0.00945208	0.00871363	0.00797519	0.0115197	0.0106336	0.00959977	0.0091567	0.00930439	0.00841826	0.00900901	0.00886132	0.00856595	0.00871363	0.00827057	0.00827057	0.00797519	0.00827057	0.00797519	0.00812288	0.00738444
0.128	0.0202334	0.019938	0.0194949	0.0186088	0.0171319	0.0172796	0.0153596	0.0159504	0.0174273	0.0169842	0.0141781	0.0171319	0.0160981	0.190223	0.151086	0.113868	0.0859548	0.0568602	0.0319008	0.0137351	0.0155073	0.0160981	0.0140304	0.013292	0.0125535	0.0119628	0.011372	0.0115197	0.0118151	0.0110767	0.0107813	0.0106336	0.00974746	0.0100428	0.00871363	0.0101905	0.00989514	0.00974746	0.00856595	0.00797519	0.0107813	0.0103382	0.00989514	0.00959977	0.00900901	0.00871363	0.0091567	0.00886132	0.00871363	0.00841826	0.00974746	0.00827057	0.00871363	0.00841826	0.0078275	0.0078275	0.00753213
0.131	0.0214149	0.0197903	0.019938	0.0184611	0.0177226	0.0169842	0.0158027	0.0165411	0.018018	0.0171319	0.0147689	0.0183134	0.0171319	0.190518	0.151824	0.117265	0.0880225	0.0568602	0.0329346	0.0137351	0.015655	0.0165411	0.0146212	0.013292	0.0128489	0.0119628	0.0115197	0.0118151	0.011372	0.0107813	0.0110767	0.0106336	0.0104859	0.0104859	0.00959977	0.0100428	0.0107813	0.00974746	0.0091567	0.00812288	0.0115197	0.0106336	0.00989514	0.0106336	0.00959977	0.00945208	0.00945208	0.00886132	0.00886132	0.00856595	0.00856595	0.00871363	0.00827057	0.00827057	0.00886132	0.00812288	0.00812288
0.134	0.0212672	0.0200857	0.0190518	0.0190518	0.0177226	0.0166888	0.0162458	0.0174273	0.0178703	0.0163934	0.0155073	0.0178703	0.0169842	0.192438	0.154925	0.118151	0.0889086	0.0581894	0.0327869	0.0134397	0.0160981	0.0160981	0.0149166	0.0137351	0.0124059	0.0129966	0.0124059	0.0118151	0.0116674	0.0116674	0.011372	0.0110767	0.0104859	0.0103382	0.00959977	0.0100428	0.00959977	0.00945208	0.0091567	0.00767981	0.0110767	0.0103382	0.00974746	0.00930439	0.00989514	0.00930439	0.00900901	0.0091567	0.00930439	0.00886132	0.00871363	0.00841826	0.00886132	0.00841826	0.00797519	0.00812288	0.0078275
0.137	0.0212672	0.0205287	0.0197903	0.0194949	0.0178703	0.0169842	0.0166888	0.0169842	0.0177226	0.0165411	0.0155073	0.0183134	0.235564	0.194654	0.155516	0.11948	0.0906809	0.0601093	0.0338207	0.0144735	0.0181657	0.0165411	0.0146212	0.0131443	0.0131443	0.0124059	0.0125535	0.0121105	0.0118151	0.0119628	0.0112243	0.010929	0.0112243	0.00989514	0.0091567	0.0106336	0.0104859	0.00959977	0.0091567	0.00767981	0.011372	0.0101905	0.0100428	0.00989514	0.00945208	0.00989514	0.00886132	0.00886132	0.00886132	0.00900901	0.00871363	0.00871363	0.00856595	0.00856595	0.0078275	0.00827057	0.00797519
0.14	0.0220056	0.0209718	0.020381	0.0194949	0.0193472	0.0171319	0.0163934	0.0174273	0.0183134	0.0168365	0.0163934	0.0190518	0.233201	0.197608	0.156698	0.121105	0.0927485	0.0609954	0.0347069	0.0140304	0.0169842	0.0171319	0.015655	0.0137351	0.0127012	0.0128489	0.0127012	0.0119628	0.011372	0.0115197	0.010929	0.0107813	0.0106336	0.0107813	0.00945208	0.0112243	0.00959977	0.00989514	0.00900901	0.0078275	0.011372	0.0106336	0.0106336	0.00989514	0.00959977	0.00959977	0.0091567	0.0091567	0.00900901	0.00871363	0.00871363	0.00886132	0.00871363	0.00827057	0.00841826	0.00812288	0.00753213
0.143	0.0218579	0.0215626	0.0205287	0.0193472	0.0189042	0.0177226	0.0169842	0.018018	0.0187565	0.0166888	0.0168365	0.26392	0.23261	0.196278	0.158765	0.122286	0.0946685	0.0620293	0.036036	0.0150643	0.0174273	0.0183134	0.0155073	0.0137351	0.0135874	0.0124059	0.0125535	0.0122582	0.0121105	0.0118151	0.0112243	0.0107813	0.0110767	0.0101905	0.00974746	0.0107813	0.00989514	0.0103382	0.00930439	0.00827057	0.0118151	0.0101905	0.0107813	0.00989514	0.00930439	0.00974746	0.00945208	0.00974746	0.00959977	0.00989514	0.00900901	0.00871363	0.00841826	0.00841826	0.00827057	0.00827057	0.00827057
0.146	0.0221533	0.0211195	0.0212672	0.0197903	0.0194949	0.0187565	0.0166888	0.0183134	0.0187565	0.0166888	0.0169842	0.26392	0.234234	0.199084	0.160095	0.123615	0.0952592	0.0636538	0.0373652	0.0159504	0.0171319	0.0172796	0.0160981	0.0143258	0.0134397	0.0131443	0.013292	0.0127012	0.0118151	0.0118151	0.0121105	0.0110767	0.0112243	0.0106336	0.00974746	0.010929	0.0110767	0.0103382	0.00930439	0.00797519	0.0121105	0.0103382	0.0100428	0.0101905	0.0112243	0.00930439	0.0101905	0.00930439	0.0091567	0.00856595	0.00871363	0.00871363	0.00856595	0.00827057	0.00841826	0.00886132	0.0078275
0.149	0.0220056	0.0215626	0.0205287	0.0196426	0.0190518	0.0181657	0.0168365	0.0184611	0.0187565	0.0165411	0.0181657	0.26392	0.233348	0.198937	0.160833	0.124354	0.0970315	0.064983	0.0378083	0.0162458	0.0181657	0.0178703	0.0155073	0.0150643	0.0137351	0.0135874	0.0127012	0.0125535	0.0122582	0.0119628	0.0115197	0.0116674	0.010929	0.0104859	0.00930439	0.0112243	0.0104859	0.0106336	0.0091567	0.00797519	0.0124059	0.0106336	0.00989514	0.0106336	0.00959977	0.00945208	0.00930439	0.00959977	0.00959977	0.00871363	0.00871363	0.00871363	0.00841826	0.00900901	0.00871363	0.00856595	0.00767981
