Reference Amplitude (V)	9000Hz	9050Hz	9100Hz	9150Hz	9200Hz	9250Hz	9300Hz	9350Hz	9400Hz	9450Hz	9500Hz	9550Hz	9600Hz	9650Hz	9700Hz	9750Hz	9800Hz	9850Hz	9900Hz	9950Hz	10000Hz	10050Hz	10100Hz	10150Hz	10200Hz	10250Hz	10300Hz	10350Hz	10400Hz	10450Hz	10500Hz
0.065	0.0454341	0.0564943	0.0444625	0.0422105	0.0365451	0.0123982	0.0520421	0.0409714	0.0366769	0.0407169	0.0375679	0.0313711	0.0195344	0.0205071	0.0242411	0.0190787	0.0224984	0.0322291	0.026822	0.021393	0.0092363	0.00470117	0.00613537	0.0266816	0.034652	0.0276082	0.0147637	0.00404555	0.0123425	0.0290867	0.0106998
0.068	0.0505358	0.056734	0.0503636	0.0468818	0.0373476	0.0136102	0.0563631	0.0467401	0.0405858	0.0409975	0.0453197	0.0369559	0.0195358	0.022623	0.0223355	0.0193001	0.0193092	0.0375407	0.0268342	0.0236962	0.00862772	0.0060363	0.00691753	0.0302224	0.0345819	0.0292176	0.014946	0.00597842	0.0106965	0.0330793	0.0135841
0.071	0.050605	0.0624285	0.0539817	0.0497046	0.0401144	0.0132431	0.0621739	0.0498603	0.0432712	0.0446816	0.0460789	0.0363791	0.0253853	0.0227945	0.0263072	0.0214433	0.0251736	0.0368338	0.0309546	0.0255073	0.00970428	0.00605618	0.00758729	0.033536	0.0351071	0.0304126	0.0181448	0.00516478	0.0137557	0.0352367	0.0156127
0.074	0.0544624	0.0661339	0.0551229	0.0522155	0.045579	0.0143358	0.0710689	0.0478604	0.0429461	0.0494512	0.0463679	0.0408956	0.0208171	0.025011	0.0245179	0.0225586	0.0240665	0.0381956	0.029791	0.00468045	0.00838211	0.00526103	0.00924425	0.0356071	0.042926	0.0342482	0.0201244	0.00604029	0.0139317	0.0372329	0.0139498
0.077	0.05721	0.0724046	0.0591518	0.0539737	0.0445549	0.0152685	0.0717859	0.0550596	0.0494291	0.0516732	0.0525751	0.0433404	0.025689	0.0260397	0.0282912	0.0224377	0.0247565	0.0414754	0.035046	0.0055588	0.00737777	0.0062824	0.0092277	0.0359186	0.0447864	0.0388598	0.0194945	0.00534538	0.0138532	0.041222	0.0161568
0.08	0.0601864	0.0739233	0.0616417	0.0582061	0.0500135	0.0164963	0.0744882	0.0580953	0.0528741	0.0574605	0.0572719	0.0462296	0.0255233	0.0298014	0.0301345	0.0228125	0.0296694	0.0485864	0.0388077	0.00517469	0.00624576	0.00455852	0.00924295	0.0402799	0.0508872	0.0417296	0.0192645	0.00617925	0.0172733	0.0486379	0.0168739
0.083	0.0647563	0.0783469	0.0708311	0.0571954	0.0504494	0.0195827	0.077166	0.0631168	0.0536376	0.059431	0.0550879	0.0458845	0.0298468	0.0302002	0.034186	0.0257048	0.030902	0.0479827	0.0417876	0.00522109	0.0065371	0.00582339	0.0105631	0.0442188	0.0503479	0.039381	0.0218099	0.0070545	0.0202467	0.0515372	0.0180183
0.086	0.0700169	0.0782352	0.0756493	0.0622395	0.0548451	0.018172	0.0835872	0.0620924	0.0566642	0.0612725	0.0645055	0.0498975	0.0307032	0.030953	0.0349781	0.0271359	0.0286854	0.0470876	0.0413051	0.00504965	0.00556104	0.00671631	0.0101799	0.0463303	0.0546067	0.0433263	0.0232598	0.00730152	0.0223025	0.0550692	0.0220356
0.089	0.0741047	0.0850722	0.0716413	0.0657355	0.0601262	0.0193355	0.0887888	0.0685727	0.0628519	0.0683722	0.065924	0.0554894	0.0353459	0.0356811	0.0351446	0.0277844	0.0329091	0.0526387	0.00250012	0.00544454	0.00665906	0.0051458	0.010109	0.0487447	0.0561191	0.0481657	0.0245642	0.00969724	0.0232054	0.0622411	0.024613
0.092	0.0796855	0.0912748	0.0782005	0.0695611	0.0642185	0.0228591	0.0906765	0.0732297	0.0632502	0.0669872	0.0699999	0.0571085	0.0343079	0.0361614	0.0389246	0.0301036	0.0369975	0.0590035	0.00230298	0.00530468	0.00643471	0.00606343	0.0117739	0.0528299	0.058795	0.0500668	0.0248787	0.00974745	0.0239828	0.0650051	0.0258257
0.095	0.0760032	0.0974078	0.0807649	0.0808476	0.0680198	0.0225041	0.0955414	0.0795698	0.0699454	0.0749826	0.0736007	0.0606339	0.0367915	0.0379437	0.0423867	0.0333057	0.0368573	0.0590615	0.00282067	0.0055093	0.0059021	0.00559575	0.0122135	0.0568479	0.0649667	0.0554138	0.0271923	0.0121083	0.0284694	0.0742535	0.0277571
0.098	0.0836285	0.101678	0.0895488	0.0821815	0.0653779	0.0225033	0.102307	0.0773738	0.0705921	0.0738996	0.0751174	0.0656438	0.0422195	0.0375518	0.0439907	0.0330384	0.0383149	0.0658133	0.0025673	0.00529919	0.00578316	0.00617972	0.0109615	0.0624941	0.0694505	0.0547939	0.0265503	0.0121887	0.0276603	0.0738968	0.0338692
0.101	0.087867	0.106092	0.0885168	0.0769877	0.0704471	0.0253641	0.102325	0.0851486	0.0791563	0.0777288	0.0791638	0.0676728	0.0394274	0.0416232	0.0434426	0.0352238	0.0410859	0.0669662	0.00277599	0.00578714	0.00700151	0.00534783	0.0139409	0.0616315	0.0729298	0.0596395	0.0323073	0.0146735	0.0316592	0.0813581	0.0373957
0.104	0.0941104	0.109532	0.0992814	0.0872069	0.0761935	0.0275131	0.112899	0.083799	0.0782802	0.0816619	0.0897845	0.0695322	0.0440246	0.0421347	0.0454555	0.0358641	0.0454499	0.068592	0.00264231	0.00557811	0.00661583	0.0056661	0.0135725	0.0682618	0.0765429	0.0586407	0.0321324	0.0142072	0.0375794	0.0911151	0.0395226
0.107	0.0964951	0.119707	0.0964412	0.0865839	0.0766234	0.0323597	0.120555	0.0925382	0.0811681	0.0926745	0.0914025	0.0712384	0.0409023	0.0471036	0.0529234	0.0348638	0.0446985	0.0717754	0.00260135	0.00483666	0.00662282	0.00529243	0.0138137	0.0708884	0.0850684	0.0627268	0.0306858	0.0151507	0.040149	0.0991326	0.046408
