Reference Amplitude (V)	6200Hz	6250Hz	6300Hz	6350Hz	6400Hz	6450Hz	6500Hz	6550Hz	6600Hz	6650Hz	6700Hz	6750Hz	6800Hz	6850Hz	6900Hz	6950Hz	7000Hz	7050Hz	7100Hz	7150Hz	7200Hz	7250Hz	7300Hz	7350Hz	7400Hz	7450Hz	7500Hz	7550Hz	7600Hz	7650Hz	7700Hz	7750Hz	7800Hz	7850Hz	7900Hz	7950Hz	8000Hz	8050Hz	8100Hz	8150Hz	8200Hz	8250Hz	8300Hz	8350Hz	8400Hz	8450Hz	8500Hz	8550Hz	8600Hz	8650Hz	8700Hz	8750Hz	8800Hz	8850Hz	8900Hz	8950Hz	9000Hz
0.122	0.0350022	0.0326392	0.0317531	0.0290947	0.0280609	0.0267317	0.0256978	0.0255501	0.0277655	0.0258455	0.0243686	0.0261409	0.0267317	0.353271	0.274701	0.204844	0.14119	0.0881702	0.0506572	0.0208241	0.0221533	0.0249594	0.0224487	0.0205287	0.0181657	0.0172796	0.0168365	0.0169842	0.0166888	0.0153596	0.0150643	0.0149166	0.0155073	0.0137351	0.0122582	0.0141781	0.0134397	0.0131443	0.0118151	0.0100428	0.0158027	0.0143258	0.0134397	0.0124059	0.0119628	0.0127012	0.011372	0.0110767	0.0112243	0.011372	0.0101905	0.010929	0.0100428	0.00974746	0.0101905	0.00930439	0.00959977
0.125	0.0347069	0.0323438	0.0321961	0.0307193	0.0290947	0.0273224	0.0254025	0.0262886	0.0298331	0.026584	0.0234825	0.0276178	0.0264363	0.355191	0.27795	0.206173	0.149166	0.0918624	0.0509526	0.0212672	0.0227441	0.0254025	0.0224487	0.0202334	0.0189042	0.0169842	0.0172796	0.0166888	0.0165411	0.0162458	0.0158027	0.0147689	0.0146212	0.0134397	0.0131443	0.0153596	0.0147689	0.0128489	0.0115197	0.00945208	0.0166888	0.0149166	0.0127012	0.0131443	0.0125535	0.0125535	0.0122582	0.0118151	0.0115197	0.011372	0.010929	0.0104859	0.0100428	0.0107813	0.0104859	0.00989514	0.00871363
0.128	0.0350022	0.0335253	0.0326392	0.0310146	0.0287993	0.0277655	0.0249594	0.0256978	0.0296854	0.0277655	0.0231871	0.0282085	0.0267317	0.357554	0.28179	0.209423	0.148279	0.0927485	0.0522818	0.0214149	0.024221	0.0258455	0.022301	0.020381	0.0187565	0.0184611	0.0177226	0.0171319	0.0169842	0.0159504	0.0152119	0.0155073	0.0144735	0.0138827	0.0116674	0.0153596	0.0137351	0.0129966	0.0110767	0.0091567	0.0155073	0.0141781	0.013292	0.0128489	0.0125535	0.0116674	0.0118151	0.0115197	0.010929	0.0112243	0.0119628	0.010929	0.0106336	0.0101905	0.0101905	0.00974746	0.00930439
0.131	0.0361837	0.0341161	0.0330823	0.0311623	0.0299808	0.0277655	0.0258455	0.0264363	0.0296854	0.0279132	0.0245163	0.0299808	0.0287993	0.359327	0.285039	0.214739	0.151972	0.0945208	0.0542018	0.0215626	0.0251071	0.0268793	0.0231871	0.0202334	0.0193472	0.0183134	0.0183134	0.0171319	0.0168365	0.0162458	0.0162458	0.0153596	0.0152119	0.0147689	0.0128489	0.0146212	0.0143258	0.013292	0.0118151	0.0107813	0.0166888	0.0153596	0.0134397	0.0144735	0.0131443	0.013292	0.0119628	0.0119628	0.0112243	0.0115197	0.0112243	0.0112243	0.0106336	0.0104859	0.0112243	0.0100428	0.0106336
0.134	0.036036	0.0341161	0.0324915	0.0317531	0.0298331	0.0273224	0.026584	0.0282085	0.0296854	0.0271747	0.0254025	0.0299808	0.0280609	0.362871	0.288584	0.216659	0.154187	0.0973269	0.0537587	0.0215626	0.0254025	0.0268793	0.0237779	0.0209718	0.0190518	0.0196426	0.0187565	0.0184611	0.0172796	0.0169842	0.0163934	0.0160981	0.0150643	0.0146212	0.0128489	0.0146212	0.013292	0.0135874	0.0122582	0.00959977	0.0160981	0.0150643	0.0138827	0.0127012	0.0137351	0.0129966	0.0121105	0.0128489	0.0128489	0.0118151	0.010929	0.011372	0.0110767	0.0107813	0.0100428	0.0100428	0.0100428
0.137	0.0373652	0.0352976	0.0333777	0.0327869	0.0301285	0.0282085	0.0267317	0.0286516	0.0298331	0.0274701	0.0254025	0.0307193	0.446463	0.367597	0.289765	0.218727	0.156402	0.0992468	0.0565648	0.0227441	0.0283562	0.0277655	0.0234825	0.0208241	0.019938	0.0193472	0.0190518	0.0181657	0.0177226	0.017575	0.0160981	0.015655	0.0163934	0.0143258	0.0124059	0.015655	0.0146212	0.0131443	0.0125535	0.00989514	0.0166888	0.0147689	0.0140304	0.0135874	0.0131443	0.013292	0.0119628	0.0119628	0.0118151	0.0118151	0.0116674	0.0116674	0.011372	0.010929	0.0101905	0.0103382	0.00959977
0.14	0.0376606	0.036036	0.0339684	0.0327869	0.0321961	0.0295377	0.0274701	0.0287993	0.0305716	0.0283562	0.0264363	0.0319008	0.439669	0.370846	0.294048	0.222567	0.161128	0.101758	0.0575986	0.022301	0.026584	0.0279132	0.0240733	0.0212672	0.0197903	0.0197903	0.0189042	0.0181657	0.0177226	0.0174273	0.0163934	0.0160981	0.0158027	0.0152119	0.0128489	0.0159504	0.0144735	0.0141781	0.0122582	0.0100428	0.0166888	0.0147689	0.0146212	0.0138827	0.0131443	0.0134397	0.0124059	0.0121105	0.0121105	0.0116674	0.0116674	0.0116674	0.0110767	0.0103382	0.0115197	0.0100428	0.00945208
0.143	0.0378083	0.0366268	0.0354453	0.0329346	0.03131	0.0295377	0.0277655	0.0301285	0.0314577	0.0273224	0.0273224	0.501108	0.439374	0.370699	0.296116	0.224782	0.163787	0.103382	0.0608478	0.0233348	0.0283562	0.0293901	0.0249594	0.0218579	0.0206764	0.0194949	0.0193472	0.0186088	0.018018	0.0177226	0.0169842	0.0168365	0.0160981	0.0147689	0.013292	0.015655	0.0147689	0.0144735	0.013292	0.0101905	0.017575	0.0141781	0.0147689	0.0135874	0.013292	0.0131443	0.0127012	0.013292	0.0125535	0.0125535	0.0122582	0.0112243	0.0110767	0.0110767	0.0104859	0.0106336	0.00989514
0.146	0.0388421	0.0366268	0.0358884	0.033673	0.0320485	0.0299808	0.0273224	0.0304239	0.03131	0.0274701	0.0286516	0.500369	0.441737	0.376163	0.299365	0.227293	0.165559	0.105597	0.0615862	0.0251071	0.0276178	0.0286516	0.0254025	0.0230394	0.0208241	0.0197903	0.020381	0.019938	0.0177226	0.0174273	0.0177226	0.0163934	0.0159504	0.0149166	0.0138827	0.0169842	0.0159504	0.0140304	0.0128489	0.0106336	0.017575	0.0152119	0.0144735	0.0140304	0.0155073	0.0125535	0.0134397	0.0131443	0.0121105	0.0119628	0.011372	0.011372	0.010929	0.0103382	0.0110767	0.0115197	0.0100428
0.149	0.0385468	0.0378083	0.0354453	0.0335253	0.0319008	0.0302762	0.0282085	0.0304239	0.0317531	0.0271747	0.0302762	0.497859	0.44026	0.37572	0.302762	0.229065	0.168808	0.108551	0.0635062	0.0243686	0.028947	0.0295377	0.0251071	0.024221	0.0220056	0.0212672	0.0191995	0.0191995	0.0184611	0.0177226	0.0174273	0.0168365	0.0158027	0.0153596	0.0129966	0.0159504	0.0149166	0.0149166	0.0122582	0.0103382	0.018018	0.0150643	0.0143258	0.0141781	0.013292	0.013292	0.0127012	0.0129966	0.0127012	0.011372	0.0116674	0.0115197	0.0115197	0.0112243	0.0110767	0.011372	0.0100428
