Reference Amplitude (V)	9000Hz	9050Hz	9100Hz	9150Hz	9200Hz	9250Hz	9300Hz	9350Hz	9400Hz	9450Hz	9500Hz	9550Hz	9600Hz	9650Hz	9700Hz	9750Hz	9800Hz	9850Hz	9900Hz	9950Hz	10000Hz	10050Hz	10100Hz	10150Hz	10200Hz	10250Hz	10300Hz	10350Hz	10400Hz	10450Hz	10500Hz
0.092	40.2138	41.8141	41.5711	42.0094	39.7682	40.4945	42.7519	41.7937	41.0582	41.4057	40.3208	40.9694	37.852	38.7582	39.6811	39.881	39.194	40.8306	575.101	249.603	96.5961	48.564	38.4625	40.4148	40.8795	39.3634	38.2103	38.2118	39.0344	40.0911	40.3123
0.095	41.8261	42.7237	42.7003	41.8095	42.1145	40.1398	42.2481	41.5973	40.897	40.6188	41.4853	40.5432	38.359	38.4986	38.7383	39.2299	40.175	40.0633	593.803	263.482	98.8801	48.4873	39.3923	40.3328	41.5776	39.9594	40.0406	39.0626	38.2782	41.0521	39.9971
0.098	41.9207	42.5755	42.8519	42.2495	41.7893	41.5473	43.8122	41.2976	41.5495	40.8357	41.1632	40.868	37.833	38.605	38.7861	40.0218	39.2484	40.3561	610.673	272.224	104.213	51.78	39.2113	39.5171	41.8541	38.7963	39.6303	38.2738	39.3653	39.8986	39.5496
0.101	42.3887	42.5644	43.1199	42.3999	42.1999	40.7203	43.3088	42.698	40.5356	40.9873	41.5061	40.7947	38.5004	37.8921	40.3934	40.1392	40.2812	40.837	620.744	290.013	109.957	53.3405	37.4987	41.2569	42.2169	40.517	38.8461	38.1098	38.7845	41.2539	40.0302
0.104	41.7583	42.8552	43.4738	42.5367	41.313	39.3744	42.9357	43.0844	42.1546	41.3872	40.9958	40.4885	39.205	38.1617	39.9325	39.9495	39.3084	40.0419	644.365	295.808	115.172	54.2254	38.4889	39.6001	40.6915	39.7775	39.2803	39.1156	38.2011	40.3825	40.9902
0.107	42.7363	42.5415	43.7939	42.6921	41.1205	40.546	42.3411	43.4989	41.0272	41.8173	42.5667	40.3334	39.3214	38.2961	40.6612	39.0055	39.3013	41.752	667.745	303.948	121.862	53.9419	38.1213	41.0016	41.4852	40.1503	39.3151	39.5719	38.9442	41.5269	40.327
0.11	42.6484	42.7793	43.9411	41.4222	42.3802	39.3717	43.7793	43.7203	41.4964	41.8091	42.7125	40.6424	38.8077	41.0236	40.2641	40.0402	39.4061	41.3409	674.526	313.847	126.072	53.1288	38.9378	40.16	41.8407	40.2914	39.2316	38.7387	38.8709	42.6838	41.3708
0.113	42.7722	43.5084	44.696	41.7635	41.3875	39.6769	43.9767	43.4899	43.0261	42.9506	42.3029	41.1202	39.6406	40.1396	40.0846	39.8247	39.4473	42.0373	678.599	322.78	128.808	54.071	38.6535	41.6508	40.9855	41.9276	38.9827	38.1821	39.6107	42.3216	41.2049
0.116	42.9126	44.7294	44.2934	42.0288	42.4745	40.8222	43.9646	43.3492	42.0528	43.5893	43.6244	41.597	39.8521	40.5709	40.9977	39.8761	38.7119	41.4249	685.628	325.276	132.265	54.093	39.5268	42.0757	42.0809	42.0311	39.6889	38.5922	39.1732	42.9696	41.3751
0.119	44.1673	43.8723	43.9152	42.7016	42.0814	40.2835	44.931	43.2993	42.5912	42.045	43.1665	41.438	40.4756	40.8924	39.4878	39.612	39.9573	41.8157	705.846	340.097	138.869	55.4046	38.9502	42.2636	41.9838	41.2471	40.1804	38.738	40.5696	44.0591	42.0696
