Reference Amplitude (V)	9000Hz	9050Hz	9100Hz	9150Hz	9200Hz	9250Hz	9300Hz	9350Hz	9400Hz	9450Hz	9500Hz	9550Hz	9600Hz	9650Hz	9700Hz	9750Hz	9800Hz	9850Hz	9900Hz	9950Hz	10000Hz	10050Hz	10100Hz	10150Hz	10200Hz	10250Hz	10300Hz	10350Hz	10400Hz	10450Hz	10500Hz
0.02	-1.38018	-1.76354	-0.831272	-2.14413	0.011994	1.1518	2.43549	1.94284	-3.02753	2.56675	-0.132622	0.427737	1.15394	1.57845	-1.82519	-2.95219	-1.56361	-1.87283	-1.05592	-1.88887	2.34696	1.33976	-2.55321	-2.59191	-0.251828	-0.31686	2.4382	1.4762	0.506583	2.35219	-0.597107
0.023	-1.80247	0.85112	2.79463	2.45966	0.825484	1.21647	1.2207	1.89116	-2.84809	-2.69267	-1.96877	-1.84021	-2.1778	3.13738	0.340342	-2.00864	2.97491	-1.98203	0.209096	-0.471879	1.29702	-1.90997	0.392932	-1.2932	-1.19755	-1.45129	1.16262	0.227352	2.82411	-1.60878	-0.279223
0.026	-0.200426	-1.10231	0.0406486	2.97076	1.17289	-2.75827	0.294511	2.87261	0.207887	-2.38803	-1.74365	2.20299	-1.27598	0.547752	0.789362	-1.6916	0.228785	-1.81806	2.89733	-1.71131	-2.40964	2.29009	1.18395	-2.3222	-2.34205	1.33718	-0.108788	2.63533	1.28034	-0.53186	-1.24644
0.029	0.691593	1.52911	-1.59012	2.91653	-0.810864	-1.25311	2.67795	-1.45248	0.43166	-2.31654	-0.266747	-0.250237	2.84347	1.29855	2.83016	1.28262	-1.56207	0.575215	2.83949	2.31949	1.07868	0.86468	0.0865568	-2.45401	-2.90483	-1.02057	-3.0631	0.468874	-0.795746	-1.4737	-2.21962
0.032	2.95417	0.19283	-2.39674	-2.89206	-2.61653	-2.29401	-2.62871	-2.82036	-0.641617	2.40811	0.0954942	-3.00273	2.43749	0.401907	1.86498	0.143482	-0.279857	-0.491053	1.78795	0.614384	-0.237219	2.55295	1.0463	-0.178827	-1.20813	-2.78661	1.32564	-0.472381	2.37054	-2.42569	-1.1404
0.035	-0.574887	2.46406	0.763822	-2.42903	0.38773	-0.610615	-0.653809	0.393662	-2.25281	0.171823	1.85297	0.375496	0.316071	2.8535	1.45245	-1.54984	1.0984	-1.50043	2.00289	-1.25486	-1.86493	-2.71437	-2.6002	2.1599	0.21349	2.26857	-1.8698	-3.02095	0.81753	2.03701	2.77274
0.038	-0.22532	-1.27677	-1.041	2.66966	-1.42853	-2.42952	1.8624	3.00293	2.02965	-1.24867	2.93154	1.38056	-2.98691	2.59341	-2.78734	-2.63369	2.81382	-1.91581	2.84346	1.47018	-2.56128	2.56905	0.161517	-2.45647	2.84127	2.47532	1.93391	-2.09989	-2.78004	3.13752	1.34978
0.041	1.83346	-1.88864	1.25229	-0.307971	1.56361	2.57854	-1.75449	-0.190723	-1.45019	0.290423	-0.812046	-2.75955	0.243387	-0.574461	-2.32153	-2.35045	-2.21778	1.2163	2.46335	-1.73078	1.49754	1.43341	0.84691	-2.02905	-0.863129	-1.35095	-1.54071	3.06512	-2.54964	-0.222801	-0.267213
0.044	1.25888	-2.19013	-2.02639	0.997912	-0.326815	-1.28481	-0.80427	-1.04006	2.45846	2.96295	3.02371	-2.47864	2.89059	-0.727563	0.519208	1.57736	-0.814489	3.06991	2.11921	-0.995976	1.19157	0.478083	-2.14221	2.07156	-1.32406	1.62125	2.05007	0.884455	-1.16974	2.95226	1.80922
0.047	0.918916	2.52345	1.37563	-2.30092	-1.88997	-0.294241	0.584336	2.91214	3.09696	-3.06056	1.79825	0.909645	2.08681	-1.43302	0.32659	-0.993691	-2.19175	0.91944	1.96279	-1.46005	-1.10068	0.637615	1.97954	1.65594	-2.49435	-1.38636	-2.90406	-0.463607	-3.10692	-0.366764	-1.53085
