Reference Amplitude (V)	6200Hz	6250Hz	6300Hz	6350Hz	6400Hz	6450Hz	6500Hz	6550Hz	6600Hz	6650Hz	6700Hz	6750Hz	6800Hz	6850Hz	6900Hz	6950Hz	7000Hz	7050Hz	7100Hz	7150Hz	7200Hz	7250Hz	7300Hz	7350Hz	7400Hz	7450Hz	7500Hz	7550Hz	7600Hz	7650Hz	7700Hz	7750Hz	7800Hz	7850Hz	7900Hz	7950Hz	8000Hz	8050Hz	8100Hz	8150Hz	8200Hz	8250Hz	8300Hz	8350Hz	8400Hz	8450Hz	8500Hz	8550Hz	8600Hz	8650Hz	8700Hz	8750Hz	8800Hz	8850Hz	8900Hz	8950Hz	9000Hz
0.083	164.763	148.124	133.902	125.618	114.443	107.388	95.4031	94.2624	113.538	106.374	99.7607	84.9723	89.4368	81.5332	6821.03	3268.4	1404.71	487.29	128.822	80.4884	80.4277	91.017	79.3704	67.877	61.5171	60.3561	58.1609	57.2475	55.1249	54.9338	52.8629	51.3661	51.9496	49.8378	45.0312	51.7058	48.0391	46.9558	44.3551	41.1562	55.2204	50.2195	48.7019	47.167	45.8639	46.2725	44.9652	45.1268	44.8111	44.2283	44.273	44.0868	43.5527	41.9437	42.9468	41.5418	40.6843
0.086	171.094	153.251	141.046	132.482	120.095	110.764	98.9756	98.2848	118.856	111.025	102.482	86.403	94.9268	84.9545	7014.57	3412.75	1476.97	525.476	136.95	82.1217	82.9291	93.6963	81.7843	70.7206	63.0659	61.7632	61.3297	58.3845	56.5447	56.0271	53.8345	53.0834	51.3505	50.1207	46.4701	52.4794	49.2014	48.6361	44.9012	40.5247	56.6049	50.2608	48.7912	47.6612	46.5869	46.1212	45.6357	46.07	45.8821	43.877	45.2018	44.1924	44.8522	43.8488	42.4775	42.9613	41.8157
0.089	179.383	162.281	150.403	136.305	126.195	114.616	104.815	102.167	123.71	113.6	107.13	87.4315	98.1734	88.9873	7233.93	3569.85	1579.35	569.256	147.445	84.798	83.6724	97.5208	84.9496	72.521	65.3516	62.7296	60.7997	59.9149	57.1419	55.9802	55.2768	53.8359	51.5615	49.6118	46.2894	53.3026	49.1759	48.2112	46.062	40.5223	57.4448	50.7287	48.332	48.7744	48.7878	46.3003	45.2065	46.2056	46.7718	45.6373	46.3263	45.4242	45.1462	43.1232	42.9823	42.561	41.718
0.092	184.266	168.353	155.733	142.583	130.026	119.71	108.042	106.223	129.384	120.459	111.244	88.6913	102.016	92.8655	7521.83	3734.57	1671.48	602.175	159.569	87.4819	86.5105	102.689	86.51	74.2464	68.0599	64.4591	62.5327	59.9688	59.5156	56.0601	55.2203	53.8038	53.7371	51.3992	45.5033	54.6366	50.8572	48.6917	46.5342	41.091	58.4237	50.8503	48.5703	48.6994	48.3984	47.7856	46.2147	46.3439	46.123	45.886	45.2148	44.3967	44.8548	43.2852	43.2687	43.174	42.1801
0.095	193.561	176.354	163.127	149.76	135.555	124.538	111.024	110.484	134.016	124.559	114.364	92.1597	106.191	95.4713	7756.15	3918.42	1753.14	641.105	172.77	89.738	87.9203	107.578	90.9263	77.1895	68.6229	67.3423	65.4002	62.0935	59.8428	58.6107	57.1743	54.3583	53.6102	54.087	48.0502	55.2783	51.434	49.6728	46.6381	40.7579	59.4265	52.8279	49.0401	49.1202	48.5108	47.7124	45.1715	47.2513	46.9739	47.2011	47.0227	44.2136	45.2517	44.1878	41.5429	43.3871	42.3621
0.098	201.342	184.525	168.61	154.648	141.601	128.378	114.812	115.431	139.892	129.821	119.15	97.58	111.464	99.2584	7981.73	4126.29	1866.76	678.892	180.247	90.4233	90.133	110.24	93.1109	78.204	71.8014	69.1779	65.9827	63.3888	60.0364	59.1648	57.7892	56.7118	55.6177	52.8241	48.4218	55.6973	53.221	51.3238	46.2428	42.7219	59.804	52.7592	50.1368	49.2394	49.396	47.2236	46.9301	48.4673	46.238	47.0707	45.934	43.8835	46.032	44.3741	43.03	44.3942	42.1368
0.101	211.728	189.569	174.303	161.489	145.211	131.379	119.468	120.656	146.848	135.765	123.141	102.178	117.232	105.247	8245.81	4268.68	1961.94	719.605	193.332	92.9144	92.4312	116.172	96.6163	78.7844	72.8257	70.2163	67.0274	66.0862	62.9857	60.0638	58.7682	57.6914	56.3676	52.7754	47.5079	57.0271	53.9454	50.855	47.0911	41.903	62.1238	54.056	51.4504	49.3244	49.1315	49.7984	46.6876	47.7041	47.5398	46.835	45.0657	44.5756	45.9719	44.1779	44.8302	45.1787	42.4514
0.104	219.305	197.179	181.305	165.549	148.966	137.236	122.886	125.874	152.631	139.964	126.101	109.248	122.532	109.202	8504.76	4414.72	2049.12	752.215	208.913	96.047	96.1926	120.84	99.618	83.2152	74.9331	73.1933	68.7178	66.9437	64.1907	62.3314	60.3789	58.8821	55.9925	54.9338	48.8413	58.654	53.6405	51.4399	47.3439	42.4716	62.1635	54.7176	53.4018	50.9892	51.8984	49.6341	48.3469	48.4699	47.1643	46.6106	46.8716	45.2761	45.5165	43.628	45.6497	42.0662	42.638
0.107	226.613	206.306	189.609	173.128	156.686	142.231	128.66	128.673	157.661	144.696	129.493	117.616	128.847	15458.6	8747.46	4612.09	2154.09	802.726	219.943	99.5998	96.7443	125.697	103.189	85.2817	78.0383	74.2956	70.728	69.0021	65.2061	64.7103	60.9869	59.5819	57.6945	55.5024	50.7341	60.6485	55.4035	51.0362	49.7388	41.8741	63.6478	56.3078	53.2076	49.8106	52.1811	50.6468	49.0141	48.4272	48.6101	47.3401	46.83	46.4513	46.0758	45.3691	45.2132	43.7597	42.3148
0.11	235.886	214.412	196.327	181.362	163.914	146.355	132.173	136.006	165.385	149.488	133.908	126.027	134.531	15450.8	8963.53	4745.37	2276.72	846.187	236.781	100.771	100.284	131.917	105.653	87.5605	79.6695	76.3304	72.9162	69.7915	68.1216	64.6439	63.299	59.8645	58.4919	56.3106	50.0465	61.2772	55.965	51.733	49.0283	42.0349	65.0175	56.4541	54.2089	52.0713	51.4505	51.0082	49.6995	49.2121	48.7231	48.6656	46.8072	47.4318	45.8806	44.9886	45.3092	43.9772	42.1369
0.113	243.511	220.849	203.678	188.181	168.629	152.274	134.845	138.595	170.979	155.351	136.391	134.865	141.944	15584.6	9202.55	4901.63	2359.77	890.362	256.96	103.269	102.103	137.292	108.691	90.8553	81.9567	78.7895	73.9929	72.5763	70.2069	67.5375	64.3072	62.5493	60.491	56.3036	52.4779	60.6196	56.0212	52.6758	50.4059	42.537	66.9889	57.4479	55.2382	52.7016	52.0883	50.8343	51.3584	49.9704	48.2566	48.4192	47.7414	46.869	46.9674	44.609	44.7395	43.8032	43.047
0.116	252.664	229.844	209.718	192.126	177.278	157.547	140.006	146.344	176.664	160.155	138.128	144.594	146.084	15818	9424.5	5070.26	2470.76	946.461	271.478	105.556	102.977	142.037	112.04	93.6876	84.8569	79.8553	75.5646	72.916	70.4478	67.2608	66.3627	63.6316	60.1863	58.0161	51.4896	63.0147	57.0509	53.6395	51.8832	43.1493	68.594	59.436	55.8188	53.417	53.6651	51.7913	51.4697	50.6495	50.055	48.7447	48.203	47.2512	48.0184	46.1593	45.3544	43.6308	42.5803
0.119	260.754	237.772	220.195	203.374	179.223	163.187	145.31	151.932	183.98	163.924	134.084	153.999	155.67	16073.5	9645.13	5243.13	2570.7	994.788	292.948	107.319	106.499	147.115	114.93	95.8915	86.0922	82.4495	78.92	75.8334	72.617	69.8552	67.6005	64.9476	62.0035	60.5798	52.5521	64.3015	57.9832	55.7303	51.1661	43.8097	70.6026	59.2403	55.7929	54.5618	53.5077	51.1311	50.8973	51.8932	50.2932	49.4153	47.8713	47.0907	47.8273	46.2172	45.1918	44.3717	42.8714
0.122	270.019	247.493	225.33	204.484	185.898	167.414	150.129	157.511	190.538	169.79	133.506	165.539	159.767	16313.7	9891.44	5387.92	2662.41	1025.97	306.466	110.259	108.218	153.377	119.288	98.3733	88.6755	85.1482	80.6186	78.8961	74.2652	71.6285	68.4958	68.0315	62.8673	59.8383	52.3876	66.207	58.0069	55.8504	52.3787	42.7974	72.3952	60.8265	57.9818	55.2124	53.6964	52.0304	51.9186	51.1633	50.4893	48.9276	47.6486	48.0271	47.6206	46.3387	46.2941	44.732	43.5428
0.125	281.957	254.025	232.76	214.492	193.935	174.214	153.708	165.103	198.093	172.698	131.967	175.123	165.901	16553.3	10096.9	5539.86	2789.84	1087.63	322.894	111.958	114.18	157.6	122.145	101.197	91.876	87.6244	82.6578	79.0598	75.116	72.7405	70.1083	68.2555	64.6829	60.4516	52.813	65.121	60.6222	57.105	53.0856	44.0125	71.6572	61.9765	58.4738	56.8991	54.5533	52.8546	52.1359	52.6971	51.9603	50.9461	48.863	48.6919	48.8383	47.1075	46.5933	46.2296	44.58
0.128	288.525	263.656	242.582	220.939	197.385	179.068	157.937	170.475	203.647	176.367	131.406	183.659	173.699	16788.3	10395.7	5719.2	2889.57	1133.53	343.315	115.009	117.067	164.072	127.239	104.759	94.5578	88.9262	84.5247	81.1136	76.7592	74.6071	71.9923	69.0951	64.6564	62.3988	53.677	66.7076	60.4964	58.0777	53.448	43.9816	75.3466	64.1118	57.7448	57.4997	55.6899	53.4928	52.887	51.98	51.612	50.9682	48.471	49.5905	47.932	49.0972	47.4819	46.1322	44.1344
0.131	296.659	273.95	250.714	226.99	203.484	184.772	163.263	176.223	208.831	182.341	138.286	196.982	182.726	17043.6	10599.8	5881.41	3012.51	1192.99	360.741	117.18	121.633	168.377	130.239	106.04	98.1533	91.7115	85.9626	82.5949	77.4287	75.5768	73.7152	71.0938	66.7824	62.8976	54.2622	67.6772	61.0035	58.4163	54.4853	45.4849	76.544	65.032	59.5014	57.6804	56.7206	55.728	54.6305	54.0448	52.3357	51.4809	49.3902	49.7509	48.5244	48.0998	47.5796	47.0695	43.0487
0.134	307.616	281.845	256.992	231.806	210.411	190.329	166.519	184.392	214.238	181.258	146.578	208.348	191.387	17265.3	10792.5	6048.5	3131.69	1259.97	381.488	119.198	123.176	175.482	134.261	110.703	98.9944	94.3711	88.0558	84.0513	81.3758	77.3333	74.0534	71.4735	67.4082	64.555	56.1822	68.636	63.7727	57.7878	52.8114	45.3195	77.6703	65.6121	60.271	57.9738	57.4615	54.3815	54.8485	53.0921	53.1231	52.1051	50.0374	49.4361	49.2396	48.8293	47.6349	46.7245	43.7569
0.137	313.412	295.197	264.121	240.111	218.461	197.35	170.529	192.621	218.264	183.879	155.288	219.484	25791.3	17575.8	11026.1	6149.42	3230.58	1299.35	402.045	123.614	128.53	183.722	137.867	113.505	102.013	96.29	89.4839	85.9605	83.3399	78.882	75.6985	72.497	67.8284	66.6159	56.5688	70.3058	63.4135	59.9128	54.3535	45.5901	80.6899	65.7575	61.6102	59.9871	58.2015	56.1438	54.9364	54.6784	54.0177	53.5397	50.1318	50.9805	50.1387	48.6194	47.5158	47.7362	43.9805
0.14	325.784	298.964	274.109	246.93	222.906	200.346	176.221	199.792	224.31	183.529	166.43	229.988	25282.2	17843.4	11255.8	6346.46	3343.81	1355.35	417.135	124.484	129.095	189.26	140.786	115.286	104.789	98.3151	93.0267	89.3969	84.3079	81.0663	76.6232	74.5332	70.7065	66.4954	57.1811	71.9115	63.7383	60.6364	55.1529	47.4499	80.5723	68.3637	62.1004	61.1584	58.6495	56.3642	55.5362	55.0305	53.304	52.586	52.5101	51.2066	50.9995	48.9216	49.2067	48.8936	44.0095
0.143	333.789	306.429	286.713	256.554	230.794	206.389	180.944	208.96	229.051	185.687	179.138	32566.3	25177.3	18039.1	11423.5	6510.04	3480.07	1407.25	446.185	127.656	133.565	195.19	146.451	119.569	107.078	99.927	95.9796	90.564	86.8895	81.0106	78.8963	76.5916	71.9901	67.5571	57.6111	73.2548	65.5444	62.1375	56.0889	47.383	82.6184	69.2477	62.9457	61.1189	59.3058	58.4283	56.7293	55.9992	54.2657	53.4784	50.9815	51.2367	51.8275	49.9204	50.2672	48.6822	44.7293
0.146	346.545	320.212	288.563	263.913	235.606	210.511	185.091	217.123	231.413	188.62	191.903	32487.7	25202.3	18257.7	11692	6693.49	3610.79	1480.99	475.766	131.602	136.292	201.829	151.027	122.75	110.123	103.104	99.3597	93.5484	88.3066	83.2308	79.9924	77.3775	73.7104	69.0765	59.4294	76.0236	66.6717	62.8	55.64	49.2367	83.5936	70.2753	65.1569	63.9548	60.7308	59.5146	57.9476	55.8252	55.2564	53.4665	52.2293	52.5081	52.5144	50.2681	48.1368	47.8732	44.9555
0.149	354.529	327.502	298.111	269.404	244.484	217.81	189.515	223.406	239.884	187.185	205.663	32252.8	25279.4	18480.4	11885	6827.41	3682.58	1544.23	500.157	134.161	139.856	208.314	154.35	128.27	112.907	106.412	101.404	95.2527	90.336	86.271	82.4559	78.0907	74.2383	69.5308	60.4218	75.895	68.3376	64.2258	57.1232	49.5648	84.3334	71.6646	64.459	63.233	61.0588	59.2081	58.4218	57.8724	55.3626	54.0138	53.2257	52.5273	52.612	50.9651	50.0177	49.8324	45.0489
