Frequency (Hz)	0.001V	0.00125V	0.0015V	0.00175V	0.002V	0.00225V	0.0025V	0.00275V	0.003V	0.00325V	0.0035V	0.00375V	0.004V	0.00425V	0.0045V	0.00475V	0.005V	0.00525V	0.0055V	0.00575V	0.006V	0.00625V	0.0065V	0.00675V	0.007V	0.00725V	0.0075V	0.00775V	0.008V	0.00825V	0.0085V	0.00875V	0.009V	0.00925V	0.0095V	0.00975V
3740	-2.1261	-2.13964	-2.15863	-2.1653	-2.17539	-2.18379	-2.19966	-2.21222	-2.22573	-2.23522	-2.2503	-2.26358	-2.2724	-2.28164	-2.29357	-2.31329	-2.32834	-2.34921	-2.35881	-2.37478	-2.3913	-2.42033	-2.42718	-2.44634	-2.46717	-2.50359	-2.5757	-2.64438	-2.80754	-3.1304	2.96438	2.82073	2.7368	2.67631	2.63307	2.57411
3745	-2.13603	-2.14579	-2.16298	-2.16934	-2.18262	-2.19414	-2.21131	-2.22338	-2.23398	-2.25246	-2.26216	-2.27213	-2.28874	-2.29447	-2.31004	-2.32617	-2.34415	-2.3661	-2.37454	-2.39274	-2.41084	-2.44	-2.44882	-2.47064	-2.49409	-2.53654	-2.63435	-2.7256	-2.95886	3.0179	2.899	2.7779	2.707	2.64865	2.60754	2.55263
3750	-2.15452	-2.16667	-2.17464	-2.1787	-2.19242	-2.20291	-2.22148	-2.2312	-2.24444	-2.26165	-2.27226	-2.28501	-2.29742	-2.31064	-2.32203	-2.34279	-2.35923	-2.38499	-2.39444	-2.41055	-2.43321	-2.46177	-2.47375	-2.49635	-2.52544	-2.57731	-2.69864	-2.84757	-3.10633	2.93113	2.84473	2.7363	2.67728	2.62386	2.58216	2.53156
3755	-2.14996	-2.17376	-2.17598	-2.18595	-2.2023	-2.21026	-2.23195	-2.2423	-2.25644	-2.27057	-2.28664	-2.30058	-2.31538	-2.32429	-2.33953	-2.35978	-2.38021	-2.40636	-2.41306	-2.43129	-2.45313	-2.48575	-2.50515	-2.52488	-2.56279	-2.64003	-2.79354	-2.99954	3.03756	2.87475	2.80158	2.70539	2.65065	2.60019	2.5585	2.51238
3760	-2.16467	-2.17588	-2.18332	-2.19542	-2.21519	-2.22576	-2.23969	-2.25216	-2.26796	-2.28609	-2.30094	-2.31689	-2.32826	-2.33822	-2.35504	-2.37825	-2.39557	-2.42479	-2.43388	-2.45381	-2.47688	-2.51169	-2.53134	-2.55489	-2.60881	-2.7043	-2.90286	3.12221	2.92357	2.82683	2.76143	2.67895	2.62361	2.57773	2.53705	2.49353
3765	-2.1762	-2.18558	-2.20545	-2.21345	-2.22121	-2.23712	-2.25247	-2.26697	-2.28428	-2.30127	-2.31437	-2.33216	-2.34547	-2.35309	-2.37079	-2.39529	-2.41578	-2.44416	-2.454	-2.47814	-2.50178	-2.54066	-2.56213	-2.59123	-2.67155	-2.7817	-3.02032	3.0067	2.86599	2.78189	2.72684	2.64922	2.60103	2.55573	2.51841	2.47439
3770	-2.17992	-2.19316	-2.20884	-2.21727	-2.23439	-2.24717	-2.26641	-2.27647	-2.2964	-2.31306	-2.32959	-2.34538	-2.36008	-2.37076	-2.39319	-2.41516	-2.43669	-2.46766	-2.47854	-2.50263	-2.52569	-2.5737	-2.6055	-2.63827	-2.74332	-2.87903	3.13393	2.94027	2.8202	2.74593	2.6935	2.6216	2.57538	2.53531	2.49839	2.45742
3775	-2.18819	-2.19719	-2.20831	-2.22743	-2.24392	-2.26137	-2.28202	-2.29476	-2.31454	-2.32996	-2.34637	-2.36595	-2.37692	-2.39017	-2.40855	-2.43442	-2.45789	-2.48982	-2.50317	-2.52917	-2.55631	-2.60776	-2.64238	-2.70299	-2.83291	-3.01042	3.0023	2.88034	2.77382	2.71299	2.66348	2.59597	2.55337	2.5155	2.48095	2.44105
3780	-2.20361	-2.2093	-2.22779	-2.24284	-2.26052	-2.27214	-2.2952	-2.30964	-2.32696	-2.34563	-2.36081	-2.38224	-2.39573	-2.40959	-2.42952	-2.45428	-2.47999	-2.51545	-2.52985	-2.55708	-2.58888	-2.64462	-2.68972	-2.78352	-2.93279	-3.12398	2.93005	2.83555	2.74221	2.67977	2.62979	2.57271	2.53122	2.49549	2.46378	2.42516
3785	-2.21045	-2.21486	-2.23549	-2.24938	-2.2697	-2.28871	-2.30725	-2.32369	-2.34216	-2.36248	-2.38062	-2.40215	-2.41748	-2.43024	-2.44995	-2.47871	-2.50239	-2.54489	-2.55731	-2.58723	-2.62538	-2.69059	-2.74937	-2.85987	-3.02191	3.07946	2.87733	2.7951	2.71201	2.65026	2.60375	2.55037	2.50996	2.47628	2.4471	2.40778
