Frequency (Hz)	0.001V	0.00125V	0.0015V	0.00175V	0.002V	0.00225V	0.0025V	0.00275V	0.003V	0.00325V	0.0035V	0.00375V	0.004V	0.00425V	0.0045V	0.00475V	0.005V	0.00525V	0.0055V	0.00575V	0.006V	0.00625V	0.0065V	0.00675V	0.007V	0.00725V	0.0075V	0.00775V	0.008V	0.00825V	0.0085V	0.00875V	0.009V	0.00925V	0.0095V	0.00975V
3065	0.000600559	0.000762057	0.000932605	0.00108518	0.00121679	0.00136493	0.00153664	0.00167082	0.00182463	0.00200177	0.00215141	0.00233191	0.00247025	0.00264221	0.00279034	0.00293781	0.00311074	0.00326966	0.00342167	0.00361789	0.00378235	0.00395801	0.0041087	0.00427088	0.00443512	0.00463	0.00478383	0.0049423	0.00513471	0.00527937	0.00545445	0.00565519	0.00578922	0.00595624	0.00608647	0.00632271
3070	0.000597577	0.000759005	0.000928074	0.00107029	0.00121728	0.0013885	0.00152894	0.00169217	0.00184594	0.0019939	0.0021486	0.0023029	0.00245763	0.00261115	0.00279956	0.00296008	0.00312432	0.0032816	0.00344563	0.00359572	0.0037591	0.00394354	0.00409149	0.00427343	0.00444797	0.00460445	0.00481487	0.00496122	0.0051104	0.00530194	0.00548496	0.00564809	0.00579699	0.00597662	0.00609551	0.00630078
3075	0.000625564	0.000746948	0.000928604	0.0010786	0.00122848	0.0014013	0.00154987	0.00169042	0.00184309	0.00200011	0.00217802	0.00232463	0.00247468	0.00265463	0.00279451	0.00294737	0.0031249	0.00328692	0.00345171	0.00358266	0.00381364	0.00394293	0.00408971	0.00426338	0.00446117	0.00462263	0.00480313	0.00496599	0.00513157	0.0053146	0.00549314	0.00568424	0.00579455	0.00595715	0.00609213	0.00630578
3080	0.000624337	0.000765159	0.000906888	0.00106701	0.00122215	0.00137755	0.00153093	0.00170543	0.00184215	0.00200867	0.00216084	0.00232157	0.00248347	0.00264679	0.00281791	0.0029597	0.00310568	0.00328381	0.0034462	0.00362541	0.0037939	0.00393102	0.00411994	0.00429709	0.00445484	0.00462243	0.00480369	0.00495881	0.00513816	0.00532065	0.00547836	0.00569131	0.00582588	0.00600213	0.00612771	0.00632735
3085	0.000600416	0.000774468	0.000934843	0.00110159	0.0012211	0.00139566	0.00154854	0.00168879	0.00182161	0.00201975	0.00218076	0.00232227	0.00247912	0.00266274	0.00279747	0.00294969	0.0031121	0.00329185	0.00344578	0.00361309	0.00379079	0.00396064	0.00412433	0.00429565	0.00449095	0.00464317	0.00482094	0.00499966	0.00515452	0.00532508	0.00549102	0.00566785	0.0058502	0.00602643	0.00612704	0.00634242
3090	0.000611436	0.000759452	0.000914884	0.00107786	0.0012249	0.00137771	0.0015365	0.0016912	0.00186343	0.00199021	0.00219837	0.002318	0.00248608	0.00263656	0.00279595	0.00294072	0.0031278	0.0032984	0.00344651	0.00362604	0.00378863	0.00397226	0.00412602	0.00429821	0.00446488	0.00462256	0.00482291	0.00499845	0.00515927	0.00532876	0.00550484	0.00571065	0.00582845	0.00600044	0.00613073	0.00635261
3095	0.000601182	0.000754558	0.000916793	0.00108551	0.00122534	0.0013857	0.00153895	0.00168669	0.00183362	0.0019831	0.00215581	0.00233278	0.0024886	0.00264954	0.00280848	0.00294874	0.00314165	0.00327627	0.00347137	0.00360666	0.00379363	0.00394376	0.00413247	0.00427703	0.00447869	0.00463839	0.00484463	0.00498507	0.00513853	0.00531034	0.00553147	0.00571871	0.00585087	0.0060029	0.00616761	0.00638387
3100	0.000596252	0.000761239	0.000917033	0.00106478	0.00122269	0.00137515	0.00153795	0.00170301	0.00186614	0.00199737	0.00216379	0.00234364	0.00248336	0.00266806	0.00279658	0.00296103	0.00311504	0.00327268	0.00344905	0.00363227	0.00378197	0.0039758	0.00412188	0.00428987	0.00450189	0.0046334	0.00484335	0.00500638	0.00517228	0.00535124	0.00550046	0.00572265	0.00584344	0.00598883	0.0061605	0.00638974
3105	0.000639815	0.000771277	0.00091131	0.00105932	0.00121942	0.00138441	0.00152185	0.00169911	0.00186171	0.00198949	0.00216904	0.00232259	0.00248373	0.00266253	0.00279934	0.00296353	0.00311808	0.00329195	0.00343905	0.00361956	0.00381823	0.00398197	0.00413949	0.00430008	0.00449228	0.00467807	0.00486034	0.00503444	0.00516026	0.00537345	0.00552554	0.00573631	0.00585751	0.00604718	0.00617516	0.00639923
3110	0.000598546	0.00077282	0.000924546	0.00107458	0.00121576	0.00140408	0.00154396	0.00167945	0.00186635	0.00201379	0.00215798	0.00235331	0.00249635	0.00265027	0.00281353	0.00297038	0.00314727	0.00330689	0.00345755	0.00362133	0.00382822	0.00398633	0.0041295	0.00430886	0.00450868	0.00466274	0.00487414	0.00503685	0.00518077	0.00536171	0.00556049	0.00576277	0.00589781	0.00605491	0.00619309	0.00642468
